date,value
2017-04-23,123402039.3825664
2017-06-12,150173423.49165612
2017-06-19,137238846.89149404
2017-06-22,135266045.7396115
2017-07-04,145937749.12361282
2017-07-22,153672343.74313608
2017-08-03,144494433.86345702
2018-05-25,121775682.54813135
2018-06-19,162932677.43417478
2018-07-04,162561528.64936447
2018-07-07,161976177.4943244
2018-07-09,160414419.83425614
2018-07-19,158070808.18464684
2018-07-27,157520762.05473748
2018-07-29,153285732.1718077
2018-08-03,155030873.0086019
2018-08-16,159027930.12797943
2019-05-10,112762105.68977213
2019-05-23,116591299.52886012
2019-06-04,115534256.98961447
2019-06-19,128384912.7821183
2019-06-27,142592652.9924101
2019-06-29,139098751.0929508
2019-07-02,146190553.76474625
2019-07-07,151045201.86726466
2019-07-12,150253885.592268
2019-07-14,137101803.70091203
2019-07-19,143028865.99077842
2019-07-22,148101443.60347635
2019-07-24,141264033.43430725
2019-08-03,151591063.61961177
2019-08-06,158244662.49634203
2019-08-08,157294206.6951167
2020-05-04,125199867.78538957
2020-05-29,144103045.34496853
2020-06-23,151757348.06417444
2020-07-01,108866140.74509454
2020-07-08,158172214.12972644
2020-07-23,158549087.09811366
2020-07-31,157684732.53725985
2020-08-05,160793368.75552225
2020-08-07,155165065.30703473
2020-08-15,159866049.3164056
2021-05-27,154379727.03912982
2021-06-11,160157128.18776247
2021-06-13,164062802.4473041
2021-07-21,162737294.76367557
2021-08-10,164611839.44454327
2021-08-12,159119893.7856227
2021-08-15,162234605.91126782
2022-04-27,142959222.64415517
2022-05-14,148082616.22586513
2022-05-29,147757991.12527868
2022-06-11,154121480.7267579
2022-06-13,156923316.80560872
2022-06-16,156091266.4930302
2022-06-18,154882355.85938847
2022-07-03,160055227.06098968
2022-07-08,151610063.9526849
2022-07-11,155294507.96190205
2022-07-16,158331617.63779482
2022-07-18,159362002.6119421
2022-07-21,157467727.0459175
2022-07-31,163079274.51345387
2022-08-02,157371317.6269426
2022-08-12,146167138.749488
2023-06-06,159362002.6119421
2023-06-16,156370027.26649448
2023-06-26,151458087.329671
2023-07-11,156538338.93776488
2023-07-16,24012626.49703256
