date,value
2017-03-14,1936500
2017-03-17,1936500
2017-06-02,1896000
2017-06-05,1896000
2017-07-07,2031600
2017-07-12,2046600
2017-07-17,2040500
2017-07-22,2064000
2017-08-21,1925200
2017-08-24,1925200
2017-08-26,1925200
2017-08-29,1925200
2017-10-05,1519600
2017-10-10,1570800
2017-10-13,1570800
2017-10-15,1506900
2017-10-18,1521900
2017-10-25,1510100
2018-02-27,1893500
2018-03-14,1861200
2018-03-19,1861200
2018-03-24,1861200
2018-04-18,1943900
2018-04-21,1943900
2018-04-26,1943900
2018-06-02,1973800
2018-06-10,1973800
2018-06-12,1973800
2018-06-22,2001800
2018-06-25,2001800
2018-06-27,2048600
2018-07-02,2029800
2018-07-12,2037700
2018-07-15,2039600
2018-07-17,2049900
2018-07-20,2051100
2018-07-22,2051100
2018-07-27,2063500
2018-07-30,2057100
2018-08-01,2097400
2018-08-04,2097400
2018-08-06,2075000
2018-08-11,2027700
2018-08-16,2110100
2018-08-19,1984100
2018-08-21,1991600
2018-08-26,2017500
2018-08-29,2021300
2018-09-03,1968700
2018-09-20,1537800
2018-09-25,1646300
2018-09-28,1646300
2018-09-30,1646300
2018-10-05,1633000
2018-10-10,1599400
2018-10-13,1599400
2018-10-15,1599400
2018-10-20,1559800
2018-10-23,1551400
2019-02-17,1858500
2019-02-20,1858500
2019-02-22,1926000
2019-02-25,1926000
2019-02-27,1900500
2019-03-04,1954800
2019-03-07,1956700
2019-03-24,1817100
2019-03-27,1817100
2019-03-29,1905300
2019-04-08,1905300
2019-04-11,1899900
2019-04-13,1945200
2019-05-13,1918200
2019-05-16,1918200
2019-05-23,1979300
2019-05-31,1976700
2019-06-02,2040400
2019-06-05,2040400
2019-06-17,2015600
2019-06-25,2015600
2019-06-27,2061800
2019-06-30,2061800
2019-07-02,2040000
2019-07-05,2070700
2019-07-07,2053600
2019-07-10,2053600
2019-07-12,2053900
2019-07-15,2059600
2019-07-17,2045700
2019-07-20,2058700
2019-07-22,2017600
2019-07-25,1998700
2019-08-04,1943200
2019-08-26,1976800
2019-08-29,1976800
2019-08-31,1993500
2019-09-03,1993500
2019-09-10,1993500
2019-09-13,1932800
2019-09-15,1959300
2019-09-18,1737500
2019-09-20,1798200
2019-10-03,1686600
2020-03-18,1918200
2020-03-21,1918200
2020-03-23,1918200
2020-03-26,1918200
2020-03-28,1913200
2020-03-31,1926900
2020-04-02,1911400
2020-04-05,1944500
2020-04-07,1912900
2020-04-10,1912900
2020-04-12,1929300
2020-04-15,1910500
2020-04-17,1910500
2020-04-22,1933400
2020-04-25,1907700
2020-04-27,1907700
2020-05-17,1958200
2020-05-20,1958200
2020-05-25,1958200
2020-05-27,2010900
2020-05-30,2010900
2020-06-01,2010900
2020-07-21,1688500
2020-07-24,1668100
2020-07-26,1668100
2020-07-29,1667600
2020-07-31,2014900
2020-08-05,2014900
2020-08-08,1954900
2020-08-10,1959500
2020-08-15,1898600
2020-08-20,1782900
2020-08-25,1730700
2020-09-04,1615100
2020-09-07,1691800
2020-09-09,1548600
2020-09-12,1566500
2020-09-14,1492300
2020-09-17,1492300
2021-02-21,1883200
2021-02-24,1883200
2021-02-26,1953400
2021-03-01,1953400
2021-03-06,1931500
2021-03-08,1931500
2021-03-23,1901400
2021-03-28,1943100
2021-03-31,1943100
2021-04-02,1913500
2021-04-05,1972100
2021-04-07,1963700
2021-04-12,1909400
2021-05-27,1906400
2021-05-30,1906400
2021-06-01,1931700
2021-06-11,1959900
2021-06-16,2053300
2021-06-19,2053300
2021-06-26,2028900
2021-07-21,1987900
2021-07-29,1977900
2021-08-20,2043700
2021-08-28,2020600
2021-09-04,1943800
2021-09-07,1943800
2021-09-12,1943800
2021-09-24,1596000
2021-09-27,1596000
2021-10-02,1596000
2021-10-04,1596000
2021-10-14,1547500
2021-10-17,1547500
2021-10-19,1553700
2021-10-22,1553700
2021-10-24,1542900
2021-10-27,1512200
2021-11-01,1496200
2022-02-26,1889800
2022-03-06,1889800
2022-03-08,1920200
2022-03-23,1904300
2022-03-26,1904300
2022-03-28,1904300
2022-04-17,1907700
2022-04-22,1986000
2022-04-27,1986000
2022-05-02,1938900
2022-05-07,1925100
2022-05-15,1925100
2022-05-17,1925100
2022-06-11,1862100
2022-06-16,1912100
2022-06-19,1912100
2022-06-21,1875600
2022-06-29,1869500
2022-07-01,1871900
2022-07-06,1816100
2022-07-11,1850800
2022-07-14,1850800
2022-07-16,1824300
2022-07-19,1894900
2022-07-21,1813400
2022-07-24,1886000
2022-07-26,1838400
2022-07-31,1804100
2022-08-10,1704800
2022-08-13,1600700
2022-08-25,1594800
2022-08-28,1594800
2022-09-04,1602400
2022-09-12,1542900
2022-09-14,1542900
2022-09-19,1451000
2022-09-22,1451000
2022-10-04,1445600
2022-10-09,1505500
2022-10-17,1483600
2022-10-19,1483600
2023-02-16,1969000
2023-02-26,1945600
2023-05-27,1947800
2023-06-01,1983700
2023-06-04,1983700
2023-06-06,1993000
2023-06-09,2005000
2023-07-11,1996000
2023-07-14,1996000
2023-07-19,1962200
