date,value
2017-02-15,79400
2017-02-25,80300
2017-03-17,81000
2017-04-06,87400
2017-05-16,75100
2017-05-26,88700
2017-06-05,88800
2017-07-05,89900
2017-08-14,72700
2017-08-29,55700
2017-10-08,59100
2017-10-13,61900
2017-10-18,57000
2017-10-28,60500
2017-11-07,57300
2017-11-17,58500
2017-11-22,59100
2017-11-27,57200
2017-12-07,61900
2018-02-10,85900
2018-02-25,86400
2018-03-02,92000
2018-04-21,94600
2018-05-11,93800
2018-06-20,94100
2018-06-25,92500
2018-07-25,86900
2018-07-30,92400
2018-08-04,82600
2018-08-19,85900
2018-09-03,70100
2018-09-08,74600
2018-09-23,68100
2018-10-03,67800
2018-11-12,61100
2018-11-17,64800
2018-11-27,66300
2019-01-16,50100
2019-01-26,85400
2019-02-15,84800
2019-02-20,83800
2019-02-25,90500
2019-03-22,86800
2019-03-27,90800
2019-05-01,87800
2019-05-06,89500
2019-05-16,93900
2019-07-05,91700
2019-07-10,88300
2019-07-15,92900
2019-07-25,81800
2019-08-04,77500
2019-08-09,73100
2019-08-14,74800
2019-08-24,77000
2019-08-29,72300
2019-09-13,69600
2019-10-08,61900
2019-10-13,67200
2019-11-27,65500
2019-12-27,90400
2020-01-06,91100
2020-01-11,89900
2020-01-16,86800
2020-02-05,86800
2020-02-20,86600
2020-03-21,89100
2020-04-05,88800
2020-04-10,94900
2020-04-15,91500
2020-04-25,87800
2020-05-05,86700
2020-05-20,93100
2020-05-25,88700
2020-05-30,93200
2020-07-19,93300
2020-07-24,85700
2020-08-03,82900
2020-08-08,84200
2020-09-02,68700
2020-10-17,66600
2020-11-11,63900
2020-11-21,66200
2020-11-26,64400
2021-02-19,88200
2021-02-24,91900
2021-03-01,86400
2021-03-31,93900
2021-04-05,98000
2021-04-15,97500
2021-05-20,90300
2021-06-09,96100
2021-06-14,96700
2021-08-18,82400
2021-09-12,78900
2021-09-22,74000
2021-10-12,79100
2021-10-17,69800
2021-10-27,71000
2021-12-16,83400
2021-12-21,87100
2022-01-15,87200
2022-01-25,85600
2022-02-09,91500
2022-03-01,95400
2022-03-21,94400
2022-04-05,96900
2022-07-14,89400
2022-07-24,83700
2022-08-13,66500
2022-08-28,66900
2022-09-22,60300
2022-11-06,60500
2022-11-11,55600
2022-11-16,58700
2022-12-21,62200
2023-02-04,80200
2023-02-09,76800
2023-02-14,84600
2023-02-19,79700
2023-03-01,84300
2023-03-16,81700
2023-04-05,84200
2023-06-04,80100
2023-06-24,93000
2023-07-14,92700
2023-07-29,86600
2023-08-03,82400
2023-08-08,86900
2023-08-18,81300
2023-08-23,78600
2023-09-07,75300
2023-09-27,74400
2023-10-02,73900
2023-10-07,74100
2023-10-12,73300
2023-11-26,69100
2023-12-16,76200
