date,value
2017-02-22,48600
2017-03-14,50200
2017-05-23,30700
2017-06-12,51900
2017-07-07,51300
2017-07-12,56700
2017-08-21,53000
2017-08-26,52300
2017-10-05,49400
2017-10-15,50200
2018-03-14,46900
2018-06-22,53600
2018-07-17,51700
2018-07-27,61900
2018-08-11,61000
2018-08-16,55900
2018-08-21,61600
2018-08-26,54600
2018-09-05,39400
2018-09-10,53700
2018-09-20,55700
2018-09-25,56200
2018-10-05,53100
2018-10-20,51100
2019-02-17,7100
2019-02-22,16900
2019-02-27,48600
2019-03-04,32500
2019-03-24,47500
2019-04-13,52600
2019-05-23,60900
2019-06-07,59100
2019-06-27,59600
2019-07-07,50400
2019-07-17,15100
2019-07-22,7400
2019-08-26,48900
2019-08-31,1100
2019-09-15,1700
2019-09-20,1100
2020-02-22,45700
2020-03-18,6700
2020-03-28,61500
2020-04-02,59000
2020-04-07,60500
2020-04-12,58700
2020-04-27,73100
2020-05-17,48200
2020-05-22,60600
2020-05-27,63700
2020-07-31,64000
2020-08-05,61800
2020-08-20,65000
2020-08-25,64600
2020-09-04,1200
2020-09-14,56600
2021-02-21,52700
2021-02-26,56100
2021-03-23,59900
2021-03-28,58700
2021-04-02,61000
2021-05-12,7600
2021-05-27,55500
2021-06-01,53900
2021-06-26,48800
2021-07-11,45700
2021-07-21,44100
2021-08-20,55100
2021-09-24,58400
2021-10-14,44000
2021-10-24,44500
2022-02-26,32800
2022-03-08,38400
2022-03-23,38000
2022-04-17,46500
2022-04-27,48200
2022-05-17,46500
2022-06-11,52100
2022-07-11,53400
2022-07-16,50000
2022-07-21,38500
2022-07-31,35500
2022-08-05,38200
2022-08-10,36000
2022-08-25,30200
2022-09-04,31500
2022-09-09,31300
2022-10-04,21100
2022-10-09,19800
2023-02-16,27600
2023-02-21,36500
2023-03-28,5300
