date,value
2017-01-25,4137813.956334728
2017-02-01,4137813.956334728
2017-03-16,7327399.817436735
2017-04-12,8147017.969802103
2017-04-22,8194527.730241372
2017-05-02,7524065.100497665
2017-05-22,7022726.580951368
2017-05-25,8336418.222768676
2017-06-01,8232602.476118073
2017-06-21,7855715.199014044
2017-06-24,7810047.435160904
2017-07-01,7855715.199014044
2017-07-06,8125668.951854436
2017-07-09,8125668.951854436
2017-10-02,5122829.544908716
2017-10-04,6782591.0091693625
2017-10-07,6742471.578956506
2017-10-14,6611532.409802609
2017-10-22,6122356.303851452
2018-02-24,7479057.302544683
2018-02-26,7556434.437257361
2018-03-03,7558748.323189636
2018-04-20,8452682.306607049
2018-04-22,8452682.306607049
2018-04-25,8452682.306607049
2018-04-30,8451480.942985812
2018-05-05,8026290.042451689
2018-05-07,8129225.8111363975
2018-05-15,8034555.877314608
2018-05-17,8188583.922985798
2018-05-20,8243321.70517075
2018-05-22,8252853.851859361
2018-05-25,8018027.073735415
2018-06-01,7982646.837052187
2018-06-26,8314903.166449351
2018-06-29,8330439.939922212
2018-07-01,8313708.43470824
2018-07-14,8357951.99770723
2018-07-19,8350771.993854411
2018-07-24,8344790.2451652875
2018-08-03,7627115.196395075
2018-08-05,7595802.931420102
2018-09-17,5250222.561891096
2018-09-27,5435510.599305801
2018-09-29,5304554.594888017
2018-10-04,5307635.623430671
2018-10-07,5076214.825289919
2018-10-09,4789634.804202586
2018-10-12,4789634.804202586
2018-10-19,4787650.559870126
2018-11-18,3540388.4926840346
2018-11-21,3580793.191964311
2018-11-26,3590693.363499762
2019-02-24,7164289.2691688575
2019-02-26,7141575.34123193
2019-03-11,7327399.817436735
2019-03-26,7405395.722259493
2019-03-28,7462922.854601713
2019-03-31,7462922.854601713
2019-04-12,7602757.462632595
2019-04-17,7588850.544176802
2019-04-20,7885036.540802288
2019-04-22,7885036.540802288
2019-04-27,7885036.540802288
2019-04-30,7853371.081494145
2019-05-05,7853371.081494145
2019-05-12,7141575.34123193
2019-05-15,7141575.34123193
2019-05-22,7403097.757050633
2019-06-26,7832284.630380042
2019-06-29,7832284.630380042
2019-07-04,8213557.6722482145
2019-07-06,7818237.608387358
2019-07-09,7882689.479714278
2019-07-11,7882689.479714278
2019-07-14,7803029.588287228
2019-07-16,7827601.346081978
2019-07-21,7642206.939158433
2019-07-24,7757465.413699576
2019-08-23,7062268.170367344
2019-08-25,7062268.170367344
2019-08-30,7327399.817436735
2019-09-04,7439894.010877545
2019-09-07,7439894.010877545
2019-09-14,7388166.83976807
2019-09-19,5952876.789249332
2019-09-24,5952876.789249332
2020-01-22,7304512.829388007
2020-02-04,7311376.393499603
2020-02-06,7247400.97268255
2020-02-11,6537571.430217291
2020-02-29,8057006.154896062
2020-03-02,8057006.154896062
2020-03-12,8057006.154896062
2020-03-25,7374393.46881187
2020-03-27,7374393.46881187
2020-04-01,7409992.3732552165
2020-04-04,7381279.072235106
2020-04-09,7629436.348913708
2020-04-11,8034555.877314608
2020-04-14,7616672.954404667
2020-04-16,7919095.360342057
2020-04-21,8062917.628659399
2020-04-26,8183829.923178499
2020-05-06,8301764.298117839
2020-05-19,7718981.371635942
2020-05-21,7718981.371635942
2020-05-24,8115001.520258555
2020-05-26,7763301.950684743
2020-05-29,7752797.248735768
2020-05-31,7696853.152123098
2020-07-18,8353165.097536504
2020-07-20,8353165.097536504
2020-07-30,8361542.778955992
2020-08-04,7785494.270295064
2020-08-07,7781988.801468182
2020-08-09,7781988.801468182
2020-08-14,7781988.801468182
2020-09-08,7213206.403117509
2020-09-13,7213206.403117509
2020-09-16,6678003.570901656
2020-09-26,6713546.330784089
2020-11-05,6537571.430217291
2020-11-12,6533164.720279727
2020-11-15,6533164.720279727
2021-02-28,8181453.272001146
2021-03-02,8181453.272001146
2021-03-07,8177888.731204979
2021-04-04,7999151.055942576
2021-04-14,8536920.527643789
2021-04-19,8533304.550320407
2021-04-21,8533304.550320407
2021-04-24,8553801.909259394
2021-04-26,8270736.624554162
2021-05-01,8270736.624554162
2021-06-13,8561040.224926012
2021-06-15,8310124.586445549
2021-06-23,8552595.723815117
2021-07-18,7815897.263869255
2021-07-20,7678235.46473657
2021-07-28,7780820.430027095
2021-08-12,7557591.350397096
2021-08-14,7902646.998557537
2021-09-03,7399651.259667027
2021-09-06,7614353.110623997
2021-09-13,7614353.110623997
2021-09-16,7601598.225237608
2021-10-08,6519950.596836943
2021-10-11,6521051.4295808235
2021-10-13,6521051.4295808235
2021-10-31,5497752.758581539
2021-11-05,5647055.533410388
2021-11-07,5682751.938532672
2021-11-22,6120200.99480921
2021-11-25,6120200.99480921
2021-11-27,6120200.99480921
2021-12-02,6111582.315119192
2022-01-14,7360628.756932318
2022-01-21,7748130.030306116
2022-01-26,7866266.643285759
2022-02-05,7875649.708664498
2022-03-17,8340005.885780267
2022-03-22,8175512.661352926
2022-03-25,8156512.476864133
2022-03-27,8073561.96077241
2022-04-01,7968509.504551793
2022-05-19,7936731.383037883
2022-05-21,7942612.993112907
2022-05-24,7942612.993112907
2022-05-29,7942612.993112907
2022-05-31,7595802.931420102
2022-06-15,8591222.060884364
2022-06-25,8555008.151993824
2022-07-08,7954380.6148983715
2022-07-10,7750463.521192547
2022-07-13,7872130.617651703
2022-07-15,8035736.944781461
2022-07-18,7985003.879624943
2022-07-23,8138713.33201914
2022-08-07,7045312.618836624
2022-08-09,6884360.756639747
2022-08-12,7057745.347795465
2022-09-18,5405512.558990789
2022-09-21,5409646.894618911
2022-10-11,4878213.466763381
2023-01-21,7574952.204161755
2023-02-08,7756298.2837312175
2023-02-13,7985003.879624943
2023-02-15,7465227.057144749
2023-02-23,7590009.12647008
2023-05-21,8355558.432161308
2023-05-26,8355558.432161308
2023-05-29,8337614.052669305
2023-05-31,8320877.69243447
2023-06-03,8023928.901740971
2023-06-05,8021567.99502387
2023-06-08,8023928.901740971
2023-06-10,8020387.629419949
2023-06-13,8020387.629419949
2023-06-15,8181453.272001146
2023-06-20,7685215.31779358
2023-06-23,7756298.2837312175
2023-06-25,7756298.2837312175
2023-07-18,8179076.85333738
2023-07-25,8179076.85333738
2023-09-03,7827601.346081978
2023-09-06,7827601.346081978
2023-09-13,7855715.199014044
2023-10-08,6726891.240587158
2023-10-16,6556311.10879033
