date,value
2017-01-03,14100
2017-02-22,14500
2017-03-14,12800
2017-04-03,15200
2017-04-23,17400
2017-05-23,16600
2017-06-02,14200
2017-06-12,16800
2017-06-22,17200
2017-07-07,14300
2017-07-22,14300
2017-08-06,10300
2017-08-21,9000
2017-08-26,9900
2017-10-05,2600
2017-10-10,3700
2017-10-15,2600
2017-10-30,2900
2017-11-29,1500
2018-01-13,4200
2018-01-23,3900
2018-02-12,11300
2018-02-27,13800
2018-03-14,14100
2018-04-18,15300
2018-07-02,16700
2018-07-07,18100
2018-07-17,15100
2018-07-27,16900
2018-08-01,13900
2018-08-11,13000
2018-08-16,12300
2018-08-21,11000
2018-08-26,10000
2018-09-05,8600
2018-09-10,8600
2018-09-20,7800
2018-10-05,3800
2018-10-20,2800
2018-11-04,4700
2019-01-03,1000
2019-02-12,3500
2019-02-17,9600
2019-02-22,8200
2019-02-27,12800
2019-03-24,9500
2019-03-29,13000
2019-04-13,14800
2019-05-13,16000
2019-05-23,16400
2019-06-02,14600
2019-06-27,14000
2019-07-02,15700
2019-07-17,13900
2019-07-22,12500
2019-08-06,12300
2019-08-11,10500
2019-08-16,9900
2019-08-21,9700
2019-08-26,7900
2019-08-31,9300
2019-09-15,7000
2019-09-20,6500
2019-12-29,14900
2020-02-22,3700
2020-03-08,6600
2020-03-18,7600
2020-03-28,11800
2020-04-07,12100
2020-05-17,13100
2020-05-27,14800
2020-06-21,11500
2020-07-11,9800
2020-07-21,10200
2020-07-31,6800
2020-08-05,7400
2020-08-25,3400
2020-09-04,2900
2020-09-14,2800
2020-11-18,1800
2020-11-23,5400
2020-12-28,8600
2021-02-21,12300
2021-03-23,14900
2021-03-28,16100
2021-04-02,14700
2021-04-17,14900
2021-06-01,17300
2021-06-11,18100
2021-06-16,16300
2021-06-26,16900
2021-07-11,13500
2021-07-21,14600
2021-08-10,14600
2021-08-20,15300
2021-08-25,14600
2021-09-04,18700
2021-09-24,11600
2021-09-29,12700
2021-10-14,12600
2021-10-24,11200
2021-12-23,9800
2022-02-26,12900
2022-05-17,16400
2022-05-27,18700
2022-06-06,17600
2022-06-11,14900
2022-06-16,14400
2022-06-21,13300
2022-06-26,16900
2022-07-03,16000
2022-07-06,15700
2022-07-11,15500
2022-07-16,15500
2022-07-21,14000
2022-07-31,11700
2022-08-10,11600
2022-08-25,8800
2022-09-01,8400
2022-09-19,6600
2022-10-04,6000
2023-02-11,7400
2023-02-16,10100
2023-02-21,12300
2023-03-28,13900
2023-05-27,17000
2023-06-16,17900
2023-07-16,17900
2023-07-31,14700
2023-08-15,14500
2023-08-25,11300
2023-09-04,11300
2023-09-06,9900
2023-09-24,8000
