date,value
2017-02-15,814388.6820084401
2017-02-25,927277.9597630624
2017-03-17,926175.4665343877
2017-03-27,950550.589164936
2017-05-16,1152681.1375239163
2017-05-26,902598.2413648447
2017-06-25,891171.800078953
2017-07-05,876565.8551190584
2017-08-14,1021163.8494851827
2017-08-29,960594.6867983816
2017-11-17,834383.360245991
2017-11-22,822783.9855909238
2017-11-27,829102.9127892449
2018-02-25,851903.2645204164
2018-04-06,971803.9771235135
2018-04-16,1070323.522013254
2018-04-21,1120397.919034191
2018-05-06,996646.0585141056
2018-05-11,892800.6035165942
2018-06-20,985323.2950003496
2018-06-25,884668.4202509004
2018-07-15,963392.1603386702
2018-08-19,985888.2109176597
2018-09-03,943322.6509831337
2018-09-08,1006310.8140424889
2018-10-13,1005741.2726171181
2018-10-18,1018300.7776601441
2018-10-23,935010.0072205622
2019-02-15,808636.7884327115
2019-02-25,842859.7792541377
2019-03-22,830157.9356714466
2019-03-27,884127.327173638
2019-05-01,930588.5679317826
2019-05-06,889544.1795905088
2019-05-16,870642.8303078641
2019-05-31,1049390.783954723
2019-06-30,1109718.0146877882
2019-07-05,1077922.9236370288
2019-07-10,1114459.6168498676
2019-07-25,1062745.5160949468
2019-08-04,887917.7424939888
2019-08-14,1009160.4440221876
2019-08-24,1055769.4509077857
2019-09-03,886292.4892327737
2019-09-13,1002895.4891603013
2019-11-22,824888.1584724116
2020-01-06,793032.3343527253
2020-01-16,841267.8561036359
2020-01-21,873871.5915211942
2020-02-15,713853.3890357792
2020-02-20,886292.4892327737
2020-03-21,985323.2950003496
2020-03-31,748972.727757347
2020-04-05,905327.3495315312
2020-04-10,915179.2446593272
2020-04-15,972365.7985122204
2020-05-20,1063327.6793086685
2020-05-25,1105575.710153691
2020-05-30,1090243.9981969208
2020-07-04,1094363.3896606117
2020-07-09,1134700.9907540132
2020-07-14,1199343.0121979287
2020-07-19,1040140.1848773258
2020-07-29,941657.7820208421
2020-08-08,1100258.9457629486
2020-09-07,1074412.8508421914
2020-09-12,1083196.5651322175
2020-09-17,990978.2460767314
2020-11-06,839677.1299387731
2020-11-21,809681.3812371063
2021-01-10,517541.6985337888
2021-02-14,808114.6931412735
2021-02-19,933903.8661637703
2021-02-24,928380.97449009
2021-03-01,906966.3867468813
2021-03-31,983629.3198946755
2021-04-15,993810.5455647493
2021-06-14,921220.7039557296
2021-07-19,972365.7985122204
2021-07-29,932245.6310033988
2021-09-22,791996.3397576698
2021-10-12,831213.4919968832
2021-10-27,795624.676298606
2021-12-16,804984.9380606426
2021-12-21,790443.3577973841
2022-01-15,729323.4873009021
2022-01-25,791478.5444285747
2022-02-09,810726.5102187888
2022-03-06,822258.2763383543
2022-03-26,870642.8303078641
2022-04-10,901507.5156600213
2022-04-15,947211.8916142437
2022-05-30,985888.2109176597
2022-06-19,1049390.783954723
2022-06-29,976865.0164326881
2022-07-14,981372.4898263841
2022-07-19,864735.7856513032
2022-07-24,950550.589164936
2022-08-03,942767.5647239147
2022-08-08,897694.1071072038
2022-08-13,897694.1071072038
2022-09-12,841798.3641782829
2022-09-22,963392.1603386702
2022-10-22,864735.7856513032
2022-11-11,830685.6471624346
2022-12-06,770877.3536195672
2023-02-14,799779.4178170018
2023-04-30,1030922.1862026774
