date,value
2017-01-26,1028000
2017-02-15,1214400
2017-02-22,1214400
2017-02-25,1305900
2017-03-17,1454700
2017-03-27,1454700
2017-04-06,1753300
2017-05-16,1969300
2017-05-26,2007700
2017-06-02,2007300
2017-06-05,2015600
2017-07-05,2065200
2017-07-07,2065200
2017-08-14,1619200
2017-08-17,1619200
2017-08-19,1619200
2017-08-21,1619200
2017-08-22,1619200
2017-08-24,1619200
2017-08-26,1495300
2017-08-29,1510300
2017-09-03,1499300
2017-09-08,1385300
2017-09-13,1366000
2017-09-15,1359900
2017-10-08,1246600
2017-10-10,1246600
2017-10-11,1246600
2017-10-13,1263300
2017-10-15,1263300
2017-10-16,1263300
2017-10-18,1263300
2017-10-20,1232300
2017-10-23,1241600
2017-10-25,1135800
2017-10-26,1135800
2017-10-28,1135800
2017-10-30,1135800
2017-10-31,1135800
2017-11-02,1135800
2017-11-07,1046200
2017-11-14,1046200
2017-11-15,1046200
2017-11-17,1078600
2017-11-19,1077000
2017-11-22,1084100
2017-11-24,1084100
2017-11-25,1084100
2017-11-27,1083100
2017-11-30,1055000
2018-02-15,1961300
2018-02-25,2063000
2018-02-27,2062000
2018-03-02,2120900
2018-03-07,2118900
2018-03-09,2113400
2018-03-22,2131400
2018-04-01,2114100
2018-04-21,2145000
2018-04-23,2145000
2018-04-24,2145000
2018-04-26,2145000
2018-05-11,2151900
2018-05-19,2151900
2018-05-21,2152900
2018-05-23,2112400
2018-06-20,2163500
2018-06-22,2163500
2018-06-23,2163500
2018-06-25,2179200
2018-06-28,2179200
2018-07-02,2170100
2018-07-03,2170100
2018-07-07,2136100
2018-07-08,2136100
2018-07-10,2149700
2018-07-25,2106400
2018-07-27,2104400
2018-07-30,2104400
2018-08-01,2104400
2018-08-02,2104400
2018-08-04,2105100
2018-08-06,2056000
2018-08-11,2056000
2018-08-12,2056000
2018-08-19,2088200
2018-08-21,2088200
2018-08-22,2088200
2018-08-26,2088200
2018-08-27,2088200
2018-09-03,1911500
2018-09-05,1911500
2018-09-08,1973300
2018-09-10,1973300
2018-09-11,1973300
2018-09-23,1846000
2018-09-25,1846000
2018-09-26,1846000
2018-09-28,1846000
2018-09-30,1846000
2018-10-03,1848600
2018-10-05,1798300
2018-10-06,1798300
2018-10-23,1701900
2018-10-25,1701900
2018-11-12,1665700
2018-11-15,1665700
2018-11-17,1700000
2018-11-22,1700000
2018-11-24,1651700
2018-11-27,1679500
2019-01-26,1702900
2019-01-28,1738100
2019-02-03,914500
2019-02-15,2041900
2019-02-17,2041900
2019-02-18,2041900
2019-02-20,2059200
2019-02-22,2059200
2019-02-23,2059200
2019-02-25,2050700
2019-02-27,2050700
2019-03-07,2126000
2019-03-12,2115200
2019-03-22,2084500
2019-03-24,2084500
2019-03-25,2084500
2019-03-27,2116100
2019-03-29,2116100
2019-03-30,2116100
2019-04-01,2102700
2019-04-08,2097400
2019-04-09,2097400
2019-05-01,2083600
2019-05-06,2095100
2019-05-11,2095100
2019-05-13,2095100
2019-05-14,2095100
2019-05-16,2101900
2019-07-05,2106800
2019-07-08,2106800
2019-07-10,2109100
2019-07-12,2109100
2019-07-13,2109100
2019-07-15,2067900
2019-07-17,2067900
2019-07-22,2078600
2019-07-23,2078600
2019-07-25,1986500
2019-07-28,2027900
2019-08-02,1797100
2019-08-04,1797100
2019-08-09,1631800
2019-08-14,1513900
2019-08-16,1513900
2019-08-17,1513900
2019-08-21,1514800
2019-08-22,1514800
2019-08-24,1446800
2019-08-26,1456500
2019-08-29,1451500
2019-08-31,1368400
2019-09-03,1368400
2019-09-06,1368400
2019-09-08,1368400
2019-09-13,1096500
2019-09-15,1056600
2019-09-16,1056600
2019-09-20,1056600
2019-09-21,1056600
2019-10-08,707000
2019-10-11,707000
2019-10-13,724400
2019-10-15,724400
2019-10-25,669400
2020-02-20,1828500
2020-02-22,1816100
2020-03-11,2077400
2020-03-13,2077400
2020-03-18,2077400
2020-03-21,2111900
2020-03-24,2111900
2020-03-26,2076000
2020-03-28,2096200
2020-03-29,2096200
2020-03-31,2096200
2020-04-03,2096200
2020-04-05,2051200
2020-04-08,2071900
2020-04-10,2064800
2020-04-12,2149400
2020-04-15,2144200
2020-04-25,2142700
2020-05-20,2180300
2020-05-22,2162600
2020-05-25,2178500
2020-05-27,2178500
2020-05-28,2178500
2020-05-30,2149300
2020-06-12,2143200
2020-06-14,2145600
2020-07-19,2043500
2020-07-21,2043500
2020-07-22,2043500
2020-07-24,2046800
2020-07-27,2046800
2020-07-29,1997400
2020-07-31,1997400
2020-08-03,1996100
2020-08-05,1942800
2020-08-06,1942800
2020-08-08,1925300
2020-08-10,1861100
2020-08-15,1826100
2020-08-20,1748000
2020-08-21,1748000
2020-08-23,1748000
2020-09-02,1358400
2020-09-04,1358400
2020-09-05,1358400
2020-09-07,1358400
2020-09-10,1358400
2020-09-12,1358400
2020-09-14,1358400
2020-09-17,1358400
2020-11-11,1349600
2020-11-14,1349600
2020-11-16,1349600
2020-11-18,1349600
2020-11-19,1349600
2020-11-21,1435600
2020-11-23,1435600
2020-11-26,1396500
2020-11-29,1440600
2021-02-19,2109300
2021-02-24,2130400
2021-02-27,2136800
2021-03-01,2088700
2021-03-04,2136000
