date,value
2017-02-25,15300
2017-02-28,10700
2017-03-07,10700
2017-03-17,20700
2017-03-20,20700
2017-04-06,67400
2017-04-09,67400
2017-04-16,67600
2017-04-19,64800
2017-05-06,35800
2017-05-09,35800
2017-05-16,60300
2017-05-19,60300
2017-05-26,62400
2017-05-29,60900
2017-06-05,60900
2017-06-15,70600
2017-06-18,70000
2017-06-25,70000
2017-07-05,96900
2017-07-25,98300
2017-07-30,100600
2017-08-02,100600
2017-08-04,99100
2017-08-07,103300
2017-08-12,102000
2017-08-14,107400
2017-08-17,107100
2017-08-19,107100
2017-08-22,107100
2017-08-24,109600
2017-09-01,109300
2017-09-08,84200
2017-09-11,84200
2017-09-13,84300
2017-09-16,84300
2017-09-21,69400
2017-09-23,71100
2017-09-26,60400
2017-09-28,62000
2017-10-03,58100
2017-10-06,58900
2017-10-08,57100
2017-10-11,60400
2017-10-13,59200
2017-10-16,62100
2017-10-23,60200
2017-11-07,96700
2017-11-12,98400
2017-11-15,98400
2017-11-17,96400
2017-11-20,97000
2017-11-22,92600
2018-02-25,6700
2018-03-02,7900
2018-03-07,7400
2018-03-22,500
2018-03-27,500
2018-03-30,500
2018-04-01,500
2018-04-26,19500
2018-05-01,19500
2018-05-04,3500
2018-05-06,3500
2018-05-11,80400
2018-05-16,80400
2018-05-19,80400
2018-05-21,97700
2018-05-24,97600
2018-06-25,112400
2018-07-03,113400
2018-07-05,113400
2018-07-08,110200
2018-07-10,110200
2018-07-15,54600
2018-07-18,54600
2018-07-20,54600
2018-07-23,54600
2018-07-25,54600
2018-08-04,12000
2018-08-12,12000
2018-08-14,83100
2018-08-19,100800
2018-08-22,100800
2018-08-24,100800
2018-08-27,100300
2018-08-29,100300
2018-09-03,110500
2018-09-06,110500
2018-09-08,110500
2018-09-11,110500
2018-09-13,110500
2018-09-16,103800
2018-09-18,104500
2018-09-21,104500
2018-09-23,97300
2018-09-26,97800
2018-09-28,91000
2018-10-01,91700
2018-10-03,88000
2018-10-06,97600
2018-10-08,97600
2018-10-13,93900
2018-10-23,112500
2018-10-26,112500
2018-10-31,112500
2018-11-02,112500
2019-02-20,12900
2019-02-23,12900
2019-02-25,14500
2019-02-28,14500
2019-03-05,16200
2019-03-10,9300
2019-03-12,13500
2019-03-15,4900
2019-03-17,4900
2019-03-20,4900
2019-03-22,8400
2019-03-25,8400
2019-03-27,19200
2019-05-01,75800
2019-05-04,63500
2019-05-06,72200
2019-05-09,72200
2019-05-11,72200
2019-05-14,72200
2019-05-16,72200
2019-05-31,52800
2019-06-03,52800
2019-06-08,52800
2019-06-10,52800
2019-06-13,52800
2019-06-15,52800
2019-06-25,98200
2019-06-28,98200
2019-06-30,101300
2019-07-03,101300
2019-07-05,95600
2019-07-10,100600
2019-07-13,97600
2019-07-15,98300
2019-07-18,94700
2019-07-20,94700
2019-07-23,106000
2019-07-25,92800
2019-07-28,93000
2019-08-02,93000
2019-08-04,93000
2019-08-09,94600
2019-08-14,95300
2019-08-17,95300
2019-08-22,95300
2019-08-24,96700
2019-08-29,98700
2019-09-03,98700
2019-09-06,98700
2019-09-08,92500
2019-09-11,90100
2019-09-13,90100
2019-09-16,90100
2019-09-18,90100
2019-09-28,91900
2019-10-01,91900
2019-10-03,99100
2019-10-08,93200
2019-10-11,93200
2019-10-13,93200
2020-02-20,68500
2020-02-23,64600
2020-02-25,64600
2020-03-01,70300
2020-03-11,92400
2020-03-14,92400
2020-03-19,92400
2020-03-21,92400
2020-03-24,92400
2020-03-26,79000
2020-03-29,79200
2020-04-03,79200
2020-04-05,68300
2020-04-08,77900
2020-04-10,77900
2020-04-15,58700
2020-05-05,60700
2020-05-08,60700
2020-05-18,60700
2020-05-20,72000
2020-05-25,70200
2020-05-28,70200
2020-05-30,70500
2020-06-02,70500
2020-06-24,84100
2020-06-27,84100
2020-07-04,92500
2020-07-07,92500
2020-07-09,92500
2020-07-14,105400
2020-07-17,105400
2020-07-19,103000
2020-07-22,106200
2020-07-24,104400
2020-07-27,104400
2020-07-29,105100
2020-08-01,102700
2020-08-03,103700
2020-08-06,101500
2020-08-08,101500
2020-08-23,84500
2020-08-26,84500
2020-08-31,84500
2020-09-02,84600
2020-09-05,84600
2020-09-07,84600
2020-09-12,67100
2020-09-15,67100
2020-09-17,67100
2020-11-01,95200
2020-11-09,95200
2020-11-11,100100
2020-11-14,100100
2020-11-16,95400
2020-11-19,100200
2020-11-21,100200
2020-11-24,100200
2020-11-26,100200
2021-02-19,62700
2021-02-24,60200
2021-02-27,97200
2021-03-01,93400
2021-03-04,98900
2021-03-09,97000
2021-03-16,98400
2021-03-21,98400
2021-03-24,98400
2021-03-26,98400
2021-03-31,69500
2021-04-03,69500
2021-04-05,90800
2021-04-08,90800
2021-04-13,90200
