date,value
2017-02-22,100
2017-04-23,200
2017-06-12,23200
2017-07-07,29300
2017-07-12,31600
2017-08-21,31000
2017-08-26,29800
2017-10-05,30400
2017-10-15,30300
2018-03-14,26400
2018-04-18,31000
2018-06-27,30900
2018-07-07,34300
2018-07-17,27800
2018-07-27,32100
2018-08-11,30200
2018-08-21,30700
2018-08-26,30900
2018-09-05,10700
2018-09-10,31000
2018-09-25,32000
2018-10-05,29500
2018-10-20,29400
2018-11-04,31200
2019-02-12,5600
2019-02-17,5800
2019-02-27,25100
2019-03-24,25500
2019-05-23,31400
2019-06-07,31700
2019-06-27,20100
2019-07-07,22000
2019-07-12,30200
2019-07-17,23800
2019-07-22,19600
2019-08-01,22100
2019-08-26,21000
2019-09-15,16100
2019-09-20,9100
2019-10-30,4800
2020-02-22,1400
2020-03-08,200
2020-03-18,700
2020-03-28,700
2020-04-02,1200
2020-04-07,600
2020-04-12,200
2020-05-22,800
2020-05-27,200
2020-07-31,2000
2020-08-05,200
2020-08-20,1400
2020-08-25,2000
2020-09-04,700
2021-02-21,400
2021-02-26,1300
2021-03-23,1100
2021-03-28,400
2021-04-02,700
2021-09-24,100
2021-10-14,300
2021-10-24,1400
2023-02-11,100
2023-02-16,200
2023-02-21,500
2023-03-28,500
