date,value
2017-02-19,84600
2017-04-20,87100
2017-05-10,104600
2017-05-30,97800
2017-06-19,85800
2017-07-04,91400
2017-08-03,81800
2017-08-13,90100
2017-08-18,76500
2017-09-27,98100
2017-10-07,88000
2017-10-17,77900
2017-11-21,93600
2018-02-09,83200
2018-04-15,114300
2018-05-05,108400
2018-05-20,107200
2018-05-25,104300
2018-06-14,107400
2018-06-19,103400
2018-06-24,98500
2018-06-29,96900
2018-07-04,69500
2018-07-09,82400
2018-07-19,83900
2018-07-29,87700
2018-08-03,90200
2018-08-28,88200
2018-09-12,83600
2018-09-17,73600
2018-09-27,80800
2018-10-12,88900
2021-02-08,100600
2021-02-23,97500
2021-02-28,97100
2021-03-10,81100
2021-03-30,88700
2021-04-04,100400
2021-04-09,92800
2021-04-24,98500
2021-05-29,108100
2021-06-13,100000
2021-06-18,98100
2021-07-18,103500
2021-08-12,89400
2021-09-01,86200
2021-09-06,86900
2021-10-01,82500
2021-10-16,81900
2021-11-20,63800
2022-01-24,88800
2022-01-29,79900
2022-02-08,77400
2022-02-13,93900
2022-02-28,89600
2022-03-05,94800
2022-03-10,93700
2022-03-25,92500
2022-04-14,103900
2022-05-14,85900
2022-06-18,95000
2022-06-23,90500
2022-07-03,89200
2022-07-08,81800
2022-07-13,83000
2022-07-18,89000
2022-08-02,77300
2022-08-12,67100
2022-08-22,83300
2022-09-11,84100
2022-09-21,74500
2022-10-06,85000
2022-10-11,82700
2022-10-16,72700
2022-10-26,95600
2023-02-03,81800
2023-02-13,85300
2023-03-05,86800
2023-04-04,106200
2023-04-09,100200
2023-04-19,104600
2023-05-04,101700
2023-05-29,91600
2023-06-03,101100
2023-06-18,90700
2023-06-23,90200
2023-06-28,92400
2023-08-22,77600
