date,value
2017-01-26,509506.0146588859
2017-02-15,662417.8909184247
2017-02-25,702195.0253308947
2017-03-10,780110.7751438991
2017-04-09,1078222.7128470119
2017-04-19,993510.9295271378
2017-05-06,903957.4710878222
2017-05-16,1014923.7351765564
2017-05-26,985404.911872049
2017-06-18,879723.6580213865
2017-07-05,951270.7420602854
2017-07-18,843427.3282177134
2017-08-02,899088.2612920281
2017-08-12,941329.0310116797
2017-08-14,946294.3213928723
2017-08-17,818034.9550621544
2017-08-22,864361.5557505129
2017-08-29,811505.8173409599
2017-09-08,689115.6435356908
2017-09-13,728667.5394534054
2017-09-21,679590.7944542023
2017-10-08,718912.4782639908
2017-10-11,650508.4998286384
2017-10-13,751046.1774357109
2017-10-16,724226.4734487386
2017-10-23,739373.2741888716
2017-10-26,719796.9855496286
2017-10-31,704823.4724163836
2017-11-07,752848.922903552
2017-11-17,778280.4684061749
2017-11-20,828340.0515435982
2017-11-22,807784.8989739715
2017-11-30,783776.884879896
2017-12-05,786531.2739167957
2018-01-29,1014923.7351765564
2018-02-15,981362.5223439877
2018-02-25,950274.5679175089
2018-03-02,931431.8756994392
2018-03-22,982372.4556513518
2018-04-19,999609.0097145089
2018-04-21,999609.0097145089
2018-04-24,923546.2782748711
2018-05-06,920596.549711432
2018-05-11,1011852.8515048402
2018-05-24,519473.6519128247
2018-06-03,960256.3201301594
2018-06-20,1022104.5496686371
2018-06-23,1050003.8207964646
2018-06-25,946294.3213928723
2018-07-13,897143.7169628846
2018-07-23,911771.5108706634
2018-08-02,950274.5679175089
2018-08-04,885514.1642205913
2018-08-12,988441.3511326065
2018-08-19,907860.907440528
2018-08-22,876834.4793077662
2018-08-27,895200.967543823
2018-09-01,821775.8999231484
2018-09-03,812437.1856670288
2018-09-08,801290.8402437743
2018-09-11,733120.173128748
2018-09-23,646277.4825009328
2018-09-26,621970.130041617
2018-10-03,597243.7965188709
2018-11-15,468987.08256134216
2018-11-17,524101.83812408743
2018-11-30,499620.8122464793
2018-12-07,575356.6794341286
2019-02-13,747446.2149158386
2019-02-15,837755.9979427935
2019-02-18,670980.9241715039
2019-02-20,794819.1386709056
2019-02-23,599697.174907641
2019-02-25,759173.0330248809
2019-02-28,740268.4218502598
2019-03-07,780110.7751438991
2019-03-20,637850.781845477
2019-03-22,699570.7653973858
2019-03-27,743853.6279730041
2019-03-30,494332.2390286168
2019-04-09,786531.2739167957
2019-05-01,804998.9950453533
2019-05-06,922562.5885147318
2019-05-14,264845.96455284086
2019-05-31,870108.8243092893
2019-06-08,770977.5771508348
2019-06-13,945300.3726177391
2019-06-23,672699.1540931961
2019-06-28,933407.7389739788
2019-07-05,871068.2804803756
2019-07-10,917650.8443540653
2019-07-15,842480.9739863855
2019-08-09,565741.0695378538
2019-08-14,516397.9207591371
2019-08-17,241612.3979483295
2019-08-22,372692.940786934
2019-08-24,442773.30601296434
2019-09-11,125273.75923708154
2019-09-13,343139.06485823216
2019-09-16,275332.0370726664
2019-10-11,174545.66168597183
2019-10-13,309057.78269077063
2019-12-05,803144.0054188718
2019-12-10,932419.5842455568
2019-12-15,897143.7169628846
2020-01-09,762796.9301790461
2020-01-19,602975.0123480981
2020-01-24,553027.8747795087
2020-02-05,770977.5771508348
2020-02-10,746547.3765152873
2020-02-15,693463.7885920766
2020-02-20,664981.8777378735
2020-02-23,679590.7944542023
2020-03-11,960256.3201301594
2020-03-21,929457.7974331774
2020-03-26,958256.413494016
2020-04-08,348966.48750254966
2020-04-10,937364.8183175441
2020-04-13,911771.5108706634
2020-05-03,579383.5556486677
2020-05-18,13525.902886216356
2020-05-20,959256.1446526293
2020-05-25,1171309.8428723742
2020-05-28,481588.58811778337
2020-05-30,956258.2844069436
2020-06-14,888415.4877889708
2020-06-24,907860.907440528
2020-07-09,960256.3201301594
2020-07-19,817100.8558521256
2020-07-22,885514.1642205913
2020-07-24,852915.7639716039
2020-07-27,740268.4218502598
2020-08-06,611202.8993418992
2020-08-08,712733.9135487932
2020-08-31,308441.014450963
2020-09-02,448543.0094252709
2020-09-12,263115.1804411586
2020-09-15,212410.9946800742
2020-09-30,85978.791497698
2020-10-30,174062.2877424
2020-11-11,357457.60564620566
2020-11-14,382099.02689708525
2020-11-21,412308.73542178393
2020-11-26,385482.5363714099
2020-11-29,245514.6522264068
2021-01-18,733120.173128748
2021-02-17,993510.9295271378
2021-02-19,940337.3093294993
2021-02-24,950274.5679175089
2021-03-21,987428.762264062
2021-03-29,984393.6504824819
2021-03-31,960256.3201301594
2021-04-05,905908.293095065
2021-04-08,1017998.5845864161
2021-04-15,976319.4995776417
2021-04-23,1062506.165947366
2021-05-03,1002664.0126663654
2021-05-08,1036530.8627529797
2021-05-28,1009807.7997868697
2021-06-14,1028276.701377529
2021-07-22,307824.7714682465
2021-08-26,140776.37572732216
2021-08-31,105815.64463165237
2021-09-05,91047.86842849091
2021-09-12,47750.35116693246
2021-09-15,22264.875216230026
2021-09-17,26873.925332698072
2021-09-22,34468.007188859934
2021-09-25,27530.883781710458
2021-09-30,23279.872124365673
2021-10-07,40748.883621885
2021-10-20,30455.417196876173
2021-10-27,32317.329457086227
2021-11-11,80685.59923662258
2021-11-19,79644.20075036002
2021-12-14,933407.7389739788
2023-01-20,958256.413494016
2023-02-02,953264.4248783374
2023-02-04,904932.6580135637
2023-02-09,895200.967543823
2023-02-12,882616.8869793012
2023-02-17,905908.293095065
2023-02-24,887447.9304615138
2023-04-05,995541.8555304265
2023-04-18,925514.9981609548
