date,value
2017-02-19,17100
2017-03-11,62500
2017-03-14,62500
2017-04-10,64400
2017-04-20,65000
2017-04-23,64000
2017-04-30,63700
2017-05-10,64700
2017-05-13,63600
2017-06-12,63900
2017-06-19,66600
2017-06-22,65800
2017-06-29,66700
2017-07-19,67800
2017-07-22,67800
2017-07-29,68200
2017-08-06,66800
2017-08-23,60800
2017-08-26,58400
2017-09-22,59500
2017-09-25,59500
2017-09-27,59500
2017-10-05,54100
2017-10-07,53000
2017-10-15,53600
2017-10-17,53700
2017-10-25,53700
2017-10-27,49300
2017-11-01,54200
2018-02-04,56500
2018-02-12,56500
2018-02-14,56500
2018-03-04,100
2018-03-14,100
2018-03-24,600
2018-03-31,600
2018-04-08,63700
2018-04-15,63700
2018-04-18,63700
2018-04-25,68000
2018-04-30,68000
2018-05-05,68000
2018-06-24,67700
2018-06-27,70500
2018-06-29,70500
2018-07-02,67400
2018-07-04,67400
2018-07-09,65800
2018-07-14,65200
2018-07-17,65200
2018-07-19,66900
2018-07-24,66100
2018-07-27,62300
2018-07-29,62300
2018-08-01,63400
2018-08-03,61100
2018-08-06,62500
2018-08-11,57800
2018-08-16,53200
2018-08-18,53200
2018-08-21,53200
2018-08-23,53200
2018-08-26,53200
2018-09-10,48900
2018-09-17,49700
2018-09-20,49700
2018-09-22,51000
2018-09-25,51000
2018-09-27,46200
2018-09-30,44300
2018-10-05,43300
2018-10-10,40200
2018-10-12,40500
2018-10-20,42600
2018-10-22,42200
2018-11-14,23900
2018-11-19,23900
2019-01-30,14800
2019-02-12,2500
2019-02-14,1400
2019-02-17,2300
2019-02-24,2700
2019-02-27,2100
2019-03-21,62100
2019-03-24,63800
2019-03-29,60200
2019-03-31,61000
2019-04-15,64800
2019-04-18,64300
2019-04-20,62900
2019-04-25,62900
2019-05-23,63300
2019-05-25,63300
2019-05-30,63300
2019-06-02,65500
2019-06-04,63100
2019-06-07,65300
2019-06-17,65100
2019-06-19,65100
2019-06-24,65100
2019-06-27,67300
2019-06-29,66400
2019-07-02,66400
2019-07-04,65600
2019-07-09,66800
2019-07-17,62200
2019-07-22,65600
2019-07-24,59500
2019-07-29,59600
2019-08-01,56700
2019-08-03,58100
2019-08-08,57400
2019-08-11,57900
2019-08-21,65400
2019-08-23,61300
2019-08-26,61500
2019-08-28,63200
2019-08-31,64900
2019-09-02,64900
2019-09-10,65200
2019-09-12,65500
2019-09-15,66100
2019-09-17,59900
2019-09-20,61000
2019-09-22,61000
2020-02-07,68700
2020-02-09,68700
2020-02-19,68700
2020-02-22,68700
2020-03-15,60500
2020-03-18,60500
2020-03-20,60500
2020-03-23,61200
2020-03-25,63600
2020-03-28,63600
2020-03-30,62400
2020-04-02,64300
2020-04-04,64800
2020-04-07,63100
2020-04-09,63300
2020-04-12,62000
2020-04-14,63000
2020-04-17,63600
2020-04-19,62600
2020-04-22,62100
2020-04-24,64500
2020-04-27,64000
2020-05-07,64400
2020-05-09,68100
2020-05-12,68100
2020-05-17,71200
2020-05-19,67000
2020-05-27,69300
2020-05-29,65900
2020-06-01,66500
2020-06-08,65200
2020-06-23,67600
2020-07-01,70700
2020-07-06,70700
2020-07-08,67000
2020-07-11,69300
2020-07-13,69300
2020-07-18,62800
2020-07-21,62800
2020-07-23,65700
2020-07-31,65000
2020-08-05,62400
2020-08-07,62400
2020-08-12,56600
2020-08-15,56600
2020-08-20,53200
2020-09-04,55300
2020-09-09,52500
2020-09-11,52500
2020-09-14,50200
2020-09-16,50200
2020-09-21,52400
2020-10-14,64600
2020-10-19,67300
2020-10-31,61200
2020-11-18,59600
2020-11-23,62000
2020-11-25,62200
2020-11-28,62100
2020-11-30,61900
2021-02-21,66100
2021-02-23,69200
2021-02-28,65400
2021-03-08,65700
2021-03-23,63700
2021-03-28,64300
2021-03-30,65200
2021-04-02,64500
2021-04-04,65600
2021-04-24,65300
2021-04-27,65600
2021-05-24,65300
2021-05-29,66500
2021-06-01,65400
2021-06-03,65400
2021-06-16,63900
2021-06-18,64900
2021-06-21,64900
2021-07-18,63600
2021-07-21,66000
2021-07-23,63700
2021-09-01,59800
2021-09-04,59800
2021-09-06,59300
2021-09-24,48700
2021-10-01,47400
2021-10-09,43000
2021-10-14,44000
2021-10-16,44000
2021-10-21,39700
2021-10-24,40500
2021-10-29,44600
2022-02-08,6400
2022-02-11,6400
2022-02-13,7300
2022-02-23,8400
2022-02-28,65100
2022-03-03,66700
2022-03-05,65300
2022-03-08,66200
2022-03-10,65400
2022-03-20,68600
2022-03-23,68900
2022-03-25,67700
2022-03-28,68300
2022-04-04,67700
2022-04-17,66300
2022-04-22,68600
2022-04-27,68600
2022-06-13,64600
2022-06-16,64500
2022-06-18,65600
2022-06-23,65500
2022-06-28,68200
2022-07-03,66100
2022-07-06,66100
2022-07-08,66100
2022-07-11,64300
2022-07-13,65200
2022-07-16,64400
2022-07-18,62000
2022-07-28,60400
2022-08-10,55100
2022-08-12,55500
2022-08-17,52300
2022-08-22,52800
2022-08-25,53100
2022-08-30,52700
2022-09-01,52700
2022-09-04,52700
2022-10-04,54900
2022-10-09,57100
2022-10-19,58100
2022-10-26,57900
2022-11-10,64400
