date,value
2017-03-17,412682.3045563425
2017-03-27,431874.3125594087
2017-04-03,380660.94343056186
2017-04-06,380660.94343056186
2017-05-16,191809.77326116108
2017-05-23,191809.77326116108
2017-05-26,370711.9065521385
2017-06-02,274078.00170951255
2017-06-05,274078.00170951255
2017-06-25,205054.04921909963
2017-07-02,237659.79630922928
2017-07-05,253311.31334722257
2017-07-07,255956.2475302396
2017-07-12,255956.2475302396
2017-08-04,543166.49045113
2017-08-06,543166.49045113
2017-08-14,480433.4329325228
2017-08-19,410306.4132413398
2017-08-21,349621.57079366664
2017-08-24,352606.0003924899
2017-08-26,374526.73595102417
2017-08-29,374526.73595102417
2017-09-03,368430.0619219326
2018-03-22,1244544.7345985102
2018-03-29,861220.3336340714
2018-04-01,861220.3336340714
2018-04-06,563526.1448470209
2018-04-16,683801.6740913449
2018-04-18,688600.6845717746
2018-04-21,679015.2897627477
2018-04-23,679015.2897627477
2018-04-26,542287.686400402
2018-05-06,439155.57525173476
2018-05-08,400854.5215311078
2018-05-11,495632.45463862846
2018-05-13,495632.45463862846
2018-05-18,364638.7686088433
2018-05-21,364638.7686088433
2018-05-26,390708.69390486757
2018-06-02,390708.69390486757
2018-06-20,278851.9623559888
2018-06-22,280221.6360444167
2018-06-25,323917.2282042609
2018-06-27,323917.2282042609
2018-07-02,332646.96054383286
2018-07-07,254632.4896159835
2018-07-10,285035.3267786032
2018-07-12,220504.22427055237
2018-07-15,350366.78413797653
2018-07-17,337779.5058820671
2018-07-25,375291.4623942571
2018-08-19,242835.24600259407
2018-08-21,242835.24600259407
2018-08-26,303889.346872864
2018-09-03,363126.3817207029
2018-09-05,363126.3817207029
2018-09-08,412682.3045563425
2018-09-10,412682.3045563425
2018-09-13,412682.3045563425
2018-09-18,328271.18693043187
2018-09-28,318865.27796231664
2018-09-30,318865.27796231664
2018-10-05,354101.7882740683
2018-10-08,354101.7882740683
2019-03-12,517035.9638612771
2019-03-22,518762.90767609834
2019-03-24,518762.90767609834
2019-03-27,277484.81273199583
2019-03-29,287107.7585135678
2019-04-01,287107.7585135678
2019-05-01,363882.27982964664
2019-05-06,410306.4132413398
2019-05-13,410306.4132413398
2019-05-16,389932.29997025477
2019-05-23,516173.3038538644
2019-05-31,577854.8638757457
2019-06-02,366153.5169607258
2019-06-25,372236.07655587344
2019-06-27,310986.96994189784
2019-06-30,369950.70332525345
2019-07-02,369950.70332525345
2019-07-05,323193.69438185357
2019-07-07,291269.52638092166
2019-07-10,308140.5311263701
2019-07-15,307430.459449822
2019-07-17,316709.3049670841
2019-07-20,314558.8344431034
2019-07-22,355599.9548725302
2019-07-25,361616.3587341585
2019-08-04,360108.702095931
2019-08-09,370711.9065521385
2019-08-14,308851.2183654456
2019-08-16,296153.31909243285
2019-08-21,350366.78413797653
2019-08-24,274758.09801693744
2019-08-26,293358.84240537835
2019-08-29,293358.84240537835
2019-08-31,236372.49068184546
2019-09-03,225536.93241831916
2019-09-13,219878.14080731882
2019-09-15,219878.14080731882
2019-09-18,241537.45652213483
2019-09-20,236372.49068184546
2020-03-21,417449.5373834498
2020-03-23,417449.5373834498
2020-03-26,417449.5373834498
2020-03-28,426242.798905954
2020-03-31,410306.4132413398
2020-04-02,410306.4132413398
2020-04-05,155757.53150643705
2020-04-07,155208.20395309088
2020-04-10,139070.68951947757
2020-04-12,139070.68951947757
2020-04-15,238304.4341825642
2020-05-20,431068.1102715617
2020-05-22,431068.1102715617
2020-05-25,458795.0077646719
2020-05-27,348132.93410648697
2020-05-30,364638.7686088433
2020-06-01,364638.7686088433
2020-07-04,507576.52709975623
2020-07-09,466242.7919295927
2020-07-11,466242.7919295927
2020-07-14,509291.53908849764
2020-07-19,434296.3148383093
2020-07-21,360108.702095931
2020-07-24,525692.3008359778
2020-07-29,497332.2008837746
2020-07-31,280221.6360444167
2020-08-05,448116.8883284938
2020-08-08,351112.59372889926
2020-08-10,274078.00170951255
2020-09-12,308140.5311263701
2020-09-14,311700.11591866484
2020-09-17,351112.59372889926
2021-03-01,471232.986323884
2021-03-06,429457.40497877507
2021-03-21,519627.1910355624
2021-03-23,551099.7652182408
2021-03-26,551099.7652182408
2021-03-28,534402.5495323745
2021-03-31,521357.3795411753
2021-04-02,286416.32097303314
2021-04-05,307430.459449822
2021-04-07,308140.5311263701
2021-04-15,458795.0077646719
2021-04-17,456322.44169023883
2021-04-22,454676.8558491398
2021-07-19,338515.13600271754
2021-07-21,314558.8344431034
2021-07-29,335576.2269446031
2021-09-22,229339.41291785863
2021-09-24,231249.60166473445
2021-09-27,231249.60166473445
2021-10-02,453033.5055787619
2021-10-07,470399.900955892
2021-10-09,470399.900955892
2021-10-12,297554.2888353326
2021-10-14,257946.71772605117
2021-10-17,316709.3049670841
2021-10-19,353353.5968375662
2021-10-22,353353.5968375662
2023-03-06,391485.66817070363
2023-04-05,309562.5208151019
2023-04-07,309562.5208151019
