date,value
2017-01-26,226600.61514233853
2017-02-25,249135.97174520034
2017-03-17,243366.33793966463
2017-03-27,200839.23768828245
2017-05-16,265324.5101313063
2017-05-26,259493.87723915998
2017-06-25,253270.7486353027
2017-07-05,260741.49122770497
2017-08-04,258662.68538211109
2017-08-14,265741.80195374385
2017-08-19,240489.95398230178
2017-08-24,262406.5138543303
2017-08-29,225381.70070642018
2017-09-28,249962.0251623311
2017-10-08,242955.07980006543
2017-10-13,257001.6278577042
2017-10-18,230263.85857441582
2017-10-28,221731.51248784395
2017-11-07,210037.81434364698
2017-11-22,205230.05105643618
2017-11-27,199246.4904554473
2018-02-10,204430.55439268542
2018-02-25,208834.14869604347
2018-03-17,222541.81225474935
2018-03-22,238029.0024787755
2018-04-21,253270.7486353027
2018-04-26,178345.7466757842
2018-05-11,223758.1774963427
2018-05-21,235163.20674269562
2018-06-20,255342.3449545158
2018-06-25,258247.25504894837
2018-07-10,261990.0938369943
2018-07-15,238438.86996196193
2018-07-25,231079.22942029012
2018-07-30,252442.8932807993
2018-08-04,232303.17851866363
2018-08-19,253270.7486353027
2018-09-03,223758.1774963427
2018-09-08,247897.74126626836
2018-09-23,241311.20018624846
2018-09-28,245012.5195353625
2018-10-03,238029.0024787755
2018-11-17,208433.18146558982
2018-11-22,193292.52084349556
2019-01-11,192105.33075317764
2019-01-16,219303.55623688764
2019-02-15,234345.46524279623
2019-02-20,218091.24104985257
2019-02-25,243366.33793966463
2019-03-22,229041.6979549364
2019-03-27,230671.48438163963
2019-05-01,229041.6979549364
2019-05-31,217283.6496210453
2019-06-30,242543.93682418423
2019-07-05,264907.32688231487
2019-07-10,242132.90914259426
2019-07-15,271176.4242792646
2019-07-25,267412.05270004546
2019-08-04,253270.7486353027
2019-08-09,247485.22484962476
2019-08-14,254099.05200585304
2019-08-24,266994.32772210764
2019-08-29,232711.39907874205
2019-09-03,266994.32772210764
2019-09-13,258247.25504894837
2019-10-08,229041.6979549364
2019-10-13,253684.84437978617
2019-11-27,180692.45078872694
2020-01-06,218091.24104985257
2020-01-11,212448.56882243895
2020-01-16,201237.75194931575
2020-02-05,210037.81434364698
2020-02-15,187368.7491019424
2020-02-20,225787.88461615634
2020-04-05,210439.29033485556
2020-04-10,254099.05200585304
2020-04-15,240900.5191743104
2020-04-25,188945.43351276236
2020-05-20,260741.49122770497
2020-05-25,236800.10108549934
2020-05-30,257416.7261674852
2020-06-19,258662.68538211109
2020-06-24,220516.98141295716
2020-07-19,261157.58240697777
2020-07-24,230671.48438163963
2020-07-29,248310.37130526578
2020-08-08,269920.66674873687
2020-09-02,244189.1991893816
2020-09-12,231079.22942029012
2020-09-17,256586.64046138563
2020-10-17,218091.24104985257
2020-11-11,204030.99987397145
2020-12-16,199246.4904554473
2021-02-14,225787.88461615634
2021-02-24,230671.48438163963
2021-03-01,217283.6496210453
2021-03-21,232303.17851866363
2021-03-26,238029.0024787755
2021-03-31,236800.10108549934
2021-04-05,261990.0938369943
2021-04-15,263239.6819122269
2021-04-20,242132.90914259426
2021-05-30,247485.22484962476
2021-06-09,258662.68538211109
2021-06-14,268247.826560086
2021-08-23,257831.93527103463
2021-09-17,218495.22252619942
2021-09-22,241721.996886202
2021-10-17,216880.03997622413
2021-10-27,212046.46052381853
2021-12-16,202434.07784323188
2021-12-21,216476.55458360104
2022-01-15,220112.38327533286
2022-01-25,204830.23817644417
2022-02-09,225787.88461615634
2022-03-01,259909.63852624982
2022-03-26,240900.5191743104
2022-04-05,261573.7833156887
2022-04-10,259493.87723915998
2022-04-30,257831.93527103463
2022-06-29,249548.94189436376
2022-07-14,253270.7486353027
2022-07-19,268665.8752169303
2022-08-08,264073.2865624105
2022-09-12,255342.3449545158
2022-09-22,257001.6278577042
2022-10-07,257831.93527103463
2022-10-22,235981.41905453274
2022-11-11,205230.05105643618
2022-11-16,224163.87614135648
2023-01-10,223352.60053497693
2023-02-09,207631.62996588633
2023-02-14,254099.05200585304
2023-02-19,245836.29794488192
2023-03-01,246660.5333904206
2023-03-16,266159.2022355306
2023-04-05,251201.9524295568
