date,value
2017-03-21,21559882.311960336
2017-03-31,21651634.250459746
2017-04-03,23874139.148812737
2017-04-10,23898855.869856354
2017-04-20,19768772.119791534
2017-04-23,21812898.98252221
2017-04-30,21657378.378454756
2017-05-03,19379821.256670088
2017-06-02,22325554.442510746
2017-06-09,21588523.647064287
2017-06-12,21348814.424915362
2017-06-19,19090560.068466786
2017-06-22,21645891.256356645
2017-07-02,20847410.526325203
2017-07-04,19941089.97356796
2017-07-07,23505666.4493933
2017-07-12,23129374.93167215
2017-07-14,21992482.923251726
2017-07-17,22354949.249503445
2017-08-03,19369245.883025266
2017-08-06,19817124.05559004
2017-08-11,20841827.057608552
2017-08-13,20841827.057608552
2017-08-18,19860177.39226935
2017-08-21,21195765.3012319
2017-08-23,19946492.854005035
2017-08-26,21934432.86082289
2017-09-02,22449206.21457666
2017-09-05,22372599.95333624
2017-09-07,22062293.83114976
2017-09-10,22062293.83114976
2017-09-12,22062293.83114976
2017-09-17,21485547.185370736
2017-09-20,22514179.22592928
2017-09-22,23646410.326486085
2017-09-25,23646410.326486085
2017-09-27,23165592.934233908
2017-10-02,23045030.150804583
2017-10-05,24004114.451871388
2017-10-07,22290318.65533226
2018-03-24,23244210.051786274
2018-03-26,22337308.911286544
2018-03-31,22443306.504771348
2018-04-05,24072406.541711446
2018-04-18,24529288.456243042
2018-04-20,24422319.802746534
2018-04-23,24422319.802746534
2018-04-25,23063084.730547782
2018-04-28,23063084.730547782
2018-05-05,22883011.881379887
2018-05-15,20564069.635590293
2018-05-25,23462955.373906612
2018-05-28,23462955.373906612
2018-06-09,23008952.549362592
2018-06-14,23045030.150804583
2018-06-19,23026986.091750972
2018-06-22,21992482.923251726
2018-06-27,23621888.198586952
2018-06-29,22484628.7147881
2018-07-02,22425614.298500616
2018-07-04,22865062.32752511
2018-07-07,22817248.077567123
2018-07-09,22366715.233410183
2018-07-12,22455107.07848644
2018-07-14,22674251.73337785
2018-07-17,22686142.552767225
2018-07-19,21922836.546273414
2018-07-22,22161474.75923962
2018-07-24,21841790.0488126
2018-07-27,21934432.86082289
2018-07-29,21212730.308732834
2018-08-01,21859138.352350075
2018-08-03,20033087.19205117
2018-08-06,19390400.92684585
2018-08-08,19438062.64292346
2018-08-11,19038314.359677266
2018-08-16,22437407.94892233
2018-08-18,22437407.94892233
2018-08-21,23039014.295686614
2018-08-23,23039014.295686614
2018-08-26,22674251.73337785
2018-08-28,22027367.79490963
2018-08-31,22027367.79490963
2018-09-02,21088554.623860035
2018-09-05,21156219.552776113
2018-09-07,20514367.39174563
2018-09-10,20774912.20347078
2018-09-12,20774912.20347078
2018-09-17,20647105.788038645
2018-09-20,22044825.665465504
2018-09-22,21457007.603251703
2018-09-25,21457007.603251703
2018-09-27,21525550.04912137
2018-10-02,21428496.243683167
2018-10-05,21714882.054786503
2019-03-19,19935688.182347126
2019-03-21,19989755.12658511
2019-03-24,20475771.942793798
2019-03-26,20054779.42019463
2019-03-29,19951896.823802516
2019-03-31,20256262.20319194
2019-04-05,20569597.633723646
2019-04-13,21969249.195627354
2019-04-15,22360831.665515263
2019-04-18,23389870.795982428
2019-04-20,23597385.00136581
2019-04-30,22591145.822127935
2019-05-05,23475152.639723714
2019-05-10,22461009.096648827
2019-05-13,22461009.096648827
2019-05-15,21634408.669238515
2019-05-23,21599988.106012873
2019-05-30,22050647.243260395
2019-06-02,22674251.73337785
2019-06-04,22585218.37290465
2019-06-07,22033185.94143764
2019-06-12,22243402.00626106
2019-06-17,18404358.202811092
2019-06-19,23377706.524652153
2019-06-24,23045030.150804583
2019-06-27,22888997.395687923
2019-06-29,23014962.561888736
2019-07-02,22502355.555306308
2019-07-04,21525550.04912137
2019-07-07,21917040.1002828
2019-07-12,21743676.465335775
2019-07-14,20098216.313479163
2019-07-17,21439897.401977323
2019-07-19,19806371.58333582
2019-07-22,20869755.533861
2019-07-24,19908695.55944284
2019-07-29,20022247.628563292
2019-08-01,20847410.526325203
2019-08-03,20580656.947689224
2019-08-06,21275021.806947198
2019-08-08,21617193.2890781
2019-08-11,22484628.7147881
2019-08-16,22745666.275761385
2019-08-18,21928634.133070998
2019-08-21,22865062.32752511
2019-08-23,21864923.39837309
2019-08-26,21235366.035904195
2019-08-31,20564069.635590293
2019-09-02,20903306.45919451
2019-09-05,20558542.743163
2019-09-07,20708157.366308082
2019-09-12,20752642.823835388
2019-09-15,20892118.360658802
2019-09-17,20914499.016042292
2019-09-20,20636019.909247577
2019-09-25,20758208.50241016
2019-09-27,20719272.070880994
2019-09-30,21571335.45034721
2019-10-02,21594255.31032699
2019-10-05,22184859.589261066
2019-10-07,22266851.1346692
2019-10-10,22302059.315717198
2020-03-18,21348814.424915362
2020-03-20,21749438.755588587
2020-03-25,20852995.108163144
2020-03-28,20730391.21455087
2020-03-30,20730391.21455087
2020-04-02,21542711.090581212
2020-04-04,21957639.18432083
2020-04-07,22805306.151128743
2020-04-09,22413825.262126513
2020-04-14,22384372.849873904
2020-04-22,22502355.555306308
2020-04-24,22284450.050375003
2020-04-29,22354949.249503445
2020-05-04,22021550.7918422
2020-05-07,22015734.93208786
2020-05-09,22015734.93208786
2020-05-14,21190112.54326181
2020-05-19,20597254.2150626
2020-05-22,21077292.814006183
2020-05-24,21139288.194957495
2020-05-27,23304819.737726007
2020-05-29,20564069.635590293
2020-06-03,20564069.635590293
2020-06-06,22455107.07848644
2020-06-21,21365870.50572228
2020-06-23,22126431.91692201
