date,value
2017-03-14,3418706.599615461
2017-03-17,3418706.599615461
2017-03-21,3418706.599615461
2017-04-03,3228492.263047755
2017-04-06,3228492.263047755
2017-04-10,3228492.263047755
2017-04-23,3188999.8143293615
2017-05-03,3188999.8143293615
2017-05-13,1139248.9341128462
2017-05-16,1139248.9341128462
2017-05-23,3138274.931385904
2017-05-26,3102472.8836636418
2017-05-30,3102472.8836636418
2017-06-02,3102472.8836636418
2017-06-12,3359847.7048700834
2017-06-15,3359847.7048700834
2017-06-19,3359847.7048700834
2017-06-22,3359847.7048700834
2017-07-02,3391749.2975250664
2017-07-04,3391749.2975250664
2017-07-05,3391749.2975250664
2017-07-07,3457606.080010889
2017-07-09,3457606.080010889
2017-07-10,3457606.080010889
2017-07-12,3274810.474820697
2017-07-14,3469479.7312487788
2017-07-17,3112220.8931008712
2017-07-19,3532508.700552248
2017-07-22,3423770.5276014176
2017-07-24,3138274.931385904
2017-07-27,3044240.278182682
2017-07-29,2891105.0217749584
2017-08-03,2790766.2234818176
2017-08-04,2790766.2234818176
2017-08-06,2878485.7516878005
2017-08-08,2679574.552392597
2017-08-09,2679574.552392597
2017-08-11,2679574.552392597
2017-08-13,2679574.552392597
2017-08-14,2679574.552392597
2017-08-21,2831359.031324424
2017-08-23,2831359.031324424
2017-08-24,2831359.031324424
2017-08-26,2831359.031324424
2017-08-29,2831359.031324424
2017-09-20,3032968.215210407
2017-09-23,2773662.5026055207
2017-09-27,2773662.5026055207
2017-09-28,2773662.5026055207
2017-10-05,2349607.9782756767
2017-10-07,2349607.9782756767
2017-10-08,2349607.9782756767
2017-10-10,2582250.9359842455
2017-10-12,2582250.9359842455
2017-10-13,2582250.9359842455
2017-10-15,2582250.9359842455
2017-10-17,2416866.186048738
2017-10-25,2160820.2736139284
2017-10-27,2160820.2736139284
2017-10-28,2160820.2736139284
2017-10-30,2297498.3933521225
2017-11-01,2297498.3933521225
2017-11-06,2136964.8662132504
2017-11-07,2136964.8662132504
2017-11-09,2136964.8662132504
2017-11-14,2016535.17429395
2017-11-16,2016535.17429395
2017-11-17,2016535.17429395
2017-11-19,2165040.965786757
2017-11-21,2165040.965786757
2017-11-22,2165040.965786757
2018-01-28,1994690.0748717082
2018-01-30,1994690.0748717082
2018-02-02,2181956.430977879
2018-02-04,2181956.430977879
2018-02-07,2181956.430977879
2018-02-09,2148177.835983194
2018-02-12,2148177.835983194
2018-03-19,2980052.5143361646
2018-03-21,2980052.5143361646
2018-03-26,2980052.5143361646
2018-04-18,3907609.7230137736
2018-04-20,3907609.7230137736
2018-04-21,3907609.7230137736
2018-04-23,3907609.7230137736
2018-04-25,3907609.7230137736
2018-04-26,3907609.7230137736
2018-06-27,3449134.802824874
2018-06-29,3449134.802824874
2018-07-02,3406902.349538855
2018-07-04,3401848.351072786
2018-07-05,3401848.351072786
2018-07-07,3565049.873074965
2018-07-09,3484769.6029808642
2018-07-10,3484769.6029808642
2018-07-12,3537638.898643791
2018-07-14,3537638.898643791
2018-07-15,3537638.898643791
2018-07-17,3520549.742504055
2018-07-19,3435597.934805313
2018-07-20,3435597.934805313
2018-07-22,3435597.934805313
2018-07-24,3358171.992134602
2018-07-25,3358171.992134602
2018-07-27,3464389.0437198663
2018-07-29,3359847.7048700834
2018-07-30,3359847.7048700834
2018-08-01,3604600.2355921925
2018-08-03,3604600.2355921925
2018-08-04,3604600.2355921925
2018-08-06,3386704.244265613
2018-08-08,3611496.243917865
2018-08-11,3216953.6909276964
2018-08-13,3530799.2917717802
2018-08-16,3135013.459231491
2018-08-18,3233442.387828976
2018-08-19,3233442.387828976
2018-08-21,2952937.470171962
2018-08-23,3192283.4746007333
2018-08-26,2910075.016568938
2018-08-28,3068450.5930639366
2018-08-31,2889526.413982731
2018-09-02,3131753.3343198122
2018-09-03,3131753.3343198122
2018-09-05,3131753.3343198122
2018-09-07,2932268.9174559996
2018-09-08,2932268.9174559996
2018-09-10,2932268.9174559996
2018-09-20,2829793.465847507
2018-09-22,2829793.465847507
2018-09-23,2829793.465847507
2018-09-25,2829793.465847507
2018-09-27,2829793.465847507
2018-09-28,2829793.465847507
2018-09-30,2829793.465847507
2018-10-25,3286430.9486351856
2018-10-30,3037797.0654236064
2018-11-01,3094358.824313911
2018-11-02,3094358.824313911
2018-11-04,3094358.824313911
2019-02-07,3162778.886884416
2019-02-12,3164415.174860631
2019-02-14,3164415.174860631
2019-02-15,3164415.174860631
