date,value
2017-02-25,12000
2017-03-07,12000
2017-03-14,12000
2017-03-17,13000
2017-03-27,12800
2017-04-03,12000
2017-04-06,12000
2017-04-23,12300
2017-05-03,12300
2017-05-16,13500
2017-05-23,13500
2017-05-26,13800
2017-06-02,14100
2017-06-05,13500
2017-06-12,11500
2017-06-25,13700
2017-07-02,13700
2017-07-05,14700
2017-07-07,14700
2017-07-10,14700
2017-07-12,14700
2017-07-17,12100
2017-08-04,11700
2017-08-06,12900
2017-08-11,12900
2017-08-14,11600
2017-08-19,11800
2017-08-21,12400
2017-08-24,12300
2017-08-26,12400
2017-08-29,13000
2017-09-03,11100
2017-09-05,11100
2017-09-08,11000
2017-09-20,10100
2017-09-23,12400
2017-09-28,12400
2017-10-03,12400
2017-10-05,11300
2017-10-08,12100
2017-10-10,11300
2017-10-13,11700
2017-10-15,11400
2017-10-18,11200
2017-10-25,10900
2017-10-28,10100
2017-10-30,11400
2017-11-07,10300
2017-11-14,10800
2017-11-17,10700
2017-11-19,11500
2017-11-22,10600
2017-11-24,10600
2017-11-27,11400
2017-11-29,10200
2017-12-09,11400
2017-12-14,11400
2017-12-19,11400
2018-02-02,10700
2018-02-10,12200
2018-02-12,12200
2018-03-14,11800
2018-03-19,11800
2018-03-22,12900
2018-04-01,13500
2018-04-21,14100
2018-04-23,14100
2018-04-26,13800
2018-05-06,13900
2018-05-11,13100
2018-05-18,13100
2018-05-21,14100
2018-05-23,12900
2018-06-20,13300
2018-06-22,13500
2018-06-25,13100
2018-06-27,13100
2018-07-02,13100
2018-07-07,13300
2018-07-10,12000
2018-07-12,11900
2018-07-15,13100
2018-07-17,13100
2018-07-20,13100
2018-07-22,13200
2018-07-25,12600
2018-07-27,13100
2018-07-30,13100
2018-08-01,12500
2018-08-04,12500
2018-08-06,12900
2018-08-11,12200
2018-08-16,12700
2018-08-19,13000
2018-08-21,11700
2018-08-26,13100
2018-08-31,11500
2018-09-03,11500
2018-09-08,13100
2018-09-10,11500
2018-09-13,11800
2018-09-20,11900
2018-09-23,12900
2018-09-25,13500
2018-09-28,12700
2018-09-30,12700
2018-10-03,13300
2018-10-05,12300
2018-10-20,11400
2018-10-23,11400
2018-10-25,11400
2018-10-30,11400
2018-11-19,10500
2018-11-22,11500
2018-11-24,11500
2018-11-27,11500
2018-11-29,10500
2018-12-19,10500
2018-12-27,10500
2018-12-29,10500
2019-01-03,6800
2019-01-11,6800
2019-01-16,8600
2019-01-23,7500
2019-01-28,7500
2019-02-12,7300
2019-02-15,8000
2019-02-17,7300
2019-02-20,8500
2019-02-22,7800
2019-02-25,7900
2019-02-27,7800
2019-03-12,8100
2019-03-22,9000
2019-03-24,8200
2019-03-27,8800
2019-03-29,8800
2019-04-01,8500
2019-04-08,8500
2019-04-13,8200
2019-05-01,5500
2019-05-06,8300
2019-05-11,8300
2019-05-13,6400
2019-05-16,6400
2019-05-23,7000
2019-05-31,8900
2019-06-02,6800
2019-06-12,8400
2019-06-17,8400
2019-06-22,8400
2019-06-25,8400
2019-06-27,8400
2019-06-30,8400
2019-07-02,8400
2019-07-05,10300
2019-07-07,10300
2019-07-10,10300
2019-07-12,10500
2019-07-15,10600
2019-07-17,10200
2019-07-22,9000
2019-07-25,9500
2019-08-01,9500
2019-08-04,8500
2019-08-09,8500
2019-08-11,8900
2019-08-14,8700
2019-08-16,8700
2019-08-21,9100
2019-08-24,9500
2019-08-26,9200
2019-08-29,9200
2019-08-31,7500
2019-09-03,7600
2019-09-05,7600
2019-09-13,8200
2019-09-15,7800
2019-09-18,8700
2019-09-20,8700
2019-10-05,8200
2019-10-08,7200
2019-10-13,8400
2019-10-25,7800
2020-01-06,6500
2020-01-11,8600
2020-01-16,6900
2020-01-18,7200
2020-02-05,6100
2020-02-07,6100
2020-02-15,6700
2020-02-20,6100
2020-02-22,5700
2020-03-01,5700
2020-03-08,5600
2020-03-18,7200
2020-03-21,7900
2020-03-28,7900
2020-03-31,7900
2020-04-05,9300
2020-04-07,9700
2020-04-10,9500
2020-04-12,9600
2020-04-15,9200
2020-04-25,9900
2020-05-17,8200
2020-05-20,10200
2020-05-22,8300
2020-05-25,9100
2020-05-27,8500
2020-05-30,8700
2020-06-21,6400
2020-06-24,10200
2020-06-26,8800
2020-07-01,8800
2020-07-04,9400
2020-07-09,9900
2020-07-11,8500
2020-07-14,10500
2020-07-19,7700
2020-07-21,7500
2020-07-24,7800
2020-07-26,7300
2020-07-29,9100
2020-07-31,8300
2020-08-03,8300
2020-08-05,7800
2020-08-08,8700
2020-08-10,9000
2020-08-15,7700
2020-08-20,8100
2020-08-23,9000
2020-08-25,8600
2020-09-02,7100
2020-09-04,7200
2020-09-07,5300
2020-09-12,5800
2020-09-14,6400
2020-09-17,6100
2020-09-19,6900
2020-10-17,7100
2020-10-24,7100
2020-11-01,7100
2020-11-06,6700
2020-11-08,7100
2020-11-11,6100
2020-11-18,6200
2020-11-21,6200
2020-11-23,5900
2020-11-26,5900
2020-12-18,7900
2021-02-06,11000
2021-02-11,11000
2021-02-14,12900
2021-02-19,12700
2021-02-24,12300
2021-03-01,11300
2021-03-23,12100
2021-03-26,12100
2021-03-28,13200
2021-03-31,13000
2021-04-02,13600
2021-04-05,12400
2021-04-07,12300
