date,value
2017-02-15,21400
2017-02-25,17400
2017-03-17,17700
2017-04-06,17100
2017-05-06,16800
2017-05-16,18500
2017-05-26,19600
2017-06-05,16400
2017-06-25,19000
2017-07-05,19900
2017-08-14,18800
2017-08-24,18800
2017-08-29,16600
2017-10-08,16800
2017-10-13,18700
2017-10-23,16300
2017-10-28,15100
2017-11-07,15200
2017-11-17,16500
2017-11-22,15700
2017-11-27,15200
2018-02-10,15000
2018-02-25,16800
2018-04-21,18100
2018-05-06,14200
2018-05-11,18000
2018-05-21,16500
2018-06-20,18300
2018-06-25,18300
2018-07-10,19200
2018-07-15,17800
2018-07-25,17200
2018-08-04,14900
2018-08-19,18600
2018-09-03,16100
2018-09-08,18800
2018-09-18,18000
2018-09-23,18000
2018-09-28,19000
2018-10-03,16500
2018-10-23,14400
2018-11-12,14800
2018-11-17,15000
2018-11-22,14400
2018-11-27,14800
2019-01-16,16500
2019-02-15,16800
2019-02-20,15800
2019-02-25,16800
2019-03-07,16100
2019-03-22,15600
2019-03-27,17200
2019-05-01,15600
2019-05-16,7100
2019-05-31,13800
2019-07-05,20100
2019-07-10,17600
2019-07-15,19600
2019-07-25,19600
2019-08-04,18200
2019-08-09,17700
2019-08-14,17000
2019-08-24,19000
2019-08-29,16500
2019-09-03,19300
2019-09-13,18700
2019-10-08,14600
2019-10-13,17200
2019-12-27,18700
2020-01-11,15800
2020-01-16,13300
2020-02-05,15800
2020-02-20,15300
2020-03-21,18000
2020-03-31,17500
2020-04-05,15400
2020-04-10,17900
2020-04-15,17200
2020-04-25,18300
2020-05-05,15400
2020-05-20,18300
2020-05-25,15300
2020-05-30,17400
2020-06-19,19500
2020-07-19,17300
2020-07-24,17600
2020-07-29,18100
2020-08-03,17000
2020-08-08,18200
2020-09-02,16800
2020-09-07,18400
2020-09-17,19000
2020-10-17,16400
2020-11-21,15200
2020-11-26,13000
2020-12-26,16600
2021-01-10,16400
2021-02-14,20300
2021-02-19,16700
2021-02-24,16800
2021-03-01,15100
2021-03-16,19500
2021-03-21,17200
2021-03-31,16700
2021-04-05,18500
2021-04-15,18700
2021-04-20,16400
2021-05-30,17100
2021-06-09,18800
2021-08-23,17200
2021-09-07,18200
2021-09-12,19400
2021-09-22,16900
2021-09-27,16300
2021-10-07,19000
2021-12-11,12800
2021-12-16,16400
2022-01-15,17200
2022-01-25,15400
2022-02-09,15900
2022-03-01,17000
2022-03-21,18700
2022-03-26,16800
2022-04-05,18600
2022-04-10,18700
2022-04-30,16800
2022-05-10,17000
2022-05-30,16700
2022-06-29,16600
2022-07-14,16800
2022-07-19,18000
2022-08-08,19500
2022-08-13,17700
2022-09-22,18400
2022-10-02,18200
2022-10-07,19200
2022-11-06,16800
2022-11-11,16400
2022-11-16,18200
2022-12-11,16200
2022-12-21,15100
2023-02-04,19500
2023-02-09,17100
2023-02-19,16500
2023-03-01,20300
2023-03-16,18200
2023-04-05,19200
2023-05-05,14100
2023-06-24,20300
2023-07-09,17500
2023-07-14,20000
2023-07-29,18600
2023-08-08,21000
2023-08-23,20200
