date,value
2017-03-13,115300
2017-04-12,130700
2017-06-21,127200
2017-07-06,125400
2017-08-25,122300
2017-11-13,124400
2018-02-11,119200
2018-02-21,114600
2018-02-26,138000
2018-04-22,109800
2018-05-07,117800
2018-05-17,120400
2018-05-22,131900
2018-06-26,139400
2018-07-16,117100
2018-08-05,123800
2018-09-04,113700
2018-10-04,122000
2018-10-09,122200
2018-11-03,112400
2018-11-18,102800
2019-02-16,124500
2019-02-21,112400
2019-02-26,65200
2019-03-28,70100
2019-04-12,84300
2019-04-22,85000
2019-05-12,87900
2019-05-27,98300
2019-06-01,94000
2019-06-21,82000
2019-06-26,88800
2019-07-06,80600
2019-07-11,90800
2019-07-16,86600
2019-08-20,86400
2019-08-30,88700
2019-09-14,85800
2019-09-19,66600
2019-10-09,71200
2019-12-03,64100
2019-12-13,100300
2019-12-23,53900
2019-12-28,105100
2020-01-17,86900
2020-01-22,69400
2020-02-06,103300
2020-03-17,71300
2020-04-01,85300
2020-04-11,80100
2020-05-26,96300
2020-05-31,84600
2020-06-25,70100
2020-07-20,81000
2020-07-30,70900
2020-08-09,72700
2020-09-08,60600
2020-09-13,62800
2020-11-12,31100
2020-12-17,43400
2021-01-01,114900
2021-02-10,96700
2021-04-01,117800
2021-04-16,91600
2021-05-21,98700
2021-05-31,83900
2021-06-15,88400
2021-07-15,88600
2021-07-20,86400
2021-08-14,80600
2021-09-13,71200
2021-10-08,77500
2021-11-22,78200
2021-12-17,90000
2022-02-05,99900
2022-03-07,97700
2022-03-17,118100
2022-03-22,104000
2022-03-27,119700
2022-04-16,109700
2022-04-21,107200
2022-05-31,109100
2022-06-15,125500
2022-07-10,122600
2022-07-15,124000
2022-07-20,106100
2022-07-30,102200
2022-08-09,111000
2022-09-18,83500
2022-11-12,88200
2022-12-07,92800
2022-12-27,84000
2023-01-21,97200
2023-02-15,108600
