date,value
2017-02-18,1213778.7463971127
2017-04-09,4792377.112043089
2017-04-29,4551194.539976463
2017-06-18,4283485.513241842
2017-08-02,3428637.6454194197
2017-08-07,3207058.097066643
2017-08-27,3437693.974909087
2017-10-11,2621983.9499411555
2017-10-16,2530622.030837167
2017-10-26,2202698.484991133
2017-11-25,1966780.7758048372
2018-01-14,3248940.2280854164
2018-03-20,7531811.011601667
2018-04-19,7418309.198027256
2018-04-24,7285519.86469157
2018-05-04,7454762.470240109
2018-05-19,7413673.31510926
2018-06-23,7625098.0656821765
2018-06-28,7411024.606926026
2018-07-18,6839418.343847488
2018-08-02,6947756.959004575
2018-08-22,5848085.027895619
2018-09-11,5020425.189637699
2018-09-26,4696064.082452068
2018-10-21,4339732.817098545
2018-11-15,3904482.320986686
2019-02-03,6602393.286056927
2019-02-18,7047434.335057373
2019-02-23,6840065.644319503
2019-03-30,7782413.845183223
2019-04-14,7827431.526955024
2019-06-13,4790035.723799329
2019-06-18,7723397.805575241
2019-07-03,7511863.20674029
2019-07-08,7474667.3437450435
2019-07-13,7152100.004992091
2019-07-23,6761222.991021653
2019-08-22,5132879.246886073
2019-09-06,4624627.946780136
2019-09-16,4540813.5734522315
2019-09-21,4378487.205224672
2019-10-11,3677677.456753341
2020-01-19,6322755.464039867
2020-03-19,6869212.073821863
2020-03-24,7167837.416613388
2020-04-13,7765635.016495452
2020-05-18,7726747.585922794
2020-05-28,7778385.992939143
2020-06-02,7765635.016495452
2020-07-07,6953609.215489869
2020-07-12,6741230.415817378
2020-08-06,5492054.038128671
2020-08-11,4853953.994182324
2020-09-10,4331197.176492796
2020-09-15,4031570.0231337873
2020-11-04,3344791.261877385
2020-11-14,3451557.88142854
2020-11-19,3236883.3915551724
2020-11-29,3549044.8818000215
2021-02-27,7383890.779700415
2021-03-09,7505881.78167708
2021-03-24,7344233.495056681
2021-03-29,7565756.564075101
2021-04-03,6923712.321633428
2021-04-13,6796088.688859942
2021-04-23,6826475.97125631
2021-05-03,7021336.166993544
2021-05-08,6447818.9793368075
2021-05-28,6662712.773256666
2021-07-17,5880932.344991364
2021-08-11,5019832.070063521
2021-08-26,4322666.287426527
2021-09-30,3273091.85720351
2021-11-09,3035417.564705443
2021-11-19,2913667.5834425623
