date,value
2017-03-14,596264.2553501066
2017-04-23,975651.1873381434
2017-07-07,945451.59736022
2017-08-21,831370.6928249907
2017-08-26,860267.6661062097
2017-10-05,682630.6376914751
2017-10-15,704848.2329389191
2018-03-14,782871.8465634119
2018-04-18,948987.3877016886
2018-06-22,844926.6367510236
2018-06-27,979225.6741165498
2018-07-17,927841.4088978433
2018-07-27,1031562.0505460333
2018-08-01,1024287.1989340574
2018-08-11,977437.8643898779
2018-08-16,844926.6367510236
2018-08-21,924333.1609257344
2018-08-26,853437.6202666229
2018-09-05,27405.75298962398
2018-09-10,853437.6202666229
2018-09-20,899904.7799737393
2018-09-25,827993.5954811102
2018-10-05,741880.290064863
2018-10-20,720868.3484141174
2019-02-27,812855.7394639392
2019-03-24,851733.0590343102
2019-05-23,966734.8145019071
2019-06-07,993568.8522772465
2019-06-12,993568.8522772465
2019-06-27,1017030.2116912674
2019-07-12,1084835.4453729314
2019-07-17,966734.8145019071
2019-07-22,979225.6741165498
2019-08-01,774612.5120060607
2019-08-11,887775.8621758261
2019-08-26,748387.498749754
2019-09-15,711241.3012974948
2019-09-20,679476.8713992205
2020-03-18,809504.9366356073
2020-03-28,988181.6906927349
2020-04-02,1026104.2385705117
2020-04-07,950756.9976796106
2020-05-17,714445.3312757721
2020-05-22,763100.556929849
2020-05-27,1038854.7277798287
2020-06-01,1137147.4531479133
2020-06-21,989976.2831757898
2020-07-31,1035206.1633716517
2020-08-05,853437.6202666229
2020-08-20,903380.6512734555
2020-08-25,963176.2164375965
2020-09-04,761460.8736933678
2020-09-14,838139.1656964615
2021-02-26,252890.08910333714
2021-03-23,963176.2164375965
2021-03-28,998966.1568769983
2021-04-02,1044335.9106082724
2021-05-22,917330.4974156793
2021-05-27,948987.3877016886
2021-06-01,863689.7594822368
2021-06-16,997165.9293836657
2021-07-11,725698.6718881787
2021-08-20,873984.2526743538
2021-09-24,733774.0205414151
2021-10-14,789501.1439178974
2021-10-24,772964.2912710544
