date,value
2017-03-14,4324525.809582561
2017-03-17,4379990.718076179
2017-03-27,4326832.086796932
2017-04-23,4248651.666349073
2017-05-03,4248651.666349073
2017-07-17,4734373.219160708
2017-08-21,4089212.9721532674
2017-08-24,4089212.9721532674
2017-08-26,4340678.451958629
2017-08-29,4340678.451958629
2017-10-05,3515339.4173650024
2017-10-10,3515339.4173650024
2017-10-13,3515339.4173650024
2017-10-15,3562757.7727549174
2017-10-18,3577890.295899889
2017-10-25,3577890.295899889
2017-10-28,3498149.5509093525
2018-03-14,3889488.854242784
2018-03-19,3889488.854242784
2018-03-24,3889488.854242784
2018-06-02,4303787.978814984
2018-06-10,3891714.1677576513
2018-06-12,3891714.1677576513
2018-06-22,4522032.087983445
2018-06-25,4522032.087983445
2018-06-27,4583037.333232816
2018-07-02,4533742.4527461305
2018-07-12,4623074.138643345
2018-07-15,4585389.188291794
2018-07-17,4531399.563047701
2018-07-20,4644317.576466136
2018-07-22,4644317.576466136
2018-07-25,4363788.844690649
2018-07-27,4762932.770519594
2018-07-30,4853752.456848568
2018-08-01,4940324.042893359
2018-08-04,4940324.042893359
2018-08-06,5020133.358696134
2018-08-11,4431042.477478893
2018-08-16,4543118.09320694
2018-08-19,4543118.09320694
2018-08-21,4141373.039110201
2018-08-26,4287681.804322127
2018-08-29,4463633.654315542
2018-09-03,4228037.414160052
2018-09-20,3728205.30061572
2018-09-25,4048547.7928001145
2018-09-28,4048547.7928001145
2018-09-30,4048547.7928001145
2018-10-05,3780975.7612306545
2018-10-10,3451024.147578434
2018-10-13,3451024.147578434
2018-10-15,3451024.147578434
2019-03-24,3954196.851757233
2019-03-27,3880591.892336893
2019-03-29,4241776.493632966
2019-04-08,4196038.057170607
2019-04-11,4331445.884638381
2019-04-13,4491632.964941976
2019-05-13,4479959.412754792
2019-05-16,4540773.570979024
2019-05-23,4670326.328140234
2019-05-31,4701127.008813823
2019-06-02,4777234.246680111
2019-06-05,4634871.995198478
2019-06-17,4232615.437600947
2019-06-25,4232615.437600947
2019-06-27,4359163.45707242
2019-06-30,4359163.45707242
2019-07-02,4214313.369205276
