date,value
2017-01-26,4298754.87277205
2017-02-15,4250435.401870524
2017-02-25,3772217.364066358
2017-03-14,4766667.662320607
2017-03-17,4531654.302129668
2017-03-27,4078169.2564283516
2017-04-03,4003939.006538336
2017-04-23,4531654.302129668
2017-05-16,5382768.274374461
2017-05-26,4667537.8564197365
2017-06-02,4685482.887120575
2017-07-05,4794712.452091188
2017-08-29,4643123.62933104
2017-10-05,4353642.018281518
2017-10-15,4402551.254029115
2017-10-18,4344993.510439065
2017-11-22,4198530.541281846
2018-02-22,4404924.857499437
2018-02-25,4468460.27641264
2018-03-14,4554965.029338876
2018-03-24,4658578.434712471
2018-04-18,4657764.374665585
2018-05-06,4470054.573382601
2018-05-11,4739527.494551489
2018-05-18,4400969.21212094
2018-06-22,4466069.371678489
2018-06-27,4989989.861271698
2018-08-19,4838595.716307672
2018-09-20,4362299.246548462
2018-09-25,4409674.010647233
2018-09-30,4200075.257703359
2018-10-05,4258988.001283752
2018-10-10,4083497.876121068
2018-10-13,4092640.8612690256
2018-10-18,3957334.0652576187
2018-10-20,3872363.1020712815
2018-10-23,3833914.9719064194
2018-11-19,3422425.472734574
2019-02-15,4054613.4923856
2019-02-17,4128550.726685895
2019-02-25,3784662.8204157404
2019-02-27,3867916.8507393645
2019-03-19,4282357.582174835
2019-03-22,4397805.993270893
2019-03-29,4504401.714032388
2019-04-11,4363086.699726216
2019-05-01,4435046.654657913
2019-05-13,4943735.959179244
2019-05-23,4750209.6951288115
2019-06-27,4973144.98893114
2019-06-30,4904382.960263904
2019-07-02,5045782.876159021
2019-07-10,4902711.9020599425
2019-07-15,4703462.835782191
2019-07-17,4828642.128201544
2019-07-25,4675690.360004611
2019-08-01,4557379.945357431
2019-08-21,3839079.3505583038
2019-08-24,4175394.369790917
2019-08-26,4171544.64371026
2019-08-31,3677011.2964256783
2019-09-03,3813292.707296623
2019-09-10,3864954.1221699086
2019-09-13,3467132.948490155
2019-09-15,3778071.4600972338
2019-09-20,3680622.4652039316
2019-10-13,3307152.1563003785
2020-01-21,4214764.434507918
2020-01-23,4166158.0522874338
2020-02-07,4207030.047256528
2020-02-15,4419972.7447289415
2020-03-13,4147716.531653009
2020-03-23,4972303.503482076
2020-03-26,4270664.686103284
2020-03-28,4304227.697775395
2020-03-31,4281577.551407426
2020-04-02,4220182.7917493945
2020-04-05,4223280.5807168735
2020-04-07,4337138.797686408
2020-04-10,4412049.560334595
2020-04-15,4319883.79651543
2020-04-20,4360724.556407716
2020-04-22,4578336.405870207
2020-05-07,4466866.267827343
2020-05-12,4362299.246548462
2020-05-20,4817870.802891377
2020-05-27,5022920.439853137
2020-05-30,5033921.707732245
2020-06-01,4843576.407919799
2020-06-24,4871016.659613029
2020-07-04,4797190.997591944
2020-07-06,4606624.0154733425
2020-07-09,4973986.546585583
2020-07-19,4910233.938008425
2020-07-29,4994205.592354913
2020-07-31,4829471.196908906
2020-08-05,4904382.960263904
2020-08-08,4866853.992981795
2020-08-10,4874348.092232364
2020-08-20,4811248.357563721
2020-09-04,4759258.005145746
2020-09-07,4633376.1168560535
2020-09-09,4544507.893231154
2020-09-12,4583986.859691822
2020-09-14,4677321.726424842
2020-09-17,4615532.6548884045
2020-09-22,4448555.896273292
2020-11-06,4568658.135358002
2020-11-18,4402551.254029115
2020-11-23,4491605.808861667
2021-02-14,4617963.798522933
2021-02-21,4383585.7800992215
2021-02-24,4625261.124451623
2021-03-01,4281577.551407426
2021-03-06,4333998.930436744
2021-03-08,4519620.826174708
2021-03-23,4609052.77886795
2021-03-28,4448555.896273292
2021-03-31,4104847.6376740434
2021-04-02,5022920.439853137
2021-04-25,5076348.022845168
2021-04-27,4976511.652782912
2021-05-30,4734601.361061077
2021-06-01,4801323.350134142
2021-06-14,5029689.006520568
2021-06-16,4993362.3017195705
2021-07-19,4785630.008826927
2021-07-21,4917761.821539425
2021-09-02,4796364.743589996
2021-09-07,4702644.807843986
2021-09-22,4588025.061798303
2021-09-24,4613102.160416666
2021-10-14,4519620.826174708
2021-10-19,4498801.23427737
2021-10-22,4319100.307004685
2021-10-24,4457308.272312012
2021-11-11,4172314.444873479
2023-02-09,4160774.9900780204
2023-02-11,4324586.2468818445
2023-02-14,4077408.3130572755
2023-03-01,4315183.940369816
2023-04-05,5353900.196537674
2023-04-20,4980721.607235493
