date,value
2017-03-21,21100
2017-03-28,17400
2017-03-31,17400
2017-04-20,210900
2017-04-30,230600
2017-05-10,302100
2017-05-17,301900
2017-05-30,357600
2017-06-06,357600
2017-06-09,357600
2017-06-19,386900
2017-06-26,386900
2017-07-04,385700
2017-07-06,385700
2017-07-14,385700
2017-08-13,385500
2017-08-15,385500
2017-08-18,386800
2017-08-20,386800
2017-08-23,385600
2017-09-22,375800
2017-09-24,375800
2017-09-27,384800
2017-09-29,384800
2017-10-02,384800
2017-10-07,357700
2018-04-15,17300
2018-04-17,17300
2018-04-22,17300
2018-04-25,121100
2018-04-27,120800
2018-04-30,120800
2018-05-05,240000
2018-05-07,239700
2018-05-12,239700
2018-05-15,239700
2018-06-19,395900
2018-06-21,395900
2018-06-24,395900
2018-06-26,395900
2018-06-29,395900
2018-07-29,380500
2018-07-31,380500
2018-08-03,389000
2018-08-05,389000
2018-08-08,385000
2018-08-10,393500
2018-08-15,388500
2018-08-18,388500
2018-08-28,369900
2018-08-30,369900
2018-09-02,380300
2018-09-04,380300
2018-09-07,380300
2018-09-17,372400
2018-09-19,372400
2018-09-22,372400
2018-09-24,360200
2018-09-27,378100
2018-09-29,369900
2018-10-02,392000
2018-10-04,392000
2018-10-07,392000
2019-03-16,700
2019-03-18,700
2019-03-21,4300
2019-03-23,4300
2019-03-26,2100
2019-03-28,2100
2019-03-31,8100
2019-04-05,11500
2019-04-10,11300
2019-04-15,14100
2019-04-17,49400
2019-04-20,47900
2019-04-27,137000
2019-04-30,135000
2019-05-02,154600
2019-05-05,154600
2019-05-07,153200
2019-05-10,179600
2019-05-12,179600
2019-05-15,278300
2019-05-30,285600
2019-06-04,311600
2019-06-14,311600
2019-06-29,379000
2019-07-01,379000
2019-07-04,376600
2019-07-06,379700
2019-07-09,379700
2019-07-14,379900
2019-07-16,380300
2019-07-19,379500
2019-07-21,380600
2019-07-24,376900
2019-07-26,376900
2019-07-29,376900
2019-07-31,378100
2019-08-03,377100
2019-08-05,374600
2019-08-08,374600
2019-09-12,362600
2019-09-14,362600
2019-09-17,373500
2019-09-19,373500
2019-09-22,373500
2019-09-27,368600
2019-09-29,369900
2019-10-02,369900
2019-10-04,363300
2019-10-07,363300
2020-03-15,500
2020-03-17,500
2020-03-20,1400
2020-03-22,1400
2020-03-25,900
2020-03-30,900
2020-04-01,9400
2020-04-04,1200
2020-04-06,18000
2020-04-09,9100
2020-04-11,50500
2020-04-14,49200
2020-04-16,49200
2020-04-24,193300
2020-04-29,193100
2020-05-04,327100
2020-05-06,327100
2020-05-09,330800
2020-05-14,330800
2020-05-19,326900
2020-05-21,345400
2020-05-24,344600
2020-05-26,362100
2020-05-29,362100
2020-05-31,362100
2020-06-03,362100
2020-06-05,361000
2020-07-08,377500
2020-07-10,377500
2020-07-13,377500
2020-07-18,377500
2020-07-20,377500
2020-07-23,380900
2020-08-07,380900
2020-08-09,374300
2020-08-12,374300
2020-08-14,374300
2020-08-19,374300
2020-08-22,374300
2020-08-27,366800
2020-09-01,366800
2020-09-03,366800
2020-09-06,366800
2020-09-08,366800
2020-09-11,366800
2021-03-30,17500
2021-04-01,17500
2021-04-04,17500
2021-04-06,17500
2021-04-09,103700
2021-04-14,130000
2021-04-16,130000
2021-04-19,129200
2021-04-24,131900
2021-05-09,295200
2021-05-14,295200
2021-05-19,295200
2021-07-18,390400
2021-07-20,390400
2021-07-23,391300
2021-08-12,387000
2021-08-14,387000
2021-08-17,387000
2021-08-19,387000
2021-08-27,381300
2021-08-29,381300
2021-09-01,383800
2021-09-06,380800
2021-09-11,381600
2021-09-13,385300
2021-09-18,382300
2021-09-21,382600
2021-10-01,375000
2022-03-20,8400
2022-03-22,3900
2022-03-25,11300
2022-04-01,11100
2022-04-04,30900
2022-04-06,21300
2022-04-09,21300
2022-04-11,21300
2022-04-14,128800
2022-04-16,128800
2022-04-19,193600
2022-04-29,192900
2022-05-14,298400
2022-05-19,298400
2022-05-21,287200
2022-06-18,389800
2022-06-20,389800
2022-06-23,389800
2022-06-25,389800
2022-07-08,395000
2022-07-10,395000
2022-07-13,398500
2022-07-15,398500
2022-07-18,394000
2022-07-20,397800
2022-07-25,392300
2022-07-28,395100
2022-07-30,377000
2022-08-02,395600
2022-08-04,395600
2022-08-07,395600
2022-08-09,393600
2022-08-12,394400
2022-08-22,388100
2022-09-01,337500
2022-09-06,376400
2022-09-08,378200
2022-09-11,377200
2022-09-13,387700
2022-09-16,387700
2022-09-18,386700
2022-09-21,386700
2022-09-23,374600
2022-09-26,374600
2022-10-01,374600
2023-03-20,5000
2023-03-22,5000
2023-03-25,5000
2023-03-27,5000
2023-04-09,75000
2023-04-14,112400
2023-04-16,112400
2023-04-19,112300
2023-04-24,130300
2023-05-04,258500
2023-05-06,258500
2023-05-11,258500
2023-06-28,403700
2023-07-03,402800
2023-07-08,397600
2023-07-10,397900
2023-07-13,400700
