date,value
2017-02-25,252300
2017-03-17,266400
2017-03-27,294900
2017-04-06,301500
2017-05-06,333000
2017-05-13,333000
2017-05-16,333000
2017-05-26,326900
2017-06-02,326900
2017-06-05,330600
2017-07-05,310700
2017-07-07,310200
2017-08-14,241800
2017-08-17,241800
2017-08-19,241800
2017-08-21,241800
2017-08-22,241800
2017-08-24,241800
2017-08-26,203100
2017-08-29,207200
2017-09-03,207200
2017-09-05,178400
2017-09-08,178400
2017-10-08,185700
2017-10-10,185700
2017-10-11,185700
2017-10-13,192500
2017-10-15,192500
2017-10-16,192500
2017-10-18,181700
2017-10-20,188300
2017-10-23,188300
2017-10-25,177600
2017-10-26,177600
2017-10-28,186700
2017-10-30,185700
2017-10-31,185700
2017-11-02,185700
2017-11-07,186800
2017-11-14,183500
2017-11-15,183500
2017-11-17,190200
2017-11-19,189800
2017-11-22,195900
2017-11-24,195900
2017-11-25,195900
2017-11-27,190500
2017-11-30,200200
2017-12-07,194200
2018-02-10,283100
2018-02-12,283100
2018-02-15,283100
2018-02-25,305000
2018-02-27,305000
2018-03-02,305000
2018-03-07,305000
2018-03-17,332500
2018-03-19,332500
2018-03-22,356700
2018-04-01,345700
2018-04-21,400900
2018-04-23,400900
2018-04-24,400900
2018-04-26,400900
2018-05-11,415700
2018-05-19,415700
2018-05-21,417300
2018-05-23,411000
2018-06-20,416600
2018-06-22,416600
2018-06-23,416600
2018-06-25,421800
2018-06-28,421800
2018-07-02,420100
2018-07-03,420100
2018-07-07,408800
2018-07-08,408800
2018-07-10,412500
2018-07-15,405300
2018-07-18,405300
2018-07-22,392300
2018-07-23,392300
2018-07-25,393600
2018-07-30,403300
2018-08-01,403300
2018-08-02,403300
2018-08-04,388400
2018-08-06,401900
2018-08-11,363200
2018-08-12,363200
2018-08-19,362700
2018-08-21,362700
2018-08-22,362700
2018-08-26,362700
2018-08-27,362700
2018-09-03,320700
2018-09-05,320700
2018-09-08,347100
2018-09-10,347100
2018-09-11,347100
2018-09-16,333700
2018-09-18,333700
2018-09-23,306400
2018-09-25,306400
2018-09-26,306400
2018-09-28,325000
2018-09-30,325000
2018-10-03,304100
2018-10-05,325300
2018-10-06,325300
2018-10-23,283100
2018-10-25,283100
2018-11-17,283500
2018-11-22,283500
2018-11-24,283500
2018-11-27,291500
2018-11-29,285400
2018-12-05,285400
2019-01-11,284900
2019-01-16,308200
2019-01-19,308200
2019-01-23,308200
2019-01-26,308200
2019-01-28,298100
2019-02-15,343300
2019-02-17,343300
2019-02-18,343300
2019-02-20,350000
2019-02-22,350000
2019-02-23,350000
2019-02-25,343900
2019-02-27,343900
2019-03-07,360100
2019-03-12,351400
2019-03-22,342300
2019-03-24,342300
2019-03-25,342300
2019-03-27,360900
2019-03-29,360900
2019-03-30,360900
2019-04-01,347300
2019-04-08,355400
2019-04-09,355400
2019-05-01,353800
2019-05-06,353800
2019-05-11,353800
2019-05-13,353800
2019-05-14,353800
2019-05-16,379200
2019-05-23,373000
2019-05-31,373000
2019-07-05,374700
2019-07-08,374700
2019-07-10,379200
2019-07-12,379200
2019-07-13,379200
2019-07-15,374200
2019-07-17,374200
2019-07-22,385900
2019-07-23,385900
2019-07-25,362100
2019-07-28,375300
2019-08-02,348900
2019-08-04,350200
2019-08-09,334900
2019-08-14,325000
2019-08-16,325000
2019-08-17,325000
2019-08-21,331200
2019-08-22,331200
2019-08-24,309400
2019-08-26,313100
2019-08-29,308200
2019-08-31,314600
2019-09-03,314600
2019-09-06,314600
2019-09-08,294900
2019-09-11,288600
2019-09-13,286200
2019-09-15,287200
2019-09-16,287200
2019-09-20,287200
2019-09-21,287200
2019-10-08,267100
2019-10-11,267100
2019-10-13,285400
2019-10-15,285400
2019-10-25,272000
2019-11-27,289800
2019-12-05,289800
2019-12-10,289800
2019-12-27,359300
2019-12-29,359300
2019-12-30,359300
2020-01-06,359500
2020-01-09,359500
2020-01-11,367700
2020-01-14,367700
2020-01-16,359200
2020-01-19,359200
2020-01-28,351300
2020-02-05,382500
2020-02-07,382500
2020-02-08,382500
2020-02-15,382500
2020-02-18,382500
2020-02-20,399900
2020-02-22,399800
2020-03-21,394500
2020-03-24,394500
2020-03-26,394500
2020-03-28,394500
2020-03-29,394500
