date,value
2017-02-15,280800
2017-02-25,369000
2017-03-17,368500
2017-03-27,368700
2017-05-16,400700
2017-05-26,360200
2017-06-25,359900
2017-07-05,358900
2017-08-14,376600
2017-08-19,359700
2017-08-24,370900
2017-08-29,375400
2017-09-23,364500
2017-10-18,332000
2017-10-28,318400
2017-11-07,313300
2017-11-17,313500
2017-11-22,311000
2017-11-27,324100
2018-02-25,359300
2018-03-22,385500
2018-04-06,372600
2018-04-16,383500
2018-04-21,385200
2018-04-26,374100
2018-05-06,373000
2018-05-11,370600
2018-05-26,378700
2018-06-20,366200
2018-06-25,361400
2018-07-10,362900
2018-08-19,368600
2018-09-03,369100
2018-09-08,377800
2018-09-28,375400
2018-10-13,373700
2018-10-23,365500
2018-11-22,361300
2019-01-01,324100
2019-02-05,367900
2019-02-15,350200
2019-02-25,348700
2019-03-22,350500
2019-03-27,362600
2019-05-01,367100
2019-05-06,368200
2019-05-16,396500
2019-05-31,384200
2019-06-30,378100
2019-07-05,375700
2019-07-10,382300
2019-07-15,387300
2019-07-20,398700
2019-07-25,379600
2019-08-04,351800
2019-08-14,369900
2019-08-24,373900
2019-09-03,358900
2019-09-13,365000
2019-10-13,378100
2019-11-22,355400
2020-01-06,319600
2020-01-16,318900
2020-02-15,353200
2020-03-21,368900
2020-03-26,364700
2020-03-31,348700
2020-04-05,360900
2020-04-10,368000
2020-04-15,376800
2020-05-20,377500
2020-05-25,384600
2020-05-30,382100
2020-07-04,386900
2020-07-09,391900
2020-07-14,397600
2020-07-19,383300
2020-07-29,365600
2020-08-08,382100
2020-09-12,378100
2020-09-17,368200
2020-11-06,355000
2020-11-11,344400
2020-11-21,310400
2021-01-10,320300
2021-02-14,351200
2021-02-19,364700
2021-02-24,364300
2021-03-01,360500
2021-03-21,361700
2021-03-31,361000
2021-04-15,379000
2021-07-19,367400
2021-09-02,380000
2021-09-22,354000
2021-10-12,353800
2021-10-22,330100
2021-10-27,318900
2021-11-11,324200
2021-12-16,344900
2021-12-21,338800
2023-02-14,354800
2023-03-06,368500
2023-04-05,359600
