date,value
2017-01-03,538906.0004175177
2017-02-15,622059.7412858389
2017-02-25,622917.3372544846
2017-03-14,682432.003467728
2017-03-17,589851.9816408649
2017-03-27,602476.7723300158
2017-04-03,677086.0691609336
2017-04-06,793156.3446389688
2017-04-23,576513.6305068926
2017-05-16,792203.895719318
2017-05-23,718536.7599065998
2017-06-02,583166.2542421896
2017-06-15,692280.2391495708
2017-06-22,599942.5333881122
2017-06-25,488424.38164741546
2017-07-05,485340.99537420465
2017-07-07,580667.6383211506
2017-08-14,608408.0179934268
2017-08-19,576513.6305068926
2017-08-21,563307.8950239058
2017-08-24,640176.8136958053
2017-08-26,596570.7629533393
2017-08-29,628934.8612114972
2017-09-20,584000.1608344968
2017-09-23,755446.6417348548
2017-10-05,584834.5845735285
2017-10-15,578173.6802366605
2017-10-28,545367.2922970587
2017-10-30,575684.3826345467
2017-11-14,613512.0041565737
2017-11-17,546177.3031268349
2017-11-19,587340.9576973749
2017-11-22,528477.7676486049
2017-11-27,546177.3031268349
2017-11-29,434226.5959239105
2017-12-12,14880.368626329922
2017-12-24,354133.90666332823
2018-01-28,753582.1085480865
2018-02-25,533279.8078330366
2018-03-22,588177.4490501937
2018-04-06,643653.2565711697
2018-04-18,762924.7631321392
2018-04-21,705808.2349872445
2018-04-26,660277.8170864573
2018-05-11,579835.8012917648
2018-05-26,648010.2969327213
2018-06-20,408884.7325436642
2018-06-22,590690.0226849639
2018-06-25,474615.96111201105
2018-06-27,491516.2396885064
2018-07-12,411030.9490817266
2018-07-15,579004.4818976037
2018-07-27,603322.5488229975
2018-07-30,509458.47705263284
2018-08-11,578173.6802366605
2018-08-19,524490.4767644135
2018-08-26,509458.47705263284
2018-09-03,507887.2061115847
2018-09-08,589014.457063665
2018-09-10,604168.8402465513
2018-09-18,513395.867123617
2018-09-20,587340.9576973749
2018-09-25,589851.9816408649
2018-09-28,558390.0168604631
2018-10-05,596570.7629533393
2018-10-13,593207.2436518096
2018-10-20,562486.9490445529
2018-10-23,517346.40753808746
2018-10-25,537295.9019787493
2018-11-14,538100.6898171612
2018-11-22,542132.4683773607
2018-12-19,598255.6171629563
2018-12-27,573199.7481686064
2018-12-29,523694.5917634691
2019-01-01,473853.8697839301
2019-01-03,522104.3957776319
2019-01-06,619490.0308949639
2019-02-12,16618.378349101135
2019-02-17,14042.758990254082
2019-02-22,16618.378349101135
2019-02-25,298454.2538158635
2019-02-27,523694.5917634691
2019-03-12,698579.162792122
2019-03-22,478434.3878911292
2019-03-24,533279.8078330366
2019-03-27,495392.96492581675
2019-04-01,597412.9322582788
2019-04-13,584000.1608344968
2019-05-13,595729.1093441091
2019-05-23,606710.8031489024
2019-05-31,656762.6237887279
2019-06-02,618634.4869143274
2019-06-17,500062.47440645896
2019-06-27,546987.8356920495
2019-06-30,632384.7148746236
2019-07-02,741511.4261576796
2019-07-05,588177.4490501937
2019-07-07,523694.5917634691
2019-07-10,463995.09979179624
2019-07-22,562486.9490445529
2019-08-04,488424.38164741546
2019-08-14,529276.7982679468
2019-08-16,223354.28095029655
2019-08-24,467018.9836329213
2019-08-29,401057.03545883414
2019-08-31,410315.00172780536
2019-09-03,416778.0177796987
2019-09-13,482266.08795027644
2019-09-15,538100.6898171612
2019-09-18,656762.6237887279
2019-09-20,528477.7676486049
2019-12-29,515764.6141834104
2020-01-06,470051.38948062435
2020-01-16,511031.85418610653
2020-02-05,594047.3495971363
2020-02-07,546177.3031268349
2020-02-12,613512.0041565737
2020-02-15,456472.7220005525
2020-02-20,536491.6370055219
2020-02-22,479199.66648845753
2020-03-21,524490.4767644135
2020-03-28,525286.8862972008
2020-03-31,386295.9870862195
2020-04-05,486881.6290979709
2020-04-12,697677.8006675488
2020-04-15,534081.9803109656
2020-05-07,463995.09979179624
2020-05-20,584834.5845735285
2020-05-25,602476.7723300158
2020-05-27,462486.3559057789
2020-05-30,583166.2542421896
2020-06-21,658519.2024026223
2020-06-24,685111.8112770126
2020-06-26,683324.766226307
2020-07-04,669986.5606546775
2020-07-09,714889.9644801329
2020-07-19,569069.0604834564
2020-07-21,481498.68674733513
2020-07-29,497725.34290433937
2020-07-31,442327.48180401814
2020-08-05,457222.5576366116
2020-08-08,544557.8033048927
2020-08-10,640176.8136958053
2020-08-15,474615.96111201105
2020-08-20,555938.0993327381
2020-08-25,483034.019525695
2020-09-04,453478.72294245154
2020-09-14,401057.03545883414
2020-09-17,479199.66648845753
2020-11-06,476141.73813325167
2020-11-18,489196.5522053797
2020-11-21,480731.8160283173
2020-11-23,554306.0900675938
2020-12-18,604168.8402465513
2021-01-10,2.0069887811399596
2021-02-14,495392.96492581675
2021-02-21,523694.5917634691
2021-02-24,554306.0900675938
2021-02-26,560846.6163277936
2021-03-01,512607.33665531955
2021-03-23,594887.9715266547
2021-03-28,641914.0136624495
2021-03-31,600786.7645171189
2021-04-02,725854.4986599782
2021-04-05,628934.8612114972
2021-04-07,599098.8175714951
2021-04-15,686006.093394622
2021-05-27,555938.0993327381
2021-06-14,568244.479300544
2021-06-16,588177.4490501937
2021-06-26,509458.47705263284
2021-07-11,538906.0004175177
2021-07-19,508672.5782544405
2021-07-21,539711.8336766869
2021-07-29,616924.9387388247
2021-08-20,637574.8458606984
2021-08-28,549422.5627801945
2021-09-22,519723.03841890127
2021-09-24,517346.40753808746
2021-10-07,548610.4656206369
2021-10-12,562486.9490445529
2021-10-14,555121.8343909227
2021-10-17,493840.6885746777
2021-10-24,511819.33230721654
2021-10-27,535687.8950008268
2021-12-16,555121.8343909227
2021-12-18,542940.391242607
2021-12-21,566596.8740825097
2021-12-23,574027.4413668679
2022-01-12,498503.8587143292
2022-01-15,526881.278538447
2022-01-27,415338.0040306392
2022-01-30,381429.0992261687
2022-02-09,600786.7645171189
2022-02-11,609257.3970040273
2022-02-19,723106.5754116351
2022-03-06,555938.0993327381
2022-03-08,584834.5845735285
2022-03-23,535687.8950008268
2022-03-26,584834.5845735285
2022-04-10,578173.6802366605
2022-04-15,540518.1894916442
2022-04-17,645394.5416927907
2022-04-27,644523.6439008873
2022-04-30,553490.8664637709
2022-05-10,740586.4175819883
2022-05-17,547798.889890637
2022-05-30,470810.8216529575
2022-06-01,641914.0136624495
2022-06-04,582332.8648941116
2022-06-11,536491.6370055219
2022-06-14,525286.8862972008
2022-06-19,574855.6528883764
2022-06-29,615217.4442358739
2022-07-01,677086.0691609336
2022-07-04,567420.4171337668
2022-07-06,515764.6141834104
2022-07-11,446773.516198396
2022-07-14,600786.7645171189
2022-07-16,484571.4733487965
2022-07-19,500842.5740711566
2022-07-21,452731.55962949165
2022-07-24,518138.09249118686
2022-07-26,529276.7982679468
2022-07-31,548610.4656206369
2022-08-03,565773.8502462578
2022-08-08,470810.8216529575
2022-08-10,496947.3552635589
2022-08-13,524490.4767644135
2022-08-25,557572.1906682691
2022-08-28,526083.8202568388
2022-09-02,606710.8031489024
2022-09-12,539711.8336766869
2022-09-19,560027.2297906773
2022-09-22,607559.1533434661
2022-10-04,510244.90239890263
2022-10-09,532478.1587381146
2022-10-12,555938.0993327381
2022-10-22,543748.8362526144
2022-11-11,525286.8862972008
2023-02-14,2781.873570194439
2023-02-16,4422.444829303397
2023-03-06,623775.4459868815
2023-03-13,655008.0819624128
2023-03-16,617779.456164394
2023-04-05,506318.0422214954
2023-04-30,704902.8347298332
2023-05-02,580667.6383211506
