date,value
2017-02-18,858300
2017-02-25,809600
2017-02-28,809600
2017-04-09,944000
2017-04-19,949400
2017-06-18,961800
2017-06-25,961800
2017-08-07,858500
2017-08-27,830300
2017-08-29,830300
2017-09-03,830300
2017-09-06,830300
2017-10-11,746500
2017-10-13,746500
2017-10-16,726500
2017-10-18,758200
2017-10-21,756000
2017-10-26,739100
2017-10-28,702400
2017-10-31,736800
2017-11-02,739600
2017-11-05,739600
2017-11-07,698300
2018-04-19,1190100
2018-04-21,1190100
2018-04-24,1214900
2018-04-26,1214900
2018-05-04,1198400
2018-05-09,1206300
2018-05-11,1206300
2018-06-23,1196500
2018-06-25,1196500
2018-06-28,1243100
2018-07-03,1257100
2018-07-08,1240200
2018-07-18,1164900
2018-07-20,1144100
2018-07-23,1168600
2018-07-25,1168200
2018-07-28,1140100
2018-07-30,1145500
2018-08-02,1139600
2018-08-04,1156000
2018-08-12,1147000
2018-08-14,1111600
2018-08-19,1111600
2018-08-22,1112700
2018-09-01,1007300
2018-09-11,937400
2018-09-16,875000
2018-09-26,833400
2018-09-28,833400
2018-10-06,833400
2018-10-16,790900
2018-10-18,790900
2018-10-21,859600
2018-10-23,859600
2018-11-15,823400
2018-11-22,823400
2019-02-03,1122900
2019-02-13,1212900
2019-02-15,1212900
2019-02-18,1188800
2019-02-23,1199100
2019-02-25,1199100
2019-04-14,1303700
2019-04-19,1304200
2019-05-01,1234000
2019-05-14,1221200
2019-05-16,1221200
2019-05-29,1229400
2019-06-18,1274400
2019-06-25,1274400
2019-06-28,1277500
2019-07-03,1264900
2019-07-05,1293500
2019-07-08,1254800
2019-07-10,1254800
2019-07-13,1273300
2019-07-15,1232800
2019-07-23,1214300
2019-07-25,1231600
2019-07-28,1220200
2019-08-02,1219600
2019-08-04,1219600
2019-08-22,1038900
2019-08-24,1038900
2019-08-29,1022900
2019-09-03,1022900
2019-09-06,1034000
2019-09-08,950300
2019-09-11,950300
2019-09-13,950300
2019-09-16,958200
2019-09-18,958200
2019-09-21,930300
2019-12-05,1175900
2019-12-17,1175900
2019-12-20,1226200
2020-01-19,1158600
2020-01-21,1157600
2020-01-24,1197300
2020-02-05,1177200
2020-03-19,1209900
2020-03-24,1245300
2020-03-26,1250900
2020-03-31,1250900
2020-04-05,1208000
2020-04-13,1240300
2020-04-15,1240300
2020-04-18,1244400
2020-04-23,1204000
2020-05-18,1202700
2020-05-20,1202700
2020-05-25,1202700
2020-05-28,1227400
2020-05-30,1227400
2020-06-02,1217000
2020-06-09,1270900
2020-07-07,1211800
2020-07-09,1211800
2020-07-12,1289300
2020-07-14,1289300
2020-07-17,1213500
2020-07-19,1213500
2020-07-22,1224600
2020-07-24,1233000
2020-07-27,1216900
2020-07-29,1196200
2020-08-06,1191800
2020-08-08,1194300
2020-08-11,1144000
2020-09-10,1041500
2020-09-12,1041500
2020-09-15,1080800
2020-09-17,1080800
2020-11-04,966200
2020-11-06,966200
2020-11-14,1003300
2020-11-19,992800
2020-11-21,1010200
2020-11-26,1010200
2020-11-29,993900
2021-02-27,1268600
2021-03-01,1249600
2021-03-04,1263600
2021-03-06,1263600
2021-03-09,1248100
2021-03-14,1275400
2021-03-24,1242200
2021-03-29,1271900
2021-03-31,1271900
2021-04-03,1228400
2021-04-05,1257600
2021-04-08,1206600
2021-04-13,1187500
2021-04-15,1211600
2021-04-18,1211600
2021-04-23,1168400
2021-05-03,1175800
2021-05-08,1174300
2021-07-17,1162300
2021-07-19,1162300
2021-07-22,1162300
2021-08-11,1093800
2021-08-13,1093800
2021-08-26,986300
2021-08-28,986300
2021-09-02,986300
2021-09-05,986300
2021-09-30,824700
2021-10-07,824700
2021-10-10,840500
2021-11-19,837700
2021-11-24,830300
2021-11-29,830300
2022-01-13,1038700
2022-01-15,1038700
2022-01-18,1038700
2022-01-23,1038700
2022-02-12,1057400
2022-02-19,1019800
2022-02-27,1148800
2022-03-06,1148800
2022-03-09,1204400
2022-03-24,1112000
2022-03-26,1112000
2022-05-28,1168400
2022-05-30,1168400
2022-06-02,1168400
2022-06-04,1168400
2022-06-12,1156400
2022-06-14,1156400
2022-06-17,1202000
2022-06-19,1202000
2022-06-27,1167400
2022-07-02,1132200
2022-07-04,1132200
2022-07-07,1133600
2022-07-12,1114200
2022-07-14,1131600
2022-07-17,1131600
2022-07-19,1112000
2022-08-06,972500
2022-08-08,972500
2022-08-11,1003600
2022-08-13,1003600
2022-08-18,973300
2022-09-20,839300
2022-09-22,839300
2022-09-30,840000
2022-11-19,862400
2023-01-03,994800
2023-02-07,1159600
2023-02-09,1159600
2023-02-12,1210200
2023-02-14,1210200
2023-05-03,1136800
2023-05-28,1166000
