date,value
2017-04-12,79200
2017-04-22,68300
2017-06-21,64200
2017-07-31,47000
2017-08-05,56700
2017-09-14,31800
2017-10-04,19600
2017-10-14,16100
2017-11-13,11900
2017-11-28,11100
2018-01-17,44400
2018-02-21,41500
2018-02-26,60500
2018-04-17,71000
2018-05-17,79600
2018-06-26,75300
2018-07-11,69800
2018-08-05,60100
2018-10-04,31800
2018-10-09,35200
2018-10-19,24300
2018-10-24,29800
2018-11-03,17100
2018-11-18,18500
2019-01-27,52800
2019-02-26,200
2019-03-23,52500
2019-03-28,70900
2019-04-12,61700
2019-06-01,53800
2019-06-26,70400
2019-07-06,75600
2019-07-11,84900
2019-09-14,33400
2019-09-19,31700
2019-11-18,45100
2019-12-03,53000
2020-01-22,3000
2020-02-06,29400
2020-03-02,86000
2020-03-17,61900
2020-03-27,54800
2020-04-01,59200
2020-04-11,62000
2020-04-16,70700
2020-05-21,67300
2020-05-31,70700
2020-07-30,55900
2020-08-09,55100
2020-09-08,34600
2020-09-13,36400
2020-11-22,23200
2020-12-12,55200
2021-01-01,64500
2021-03-07,74400
2021-05-31,59700
2021-06-15,72600
2021-07-20,66400
2021-08-14,58400
2021-09-13,51000
2021-10-08,41800
2021-11-22,36400
2021-12-17,36400
2023-01-16,27000
2023-01-21,10300
2023-02-15,52100
2023-02-20,62100
2023-03-02,56900
