date,value
2017-02-19,2555100
2017-03-11,2596100
2017-03-14,2730200
2017-04-10,2855800
2017-04-20,2842200
2017-04-23,2787100
2017-04-30,2778300
2017-05-10,2886700
2017-05-13,2887300
2017-06-19,2869200
2017-06-22,2869200
2017-06-29,2868800
2017-08-23,2508400
2017-08-26,2508400
2017-09-22,2439500
2017-09-25,2297900
2017-09-27,2297900
2017-10-15,2297300
2017-10-17,2330100
2017-10-25,2334800
2017-10-27,2268200
2018-02-24,2623300
2018-02-27,2547000
2018-03-04,2547000
2018-03-24,2661000
2018-03-31,2666200
2018-04-08,2815000
2018-04-15,2817100
2018-04-18,2822500
2018-04-20,2824900
2018-04-25,2824900
2018-04-30,2745000
2018-05-05,2805500
2018-05-08,2826500
2018-05-18,2822600
2018-05-25,2747300
2018-06-29,2788400
2018-07-02,2814500
2018-07-04,2812400
2018-07-09,2846800
2018-07-14,2880700
2018-07-17,2855400
2018-07-19,2805600
2018-07-24,2756600
2018-07-27,2761100
2018-08-03,2667900
2018-08-06,2644900
2018-08-11,2645900
2018-08-16,2508300
2018-08-18,2446700
2018-08-21,2383800
2018-08-23,2419300
2018-08-26,2387500
2018-08-28,2378300
2018-09-17,2180900
2018-09-20,2180900
2018-09-22,2180900
2018-09-25,2235900
2018-09-27,2110300
2018-09-30,2071900
2018-10-05,2089600
2018-10-10,2010800
2018-10-12,2016900
2018-10-20,1978900
2018-10-22,1986100
2019-02-17,1716300
2019-02-24,1685000
2019-02-27,1691600
2019-03-21,1780100
2019-03-24,1850200
2019-03-29,1796800
2019-03-31,1806500
2019-04-15,1902100
2019-04-18,1898700
2019-04-20,1834600
2019-04-25,1834600
2019-05-15,1891800
2019-05-23,1962200
2019-05-25,1962200
2019-05-30,1962200
2019-06-04,2017800
2019-06-07,1987300
2019-06-19,1995300
2019-06-24,1977300
2019-06-27,1984700
2019-06-29,1951500
2019-07-02,1961400
2019-07-04,1935700
2019-07-09,1935500
2019-07-17,1930600
2019-07-22,1824800
2019-07-24,1826300
2019-07-29,1760300
2019-08-01,1778300
2019-08-03,1752100
2019-08-08,1724800
2019-08-11,1742000
2019-08-23,1584400
2019-08-26,1570700
2019-08-28,1557500
2019-08-31,1530100
2019-09-02,1528600
2019-09-12,1464100
2019-09-15,1361100
2019-09-17,1376400
2019-09-20,1281300
2019-09-22,1281700
2020-03-15,1840200
2020-03-18,1837300
2020-03-20,1805700
2020-03-23,1814000
2020-03-25,1874400
2020-03-28,1868500
2020-03-30,1905900
2020-04-02,1919900
2020-04-04,1961200
2020-04-07,1960300
2020-04-09,1970500
2020-04-12,1940100
2020-04-14,1950100
2020-04-17,1974100
2020-04-19,1961800
2020-04-22,1948800
2020-04-24,1982300
2020-04-27,1970000
2020-05-07,1994400
2020-05-09,2070000
2020-05-12,2086800
2020-05-17,2098700
2020-05-19,2071700
2020-05-27,2044000
2020-05-29,2050900
2020-06-01,2016100
2020-06-08,1983400
2020-06-23,1991900
2020-07-01,1991900
2020-07-06,1994400
2020-07-08,1994400
2020-07-31,1815900
2020-08-05,1778100
2020-08-07,1744300
2020-08-12,1677100
2020-08-15,1673600
2020-08-20,1556400
2020-09-04,1477400
2020-09-09,1432700
2020-09-11,1432700
2020-09-14,1476900
2020-09-16,1409500
2020-09-21,1414200
2020-10-04,1372200
2020-10-31,1498200
2021-02-21,2025800
2021-02-23,2093600
2021-02-28,2039200
2021-03-08,2087100
2021-03-28,2045100
2021-03-30,2128800
2021-04-02,2060500
2021-04-04,2073200
2021-04-24,2070100
2021-04-27,2104400
2021-05-29,2143400
2021-06-01,2144300
2021-06-03,2157500
2021-06-11,2207900
2021-06-13,2203000
2021-06-16,2237300
2021-06-18,2237300
2021-06-21,2193200
2021-07-18,2423000
2021-07-21,2510900
2021-07-23,2473400
2021-09-01,2593200
2021-09-04,2610300
2021-09-06,2608900
2021-09-24,2566900
2021-10-01,2566900
2021-10-09,2567000
2021-10-14,2640200
2021-10-16,2600100
2021-10-21,2563900
2021-10-24,2529200
2021-10-29,2555800
2022-02-28,2642300
2022-03-03,2661700
2022-03-05,2648800
2022-03-08,2666000
2022-03-10,2660900
2022-03-20,2724500
2022-03-23,2749600
2022-03-25,2715000
2022-03-28,2740100
2022-04-04,2727900
2022-04-17,2779200
2022-04-22,2827100
2022-04-27,2827100
2022-05-14,2838200
2022-05-17,2850700
2022-05-19,2852500
2022-06-01,2702000
2022-06-11,2782500
2022-06-13,2844300
2022-06-16,2814400
2022-06-18,2842900
2022-06-23,2837000
2022-06-28,2862100
2022-07-03,2889700
2022-07-06,2903000
2022-07-08,2886400
2022-07-11,2857700
2022-07-13,2893400
2022-07-16,2883900
2022-07-18,2860700
2022-07-28,2873200
2022-08-07,2614600
2022-08-10,2670400
2022-08-12,2609400
2022-08-17,2609500
2022-08-22,2453600
2022-08-25,2444700
2022-08-30,2542000
2022-09-01,2542000
2022-09-04,2532700
2022-10-09,2360200
2022-10-19,2379500
2022-10-26,2401600
2023-02-21,2534500
