date,value
2017-02-01,31036.528119755785
2017-02-14,11422.137354840037
2017-03-13,160639.15835226164
2017-03-16,236478.48585414296
2017-04-02,112465.72929739836
2017-04-05,13289.25015454365
2017-04-12,281606.84026990307
2017-04-22,266056.3569277206
2017-05-05,227087.83143364347
2017-05-22,195818.267971464
2017-05-25,242578.15446379798
2017-06-01,166047.03842770332
2017-06-14,217817.7307164155
2017-06-21,186976.30739133168
2017-08-25,151752.26667074478
2017-10-04,77580.21006870779
2017-10-14,102458.72705601016
2017-11-08,104019.21328132282
2017-11-13,96800.9002545779
2017-11-28,85793.9162383488
2017-12-01,143602.7799487045
2017-12-16,106111.35926342968
2018-01-10,95275.48961003542
2018-02-04,166047.03842770332
2018-02-09,158849.08566557406
2018-02-21,196454.73586233
2018-02-24,222437.59632271554
2018-02-26,213228.4721142511
2018-03-03,162435.52527455508
2018-04-15,195182.44988119177
2018-04-17,252162.98909663057
2018-04-20,252852.07673289615
2018-05-07,176414.0576133787
2018-05-15,293089.24141703703
2018-05-20,268863.01423624053
2018-06-21,189489.45848964623
2018-06-29,261167.0558441382
2018-07-01,260470.91539347672
2018-07-06,225756.10754325852
2018-07-11,257692.20452340474
2018-07-14,268160.4819943604
2018-07-24,154106.53081384185
2018-08-03,183849.74819514423
2018-08-05,215847.1437686531
2018-09-02,183849.74819514423
2018-09-04,199007.08982925623
2018-09-14,166047.03842770332
2018-09-27,152927.9742543309
2018-10-04,146497.05932418327
2018-10-09,173344.47475997533
2018-10-19,151752.26667074478
2019-01-10,207373.36181287485
2019-01-17,196454.73586233
2019-01-27,222437.59632271554
2019-02-14,265356.1410063155
2019-02-24,159445.07558872216
2019-02-26,147078.09055194622
2019-03-21,394690.8797063444
2019-03-23,214536.55163538246
2019-03-26,158253.7980140933
2019-03-28,174570.27448116214
2019-03-31,293089.24141703703
2019-04-12,304714.8738607788
2019-04-20,302524.253226588
2019-04-25,282320.2540643224
2019-05-05,383638.26724205253
2019-05-12,219793.93929178518
2019-05-15,243940.25424882094
2019-05-27,288766.4430565821
2019-06-01,205433.0822093829
2019-06-21,328387.7008327339
2019-06-26,249412.56043288411
2019-07-01,320930.2306421571
2019-07-04,281606.84026990307
2019-07-06,272384.3293727003
2019-07-11,285895.82187080453
2019-07-14,365696.32480093127
2019-07-16,213228.4721142511
2019-08-20,254232.02437159928
2019-08-30,128292.18090016855
2019-09-07,200287.1454073603
2019-09-14,110334.71112318899
2019-09-17,233783.24671861483
2019-09-19,86777.1880601537
2019-09-24,194547.2823763279
2019-10-02,319445.2131021914
2019-10-22,186976.30739133168
2019-11-08,235803.76567683427
2019-11-18,268863.01423624053
2019-12-03,259080.38860872784
2020-01-10,272384.3293727003
2020-01-20,178881.88753856538
2020-01-22,184473.73298926683
2020-02-04,258386.00343701438
2020-02-06,126070.51339150542
2020-02-29,334392.3163438264
2020-03-17,305446.18429443066
2020-03-30,256998.99245321835
2020-04-01,154696.87492387844
2020-04-04,192013.1340022428
2020-04-09,178881.88753856538
2020-04-11,339674.3324893005
2020-04-14,208670.06338164693
2020-05-14,248726.43675340136
2020-05-16,259775.3594548849
2020-05-24,340431.028393003
2020-05-26,240539.5075292991
2020-05-31,266757.15277654136
2020-07-08,361060.4565883978
2020-07-13,143026.10695747915
2020-07-18,339674.3324893005
2020-07-20,322417.4119429607
2020-07-30,145337.16900726824
2020-08-07,397072.1063544433
2020-09-01,275920.01683817094
2020-09-08,252852.07673289615
2020-09-13,194547.2823763279
2020-09-16,281606.84026990307
2020-10-16,267458.527986868
2020-11-12,244622.20281827138
2020-11-22,273090.3192891697
2020-11-30,213228.4721142511
2021-01-01,164238.1605074566
2021-01-09,219134.57963968377
2021-02-23,154696.87492387844
2021-02-28,218475.84321564063
2021-03-02,175184.1919347787
2021-03-07,227754.61626853902
2021-03-20,231097.74264595826
2021-03-22,150579.41623529905
2021-03-30,243258.9045899822
2021-04-04,177646.62513889917
2021-04-14,258386.00343701438
2021-04-16,164238.1605074566
2021-04-21,113000.48311456248
2021-04-24,233110.95641286593
2021-04-29,170291.88896496047
2021-05-19,199646.79504447815
2021-05-31,166047.03842770332
2021-06-08,243258.9045899822
2021-06-13,259080.38860872784
2021-06-15,187603.60565552211
2021-07-20,176414.0576133787
2021-08-12,192645.69126299818
2021-08-14,132771.9293032444
2021-08-29,87763.9756529451
2021-09-01,99874.46539468458
2021-09-06,141874.95254828825
2021-09-23,100905.67836870223
2021-09-26,83837.97969424931
2021-10-08,118391.62199488287
2021-10-13,62846.348877158045
2021-10-23,158253.7980140933
2021-10-28,47083.14613528614
2021-11-10,110334.71112318899
2021-11-15,107689.03906293218
2021-11-17,136163.29986736507
2021-11-22,139009.90209797173
2021-12-02,115686.17771743944
2021-12-05,128849.50141256761
2021-12-17,116765.99500875638
2021-12-27,240539.5075292991
2022-01-21,169683.4213115247
2022-01-31,199007.08982925623
2022-02-05,192645.69126299818
2022-03-07,183849.74819514423
2022-03-12,186976.30739133168
2022-03-17,238506.27896019313
2022-03-22,216503.38029058234
2022-03-27,167862.1337080202
2022-04-14,162435.52527455508
2022-04-21,208021.3949055588
2022-04-26,185723.69480669627
2022-05-04,43470.87635914164
2022-05-21,232439.2751967416
2022-05-29,157659.21361355408
2022-05-31,190119.3927300692
2022-06-08,123861.08869402832
2022-06-15,244622.20281827138
2022-07-05,188231.56413836914
2022-07-10,210619.87378461668
2022-07-28,209969.30355134548
2022-07-30,246671.63579732308
2022-08-02,205433.0822093829
2022-08-09,164238.1605074566
2022-08-12,164840.42743904385
2022-09-18,100905.67836870223
2022-10-06,81896.28742828412
2022-10-08,77105.19980817224
2022-10-11,80449.44077010706
2022-10-21,127735.6206113421
2022-11-07,123310.65487154426
2022-11-10,120024.29804347281
2022-11-12,103498.22739522345
2022-12-17,115147.45335058017
2022-12-27,140153.71635205654
2023-01-09,275211.7328665201
2023-01-21,164840.42743904385
2023-01-31,135029.85622799594
2023-02-08,174570.27448116214
2023-02-13,155287.9282432653
2023-02-15,176414.0576133787
2023-02-23,89748.03943112388
2023-02-28,175798.7866054064
2023-03-02,190119.3927300692
2023-03-17,110334.71112318899
2023-05-14,215847.1437686531
2023-05-16,189489.45848964623
2023-05-26,208670.06338164693
