date,value
2017-05-16,97600
2017-05-19,93600
2017-05-26,278300
2017-05-29,264900
2017-06-05,320400
2017-06-15,359700
2017-06-18,352300
2017-06-25,352300
2017-07-05,401500
2017-07-25,406500
2017-07-30,406500
2017-08-02,406500
2017-08-04,407800
2017-08-07,394700
2017-08-12,394700
2017-08-14,397500
2017-08-17,395100
2017-08-19,395100
2017-08-22,395100
2017-08-24,395500
2017-09-01,373700
2017-09-08,308800
2017-09-11,308800
2017-09-13,315900
2017-09-16,315900
2018-04-21,300
2018-04-24,300
2018-04-26,1900
2018-05-01,1900
2018-05-04,1700
2018-05-06,1700
2018-05-11,1700
2018-05-16,1700
2018-05-19,1700
2018-05-21,1700
2018-06-25,389500
2018-07-03,406800
2018-07-05,406800
2018-07-08,392900
2018-07-10,392900
2018-07-15,412100
2018-07-18,412100
2018-07-20,412100
2018-07-23,412100
2018-07-25,412100
2018-08-14,423500
2019-06-25,346800
2019-06-28,346800
2019-06-30,349700
2019-07-03,349700
2019-07-05,349000
2019-07-10,349000
2019-07-13,353400
2019-07-15,352900
2019-07-18,359300
2019-07-20,354200
2019-07-23,362100
2019-07-25,354900
2019-07-28,354900
2019-08-02,357700
2019-08-04,350400
2019-08-09,344200
2019-08-12,344800
2019-08-14,336300
2019-08-17,336300
2019-08-22,337000
2019-08-24,329500
2019-08-29,331500
2019-09-03,312200
2019-09-06,312200
2019-09-08,279400
2019-09-11,280500
2019-09-13,265100
2019-09-16,265100
2019-09-18,265100
2020-04-10,1200
2020-04-15,1200
2020-05-05,279400
2020-05-08,279400
2020-05-18,279400
2020-05-20,301100
2020-05-25,298700
2020-05-28,298700
2020-05-30,304100
2020-06-02,304100
2020-06-24,345700
2020-06-27,345700
2020-07-04,354900
2020-07-07,354900
2020-07-09,352800
2020-07-14,358200
2020-07-17,358200
2020-07-19,362400
2020-07-22,361100
2020-07-24,361100
2020-07-27,363100
2020-07-29,359900
2020-08-01,361000
2020-08-03,356800
2020-08-06,338700
2020-08-08,346300
2020-08-21,340100
2020-08-23,340400
2020-08-26,287900
2020-08-31,287900
2020-09-02,288300
2020-09-05,288300
2020-09-07,288300
2020-09-12,272900
2020-09-15,272900
2020-09-17,272900
2021-04-05,1200
2021-04-08,1200
2021-04-13,1100
2021-04-15,31200
2021-04-18,30400
2021-04-23,30400
2021-07-09,407000
2021-07-14,406900
2021-07-19,407700
2021-07-22,402200
2021-07-29,402200
2021-08-13,387200
2021-08-16,387200
2021-08-18,387600
2021-08-21,387600
2021-08-23,387600
2021-08-26,374600
2021-08-28,374600
2022-04-25,600
2022-04-30,600
2022-05-05,600
2022-06-09,371300
2022-06-17,371300
2022-06-19,386800
2022-07-09,411400
2022-07-12,411400
2022-07-14,408800
2022-07-17,409000
2022-07-19,390600
2022-07-24,370300
2022-07-27,370400
2022-08-01,344000
2022-08-03,359600
2022-08-08,348000
2022-08-11,348000
2022-08-13,348000
2023-04-20,265000
2023-06-24,377800
2023-07-02,380600
2023-07-19,364600
