date,value
2017-01-26,73800
2017-02-15,82700
2017-02-25,65100
2017-03-17,82700
2017-05-16,82800
2017-05-26,75800
2017-06-15,80400
2017-06-25,86400
2017-07-05,71500
2017-08-14,88100
2017-08-19,77600
2017-08-24,73000
2017-08-29,79100
2017-10-13,80900
2017-11-07,67700
2017-11-17,68500
2017-11-22,72600
2018-02-25,74800
2018-03-22,86300
2018-04-06,71500
2018-04-21,90300
2018-04-26,90900
2018-05-06,78500
2018-05-11,87000
2018-06-25,61700
2018-07-10,76000
2018-07-15,75400
2018-07-25,75700
2018-08-19,81800
2018-09-03,76100
2018-09-08,76300
2018-09-23,72100
2018-09-28,71200
2018-10-13,78500
2018-10-23,74300
2018-11-22,74100
2019-01-06,76900
2019-01-11,91300
2019-01-16,73300
2019-02-15,48600
2019-02-25,70100
2019-03-22,81700
2019-03-27,72500
2019-05-06,55500
2019-05-31,63500
2019-06-30,56400
2019-07-05,70900
2019-07-10,66000
2019-07-15,62500
2019-07-25,71300
2019-08-04,68200
2019-08-24,67600
2019-09-03,62200
2019-09-13,62800
2019-09-18,63000
2019-10-08,38400
2019-11-22,68800
2019-12-02,74000
2020-01-06,61800
2020-01-16,64900
2020-02-15,71100
2020-02-20,64500
2020-03-21,74900
2020-04-05,74000
2020-04-10,85200
2020-04-15,87500
2020-05-20,88300
2020-05-25,70400
2020-06-24,92600
2020-07-04,89200
2020-07-09,90900
2020-07-14,86500
2020-07-19,75900
2020-07-24,88900
2020-07-29,87600
2020-08-08,84500
2020-09-02,78700
2020-09-07,79300
2020-09-17,77400
2020-11-06,64800
2020-11-11,60800
2020-11-21,59800
2021-01-10,61000
2021-02-14,67100
2021-02-19,70600
2021-02-24,71200
2021-03-01,75200
2021-03-21,82200
2021-03-31,87000
2021-04-15,96100
2021-05-30,76500
2021-06-14,57600
2021-07-19,74200
2021-08-23,78300
2021-08-28,64400
2021-09-22,71300
2021-10-07,67300
2021-10-12,68100
2021-10-27,60500
2021-11-06,60900
2021-11-11,75500
2021-12-16,77600
2021-12-21,72200
2022-01-05,72600
2022-01-15,70300
2022-01-25,69800
2022-02-09,74300
2022-03-06,74700
2022-03-26,84700
2022-04-10,80400
2022-04-15,82800
2022-05-30,76500
2022-06-19,77500
2022-06-29,77800
2022-07-04,75000
2022-07-14,69300
2022-07-19,66700
2022-07-24,69500
2022-08-03,69700
2022-08-08,70500
2022-08-13,68900
2022-08-28,44800
2022-09-12,47000
2022-09-22,55400
2022-10-12,78200
2022-10-22,72100
2022-11-06,71700
2022-11-11,73600
2022-12-06,74200
2023-01-20,58300
2023-02-04,78100
2023-02-14,68700
2023-03-16,82700
2023-04-05,63100
2023-06-14,77800
2023-06-24,70700
2023-07-14,79900
2023-07-19,82400
