date,value
2017-02-19,763400
2017-02-22,763400
2017-02-26,763400
2017-03-01,783600
2017-03-08,778500
2017-03-11,782800
2017-03-14,766200
2017-04-10,811500
2017-04-17,811500
2017-04-20,820400
2017-04-23,813200
2017-06-19,818100
2017-06-22,818100
2017-06-26,818100
2017-06-29,818400
2017-07-04,803000
2017-07-06,803000
2017-07-07,803000
2017-07-12,800100
2017-07-14,802600
2017-07-17,780200
2017-07-19,780200
2017-07-21,780200
2017-07-22,780200
2017-07-24,783000
2017-07-26,740400
2017-07-27,740400
2017-07-29,755400
2017-07-31,755400
2017-08-03,755400
2017-08-05,731300
2017-08-06,731300
2017-08-08,731300
2017-08-13,664900
2017-08-15,664900
2017-08-18,687800
2017-08-20,689100
2017-08-21,689100
2017-08-23,649800
2017-08-25,667900
2017-08-26,667900
2017-09-02,638700
2017-09-04,600700
2017-09-05,600700
2017-09-07,621500
2017-09-10,621500
2017-09-12,581400
2017-09-14,602000
2017-09-17,583800
2017-09-20,592600
2017-09-22,592500
2017-09-27,584600
2017-10-07,576100
2017-10-09,561500
2017-10-10,561500
2017-10-12,565300
2017-10-14,565300
2017-10-15,565300
2017-10-17,551800
2017-10-19,557600
2017-10-20,557600
2017-10-22,545900
2017-10-24,556200
2017-10-25,556200
2017-10-27,553200
2017-10-29,547500
2017-10-30,547500
2017-11-01,547500
2018-02-14,699700
2018-02-16,711100
2018-02-19,711100
2018-02-21,707100
2018-02-24,707100
2018-03-16,771700
2018-03-19,771700
2018-03-21,771700
2018-03-23,771700
2018-03-26,771700
2018-04-05,805700
2018-04-10,805700
2018-04-15,805700
2018-04-20,793000
2018-04-22,793000
2018-04-25,842300
2018-04-27,842300
2018-04-28,842300
2018-04-30,842300
2018-05-03,823600
2018-05-05,823600
2018-05-25,834300
2018-06-01,829500
2018-06-02,829500
2018-06-09,834100
2018-06-14,845300
2018-06-16,845300
2018-06-17,845300
2018-06-19,832400
2018-06-21,836500
2018-06-22,836500
2018-06-24,836500
2018-06-26,822300
2018-06-27,822300
2018-06-29,823900
2018-07-04,827000
2018-07-06,827000
2018-07-07,827000
2018-07-09,803700
2018-07-11,832200
2018-07-12,832200
2018-07-14,811800
2018-07-17,822500
2018-07-19,795700
2018-07-21,818300
2018-07-22,818300
2018-07-24,790400
2018-07-26,812700
2018-07-27,812700
2018-07-29,785000
2018-07-31,790900
2018-08-01,790900
2018-08-03,790900
2018-08-23,789300
2018-08-25,764300
