date,value
2017-02-25,1121088.3702434017
2017-03-17,1093969.9143094926
2017-03-27,1107489.086528182
2017-05-16,1312809.3642600751
2017-05-26,1086120.7400796881
2017-06-25,1079972.6682373611
2017-07-05,1071616.0794259051
2017-08-14,1167576.9520788528
2017-08-24,1090041.9177887656
2017-08-29,1041791.8290373228
2017-10-28,854117.4584739701
2017-11-17,903634.272242232
2017-11-22,898009.1896032619
2017-11-27,1006161.634986869
2018-02-25,1004005.1350960535
2018-04-06,967686.4137987909
2018-04-21,1047284.1869071081
2018-05-11,1074398.1283957514
2018-06-20,1091443.9909617063
2018-06-25,1068837.5115092741
2018-07-10,1080530.88788732
2018-08-19,963191.9888881184
2018-09-08,846657.2323464449
2018-10-18,763845.6871333619
2018-10-23,735764.6406033597
2018-11-22,831339.540915747
2019-02-05,1018604.8339928744
2019-02-15,977503.294798352
2019-02-25,1013997.6627864314
2019-03-22,1021319.6425432083
2019-03-27,1090322.2628448915
2019-04-01,1155148.5405038416
2019-05-01,1150828.1498896647
2019-05-06,1071616.0794259051
2019-05-16,1134767.7313863118
2019-05-31,1228898.3434176596
2019-06-30,1227413.6449576984
2019-07-05,1207307.753118488
2019-07-10,1252771.2862793258
2019-07-25,1174832.2749396337
2019-08-04,1095936.4693570381
2019-08-14,1140204.593116318
2019-09-03,943484.2096760927
2019-09-13,940088.1908243262
2019-10-13,1064953.365195228
2020-01-06,953444.9127337672
2020-01-16,992988.123458392
2020-02-15,930195.2549278191
2020-02-20,1057758.0566815934
2020-03-26,1019147.5167361954
2020-03-31,960289.2122790931
2020-04-05,1058587.0831843682
2020-04-10,1098748.7902661476
2020-04-15,1138486.3346347169
2020-05-20,1214385.6512520853
2020-05-25,1258473.6773180738
2020-05-30,1233655.1986324408
2020-07-04,1260277.028682194
2020-07-09,1300876.443710228
2020-07-14,1343336.7001346503
2020-07-19,1189115.6129699543
2020-07-29,1047284.1869071081
2020-08-08,1081927.0460151737
2020-09-12,815181.9599791388
2020-09-17,680233.492779431
2020-11-06,1025398.3931871075
2020-11-11,1600.279704272345
2020-11-21,969275.091980418
2021-01-10,611446.2201286579
2021-02-14,1020233.3006781321
2021-02-19,1106359.4285576434
2021-02-24,1009940.8823056738
2021-03-01,890620.2099907354
2021-03-31,839228.5940411334
2021-04-15,1143931.7762206625
2021-06-14,1101564.5891962377
2021-07-19,1142210.8084651218
2021-09-22,990042.32119959
2021-10-27,1008320.367650758
2021-12-16,1013997.6627864314
2021-12-21,989507.1745634589
2022-01-15,910817.9804455625
2022-01-25,985498.0256651726
2022-02-09,888587.0557113894
2022-03-06,871899.1134459266
2022-03-26,1037407.9779193577
2022-04-10,1083044.598899826
2022-05-30,1181526.3260112526
2022-06-14,1127348.139314381
2022-06-19,1212319.2018977862
2022-06-29,1158610.4776170384
2022-07-14,1154572.0370450837
2022-07-19,1063844.8625191925
2022-07-24,1126208.7484209982
2022-08-03,1096498.6552822755
2022-08-08,1046734.3239866827
2022-08-13,999698.8343017191
2022-09-12,916481.5775708675
2022-09-22,917255.1988803758
2022-10-12,986833.5358782093
2022-10-22,916481.5775708675
2022-11-11,983096.3067855025
2022-12-06,982562.9755386062
2023-02-14,1011833.0698861837
2023-04-30,1233357.6353682883
