date,value
2017-02-22,333710.96064482036
2017-03-14,342924.5480398502
2017-04-03,325900.9460308229
2017-04-23,317531.37841542886
2017-05-23,322670.63085588056
2017-06-12,328820.2361728736
2017-06-22,308940.71190286125
2017-07-07,262512.3968489723
2017-07-12,261629.3731050479
2017-07-17,269623.30071629945
2017-07-27,258695.3486656676
2017-08-21,212924.79456183373
2017-09-05,189844.86060021142
2017-09-20,182241.99971670946
2017-10-05,162395.84082023028
2017-10-10,153897.4556815367
2017-10-25,193181.5032323886
2017-10-30,177248.9581168223
2017-12-09,158357.86201027702
2017-12-19,176010.16960703663
2017-12-24,177745.53549769483
2018-02-02,155534.28824058277
2018-03-14,226274.62591795478
2018-03-19,229042.55312934433
2018-04-18,305785.11877397855
2018-05-23,302330.31708675146
2018-06-22,265169.2592406345
2018-07-07,272012.026560065
2018-07-12,266650.33967530646
2018-07-17,265761.2591438998
2018-07-27,265169.2592406345
2018-08-01,239128.51175716918
2018-08-06,223246.8927037787
2018-08-11,216973.81394232382
2018-08-21,210243.9684981474
2018-08-26,202553.60134729938
2018-08-31,198625.0044304498
2018-09-20,174528.63371807156
2018-09-30,164551.5481818418
2018-10-05,162157.08427583732
2018-10-25,252001.99854610124
2018-10-30,273509.65024420875
2018-11-24,239977.56569442502
2018-12-19,266946.9879515543
2018-12-29,277118.58683067857
2019-01-03,109161.38812693942
2019-02-07,198885.86523473074
2019-02-12,222150.3166440847
2019-02-22,127882.38838919153
2019-02-27,169629.72913117852
2019-03-19,271712.9327628588
2019-03-29,236307.8277369373
2019-04-08,191381.69512662844
2019-04-13,218330.8833571614
2019-05-13,215890.8195251976
2019-05-23,226550.75722803888
2019-06-02,246244.06570695242
2019-06-17,190868.81581048353
2019-06-22,168414.52753478775
2019-06-27,177248.9581168223
2019-07-02,184003.8589296776
2019-07-07,190612.60154179393
2019-07-12,174036.00398461544
2019-07-22,165272.8744695165
2019-08-01,137058.62823466785
2019-08-16,149492.79644408412
2019-08-31,115257.87293632307
2019-09-15,97978.85046873993
2019-10-05,118568.34232644348
2019-10-25,86600.31264886017
2019-11-04,138837.898527646
2019-11-09,131999.1498207211
2019-11-19,169386.3836394106
2019-12-09,177745.53549769483
2019-12-14,181739.9713354511
2019-12-29,116494.5013590446
2020-02-22,79299.15718028766
2020-03-08,169386.3836394106
2020-03-13,226550.75722803888
2020-03-18,167929.5153894131
2020-03-28,243101.99884159662
2020-05-07,132654.36664397546
2020-05-22,184003.8589296776
2020-05-27,198103.73138196956
2020-06-06,242248.13069990472
2020-06-21,214001.2759387314
2020-07-11,174282.2428469657
2020-07-21,181990.909937298
2020-07-26,172561.7645211197
2020-07-31,174036.00398461544
2020-08-05,133530.19191419226
2020-08-15,157885.72636862937
2020-08-25,156473.0145400016
2020-09-04,98746.34309705016
2020-09-14,140627.18169362578
2020-09-29,93241.39909179504
2020-10-24,98938.62473650127
2020-11-23,106564.59998997289
2020-12-13,75497.65632363826
2021-02-11,133310.99967660962
2021-03-13,145599.2072781601
2021-03-23,147197.015562877
2021-03-28,127882.38838919153
2021-04-07,91003.91138928707
2021-04-12,95692.08036007301
2021-05-12,129176.26374689792
2021-05-27,136836.92429213357
2021-06-16,141300.74100749614
2021-06-21,138169.49790789263
2021-07-11,128313.04817945938
2021-07-21,121709.01974907711
2021-08-10,104782.83514732658
2021-08-15,94557.54710895279
2021-08-25,87327.61843160287
2021-08-30,85153.67630934676
2021-09-19,89709.68144214629
2021-10-14,65065.87505822486
2021-11-18,72784.27680279154
2021-12-18,114436.65718750274
2022-01-12,106167.51877991969
2022-01-22,101064.49256922214
2022-01-27,91003.91138928707
2022-02-06,92679.80298076774
2022-02-26,98554.22481021454
2022-03-03,101258.73131568737
2022-04-17,117529.42448598666
2022-05-17,89709.68144214629
2022-05-27,78950.19952938474
2022-06-06,82114.97262586777
2022-06-11,88240.48343476857
2022-07-01,78775.97275392197
2022-07-11,75497.65632363826
2022-07-16,67000.58244894544
2022-07-21,70944.02995832457
2022-07-26,57424.21206796635
2022-07-31,66676.41295304993
2022-08-10,59103.358978068405
2022-08-15,50059.73759790376
2022-08-20,55766.236055692076
2022-09-19,48358.19677066265
2022-10-04,49489.7032527016
2022-10-09,54870.836864400764
2023-01-12,79648.7866517287
2023-02-06,46543.92224604662
2023-02-11,57575.98812711559
2023-02-26,48781.17239004928
2023-03-03,49489.7032527016
2023-03-28,39334.47841084859
2023-04-07,28180.345580080437
2023-04-17,33975.92129091514
2023-05-02,30097.710442237203
2023-05-17,28291.60447513977
2023-06-26,15471.174372383537
2023-07-01,44217.252505026234
2023-07-06,35436.83090901882
2023-07-11,33975.92129091514
2023-07-21,24826.77725192093
2023-07-31,21958.398818273196
2023-08-10,20004.280335528412
2023-08-15,18776.938890931408
2023-08-20,16512.66755870418
2023-08-25,13639.221470119408
2023-09-04,13317.006525858087
2023-09-14,9997.355594145887
2023-09-19,8298.534515675501
2023-09-24,8429.343048073997
2023-09-29,5595.347382390663
2023-10-04,5006.004285873429
