date,value
2017-02-11,2738012.3067513085
2017-02-18,2503761.261500014
2017-03-30,3535868.99289932
2017-04-09,3256348.613941302
2017-04-12,3701418.08491147
2017-04-19,2934201.8471010434
2017-04-22,3127774.723679005
2017-06-18,3152851.1416259594
2017-06-21,3070545.0536865257
2017-08-02,1784114.73243203
2017-08-07,3158562.5589651377
2017-08-20,2525995.6259928653
2017-08-27,2828282.8440850973
2017-09-29,2082056.4032074742
2017-10-11,2005099.8889825712
2017-10-14,1812238.3963044412
2017-10-16,2459039.0843377127
2017-11-13,1478134.2959369498
2017-11-25,1466274.5049509578
2017-12-08,1441464.7814647271
2018-01-14,2422803.6111685294
2018-02-26,2424838.780286532
2018-03-20,3240152.8670820007
2018-04-17,3363069.306538152
2018-04-19,3366006.3166040387
2018-05-04,3406061.106183552
2018-05-19,3461177.698494428
2018-06-21,2763288.0423289402
2018-06-23,3206141.9859018363
2018-06-28,3623384.83240299
2018-07-01,3736401.477816515
2018-07-11,3310395.317333958
2018-07-26,3445729.731116157
2018-08-02,3345470.838430989
2018-08-05,3078450.2311276263
2018-09-11,3275481.859353803
2018-09-26,3086929.943795866
2018-09-29,2679254.505165524
2018-10-04,2443699.572126319
2018-10-09,2492418.854200599
2018-10-19,2281711.1711893226
2018-10-21,2419243.8667298667
2018-10-24,2131819.8254880495
2018-11-15,2087772.0470400178
2018-11-18,1972906.258248118
2019-01-17,1613046.298016683
2019-01-24,1776558.8385459865
2019-02-03,475276.7028684638
2019-02-23,1845066.8852553281
2019-02-26,137701.74159735348
2019-03-23,2529104.940515649
2019-03-28,2864859.292431628
2019-03-30,2687234.0400782586
2019-04-12,2528068.316155457
2019-04-19,2087295.4812157634
2019-05-12,2934201.8471010434
2019-05-14,2591118.8483989197
2019-06-01,3254032.7700609947
2019-06-18,2498602.824972025
2019-06-26,3184319.956326102
2019-07-01,3255769.585304724
2019-07-03,2781636.0149266887
2019-07-08,2046016.8570607123
2019-07-13,2432986.9418352977
2019-07-23,2208893.902183296
2019-08-22,1706134.080478881
2019-08-25,2706427.3237324534
2019-09-06,918949.1097914454
2019-09-16,1348412.3070999368
2019-09-19,1322549.545554608
2019-10-11,1440249.4181950234
2020-01-19,1779668.387553989
2020-02-06,824386.0354289495
2020-03-19,1331537.4136345442
2020-03-24,1958053.4138791175
2020-03-27,2667039.4143330306
2020-04-01,2014943.2377266448
2020-04-08,3702030.585953839
2020-04-11,2536366.5233613253
2020-05-18,1961762.0147600595
2020-05-21,2651143.448730225
2020-05-26,3024422.2393019013
2020-05-28,2409593.2640510835
2020-05-31,1792130.3989921722
2020-06-02,2504277.3614801965
2020-07-17,2034693.2567407056
2020-07-20,3309228.923207159
2020-07-22,3028347.610809738
2020-07-30,2283693.5547579923
2020-08-04,2536885.556839726
2020-08-06,2354556.175083819
2020-09-10,1250085.8219053692
2020-10-18,1260000.7288565713
2020-11-04,712483.6550019196
2020-11-14,980708.6607544512
2020-11-19,1961298.2715283397
2020-11-22,1060814.0621107866
2020-11-29,899413.5194487097
2020-12-12,2125090.9208598263
2021-02-17,2543117.587242987
2021-02-27,3014338.670599155
2021-03-17,2989194.3190812557
2021-03-24,3180880.342238209
2021-03-29,3523272.0457015666
2021-04-01,3110727.4824722223
2021-04-03,3173433.4325412437
2021-04-08,3030030.5956546417
2021-04-23,3051946.6639393326
2021-04-28,3552695.5520698433
2021-05-28,3601569.3103188435
2021-05-31,3210168.95349509
2021-07-17,3008183.753405312
2021-07-20,3039575.246240735
2021-08-11,3729024.573477043
2021-08-14,3172288.432875307
2021-08-26,3611257.9724734933
2021-09-23,2890090.6140787993
2021-09-30,2514092.113790776
2021-10-23,2504277.3614801965
2021-10-28,1982680.1504769537
2021-11-09,1844615.4363422918
2021-11-17,2229453.087225366
2021-11-19,1959907.330030388
2021-12-14,2286172.594753596
2021-12-17,2059262.5074148912
2022-01-06,2827738.4868462505
2022-01-11,2235833.5500577237
2022-01-21,2224060.4743522084
2022-02-05,2145787.907009379
2022-02-12,2670754.4619657346
2022-03-07,2983061.9600973907
2022-03-09,3229183.048427862
2022-03-22,3233799.932964379
2022-03-24,2835363.6650056373
2022-04-11,2915418.8078204505
2022-04-16,3361894.8170121177
2022-04-26,2664917.5471890722
2022-05-01,3468317.7381449454
2022-05-06,3074496.52933633
2022-05-11,2781095.6094924603
2022-05-16,3110159.944112098
2022-05-21,3066595.804532735
2022-05-28,2851733.6155469143
2022-05-31,3738861.8651351463
2022-06-02,3561121.9528280273
2022-06-15,3781415.1779099395
2022-06-17,3759803.7978309593
2022-07-02,3743784.768233586
2022-07-05,3366006.3166040387
2022-07-07,3094853.560334888
2022-07-10,3003152.0118874735
2022-07-12,3190630.1447514286
2022-07-30,2894488.561610604
2022-08-06,2419243.8667298667
2022-08-09,2370152.223487407
