date,value
2017-01-19,304805.09550213534
2017-01-26,355877.3998761031
2017-01-29,337422.04675790964
2017-02-05,355877.3998761031
2017-02-15,387068.25944447715
2017-02-18,387068.25944447715
2017-02-25,383361.77141351084
2017-02-28,410923.93321736297
2017-03-27,452985.4299910274
2017-03-30,452985.4299910274
2017-04-06,454923.70844198175
2017-04-09,415646.9381264669
2017-04-19,406215.71367437864
2017-04-29,389389.7545098691
2017-05-16,440922.64440303796
2017-05-19,440922.64440303796
2017-05-26,440922.64440303796
2017-05-29,368633.9052991672
2017-06-05,384750.56234400737
2017-06-15,421808.8230506006
2017-06-18,408097.22231235116
2017-06-25,408097.22231235116
2017-08-02,349545.4227933093
2017-08-04,346841.2500903975
2017-08-14,326744.6046006494
2017-08-19,323206.3878362295
2017-08-22,356784.49900330295
2017-08-24,325859.06407051574
2017-08-27,327187.6209949312
2017-08-29,342347.0793491797
2017-09-03,326301.75225886167
2017-09-06,344142.82555147604
2017-09-18,264716.2742936926
2017-09-21,270167.77150080947
2017-09-28,270167.77150080947
2017-10-13,275226.7537339787
2017-10-16,275226.7537339787
2017-10-18,275226.7537339787
2017-10-21,275226.7537339787
2017-10-26,273959.6058419633
2017-10-28,285848.0714266619
2017-10-31,300467.5571396185
2017-11-05,300467.5571396185
2017-11-07,298305.17145038047
2017-11-15,314407.1236299346
2017-11-17,314407.1236299346
2018-02-08,386604.415856732
2018-02-10,391715.0372533843
2018-02-18,391715.0372533843
2018-02-25,445254.9939262996
2018-02-28,451049.4149016445
2018-03-10,439961.473478424
2018-03-20,427042.0189154001
2018-03-25,416120.04886064975
2018-04-19,403867.1725872353
2018-04-21,447666.8479594299
2018-04-24,394044.0974604182
2018-05-04,430381.3942807109
2018-05-06,467577.3874596911
2018-05-09,467577.3874596911
2018-05-11,467577.3874596911
2018-05-16,452017.13925158925
2018-05-19,409981.1040151806
2018-05-21,392646.2086101864
2018-05-24,392646.2086101864
2018-06-20,405745.70788915444
2018-06-23,422283.8390664871
2018-06-25,407626.6224839975
2018-06-28,420384.651961291
2018-07-03,423709.7630285445
2018-07-08,418013.9611655855
2018-07-10,431814.72835334926
2018-07-13,403397.9111131535
2018-07-15,411395.56963616016
2018-07-18,411395.56963616016
2018-07-23,411395.56963616016
2018-07-25,427518.6372407049
2018-07-28,429426.56202446605
2018-08-02,429426.56202446605
2018-08-04,411395.56963616016
2018-08-07,401991.0215914271
2018-08-12,388925.15215440816
2018-08-17,401522.35698041046
2018-08-19,375517.9619008668
2018-08-22,351803.2764165001
2018-09-01,340106.01122540596
2018-09-08,323648.0889749324
2018-09-11,307415.7523032773
2018-09-16,316161.6611352662
