date,value
2017-02-15,1575696.6580810896
2017-02-25,1591764.6773822955
2017-03-17,1824045.0379915212
2017-03-27,1769088.527332703
2017-04-03,1820798.0289641202
2017-04-23,1853891.9254160284
2017-05-16,2083256.7726719996
2017-05-26,1856612.6497337932
2017-06-15,1870780.1551756863
2017-06-22,1905245.9439608546
2017-07-05,2003104.9515636628
2017-07-17,1926128.0534087112
2017-07-22,1905245.9439608546
2017-08-14,1929431.615536735
2017-08-21,1907440.7656441769
2017-08-29,1867507.7947967544
2017-10-05,1691330.9987136517
2017-10-13,1628753.6601832474
2017-10-15,1657060.2553027596
2017-10-18,1598517.766752512
2017-11-22,1260800.6496251125
2018-02-25,1624050.4837248642
2018-02-27,1485428.9221872324
2018-03-14,1784123.150197591
2018-04-18,1844107.475492178
2018-04-21,1837593.3532821517
2018-05-06,1758373.4747718468
2018-05-08,1800814.1417018676
2018-05-11,1812148.0338962022
2018-05-18,1779823.555914199
2018-06-20,1923376.4139682932
2018-06-22,1882793.854501271
2018-06-27,1867507.7947967544
2018-07-07,1811067.6746593488
2018-07-25,1869689.1728226086
2018-07-27,1900310.4348545228
2018-08-06,1902503.5088799938
2018-08-19,1921726.0105294995
2018-08-26,1903600.3372715053
2018-09-08,1847910.6489906874
2018-09-10,1834338.9491187057
2018-09-18,1880061.394116937
2018-09-20,1886074.4158139618
2018-09-25,1842478.2810819722
2018-09-30,1889903.9541221736
2018-10-05,1776600.9526325401
2018-10-13,1755162.8613228318
2018-10-18,1749281.4212226751
2018-10-20,1822962.5041710981
2018-11-04,1757838.2473533112
2018-11-09,1739670.3411635403
2018-11-19,1456042.2676482338
2019-01-28,1314300.998631375
2019-02-05,1620395.3477626757
2019-02-15,1514484.007023205
2019-02-17,1603198.1244792698
2019-02-20,1666529.0236839408
2019-02-22,1585538.858444124
2019-02-25,1505800.3692756307
2019-02-27,1663370.9260455028
2019-03-22,1716245.220454358
2019-03-29,1723156.1205904942
2019-04-01,1699799.8660519929
2019-05-13,1861513.0412267067
2019-05-16,1927779.6170639412
2019-05-23,1895926.6190438743
2019-06-02,1875691.9944608638
2019-06-27,1855524.2129114238
2019-06-30,1872416.9952568044
2019-07-02,1839221.2198259898
2019-07-05,1968101.3440170006
2019-07-07,1963116.327459004
2019-07-10,1947079.9502595505
2019-07-17,1921726.0105294995
2019-07-22,1880061.394116937
2019-07-25,1983079.672056022
2019-08-04,1990303.891079756
2019-08-24,1834881.2267267024
2019-08-26,1856612.6497337932
2019-09-13,1759979.4573465541
2019-09-15,1819175.1911166434
2019-09-18,1729010.465131567
2019-09-20,1770697.50928935
2019-10-13,1579320.5410835522
2019-11-07,1619873.3920683782
2019-11-22,1434372.4335273565
2019-11-24,1482380.5662163422
2020-01-06,1278234.5935626512
2020-01-16,1264184.8193255793
2020-01-21,1243921.6854602024
2020-02-07,1525744.3979804667
2020-02-15,1621961.524775878
2020-02-22,1619873.3920683782
2020-03-18,1764800.1065694615
2020-03-23,1809987.5133843906
2020-03-26,1735937.0951067326
2020-03-28,1865327.1993047842
2020-03-31,1838135.9262570888
2020-04-02,1829460.6674562264
2020-04-05,1798657.7834203779
2020-04-10,1770697.50928935
2020-04-12,1869143.7549728581
2020-04-15,1862602.555915255
2020-04-17,1991416.0255065304
2020-05-07,1901406.874726605
2020-05-20,1967547.261502872
2020-05-30,1995866.4712783757
2020-06-24,2028223.2823611423
2020-06-26,1857156.9416759808
2020-07-04,1990859.9344346311
2020-07-06,1985857.2626706464
2020-07-09,1973644.804396153
2020-07-11,1897022.2813583554
2020-07-19,2047265.2280300746
2020-07-24,1983079.672056022
2020-07-29,2007563.4004514164
2020-08-05,2048948.0224953864
2020-08-08,1978083.0200978757
2020-08-10,1966439.2402824652
2020-08-15,1925027.2526081665
2020-08-20,1993640.866861633
2020-09-04,1950947.0989352542
2020-09-09,1952052.4314552045
2020-09-12,1903051.898798682
2020-09-14,1900858.6305027003
2020-09-17,1865872.2747959516
2020-11-18,1487462.2280114512
2020-11-21,1467674.0057890136
2020-11-28,1438396.467467413
2020-12-18,1486445.468285895
2021-01-10,1059295.3110436164
2021-02-14,1618307.8350056345
2021-02-21,1601117.4464853655
2021-02-24,1751954.0511997752
2021-03-01,1716776.5251619576
2021-03-06,1716245.220454358
2021-03-08,1737536.7559882517
2021-03-23,1787349.9367195666
2021-03-28,1841392.3972831771
2021-03-31,1853347.9276699233
2021-04-02,1826210.6978402834
2021-04-22,1811607.829535384
2021-04-27,1887168.326087078
2021-06-14,1949841.9587795255
2021-06-16,1908538.467573561
2021-07-19,1908538.467573561
2021-07-21,1857156.9416759808
2021-08-10,1841935.3145980493
2021-08-20,1812688.2877361167
2021-09-02,1910734.4533925925
2021-09-07,1847910.6489906874
2021-09-22,1788964.001584267
2021-09-24,1824586.3789361909
2021-10-02,1887715.3542932891
2021-10-14,1719433.8063986178
2021-10-19,1696622.5180009033
2021-10-22,1673377.8780232011
2021-10-24,1716245.220454358
2021-11-11,1552461.462536663
2021-12-18,1222801.8806819436
2021-12-23,1173326.851233924
2022-01-15,1150235.1972708488
2022-02-09,1186110.920333326
2022-02-26,1093359.0634636802
2022-03-06,1064796.6306437566
2022-03-08,1039654.3391266154
2022-03-23,1101694.773792149
2022-03-26,1099377.348069872
2022-04-17,1254040.678400575
2022-06-11,1462107.4530810544
2022-06-16,1439906.3728413496
2022-06-29,1432361.715828977
2022-07-11,1628230.878708236
2022-07-14,1587613.2984751773
2022-07-16,1602157.681711798
2022-07-19,1602677.877156151
2022-07-24,1583465.2519212975
2022-07-31,1623528.1665499047
2022-08-03,1540626.7278203103
2022-08-08,1502739.220928774
2022-08-10,1555037.910141251
2022-08-13,1470713.044995401
2022-09-02,1256453.6719837754
2022-09-04,1289898.0033864486
2022-09-12,1238150.7249612731
2022-09-22,1167186.7593774614
2022-10-09,1243440.4572641721
2022-10-22,1203698.7775204724
2022-11-11,1168602.8250096743
2022-12-11,1244402.9708594154
2023-02-09,1518575.7291940108
2023-02-11,1391333.7024572291
2023-02-14,1446454.9164422546
2023-03-01,1538571.3552036574
2023-04-05,1764800.1065694615
2023-04-20,1692917.9212420392
2023-06-01,1783047.9528471173
2023-06-06,1816471.449552794
2023-06-14,1959241.7788144194
2023-06-19,1914579.294802102
2023-06-24,1945423.322639786
2023-07-09,1985857.2626706464
2023-07-11,1870234.6395587176
2023-08-23,1982524.297279808
