date,value
2017-01-14,226400
2017-02-23,447100
2017-02-26,433500
2017-03-05,442900
2017-03-08,427700
2017-03-15,439000
2017-03-18,446200
2017-03-25,445300
2017-03-28,455500
2017-04-04,459500
2017-04-07,458300
2017-04-14,459600
2017-04-17,457600
2017-04-24,455200
2017-05-04,461700
2017-05-07,471000
2017-05-14,447700
2017-05-17,455200
2017-05-24,444800
2017-05-27,460100
2017-06-03,452200
2017-06-06,457500
2017-06-13,443400
2017-06-16,452200
2017-06-23,458100
2017-06-26,457700
2017-07-01,426400
2017-07-03,419300
2017-07-06,416600
2017-07-08,411800
2017-07-11,404000
2017-07-13,386400
2017-07-18,378200
2017-07-21,368100
2017-07-23,345100
2017-07-26,343200
2017-07-28,343600
2017-07-31,340900
2017-08-02,324300
2017-08-05,317600
2017-08-07,303900
2017-08-12,298500
2017-08-15,283400
2017-08-17,273600
2017-08-20,268000
2017-08-22,258200
2017-08-25,247800
2017-08-27,245900
2017-08-30,236400
2017-09-01,229500
2017-09-04,234600
2017-09-09,232300
2017-09-11,226500
2017-09-19,207300
2017-09-21,207500
2017-09-24,190200
2017-10-04,185900
2017-10-14,137700
2017-10-16,140200
2017-10-19,140200
2017-10-21,140100
2017-10-24,131900
2017-10-26,122000
2017-10-31,117500
2017-11-03,111300
2017-11-05,114900
2017-11-08,105700
2017-11-18,113100
2017-11-20,71700
2017-11-23,71700
2017-11-28,71700
2017-12-05,77500
2017-12-13,78800
2017-12-23,97100
2017-12-25,96300
2017-12-28,96300
2017-12-30,96300
2018-01-17,213900
2018-01-19,213900
2018-01-22,231600
2018-01-24,231600
2018-01-27,231600
2018-02-08,347200
2018-02-11,361900
2018-02-13,361900
2018-02-16,361900
2018-02-18,361900
2018-03-18,472300
2018-03-23,472500
2018-04-02,459700
2018-04-07,452300
2018-04-12,452300
2018-04-17,456500
2018-04-19,469500
2018-04-22,463300
2018-04-24,466400
2018-04-27,466100
2018-04-29,470500
2018-05-07,473400
2018-05-09,470600
2018-05-19,476300
2018-05-22,476300
2018-05-29,470100
2018-06-03,474700
2018-06-08,478300
2018-06-13,479900
2018-06-16,500800
2018-06-18,472000
2018-06-21,488500
2018-06-26,493900
2018-06-28,481100
2018-07-01,481300
2018-07-03,478400
2018-07-06,483300
2018-07-08,475100
2018-07-11,479700
2018-07-13,479300
2018-07-18,476100
2018-07-21,466600
2018-07-23,450200
2018-07-26,449500
2018-07-28,455000
2018-07-31,464700
2018-08-02,467800
2018-08-05,467800
2018-08-07,463600
2018-08-10,459000
2018-08-12,444000
2018-08-15,455000
2018-08-17,455000
2018-08-20,413800
2018-08-22,413800
2018-09-01,393500
2018-09-06,392500
2018-09-09,394300
2018-09-11,388900
2018-09-14,370100
2018-09-16,372800
2018-09-19,372800
2018-09-21,368900
2018-09-24,350500
2018-09-26,339400
2018-09-29,322600
2018-10-01,322600
2018-10-06,329800
2018-10-09,321900
2018-10-14,316300
2018-10-19,334900
2018-10-21,315600
2018-10-24,318400
2018-10-26,311900
2018-11-18,322900
2018-11-28,324600
2018-12-03,308400
2018-12-05,317800
2018-12-08,313200
2018-12-10,320400
2018-12-15,320400
2018-12-18,341500
2018-12-25,359900
2018-12-28,359900
2019-01-02,353500
2019-01-04,353500
2019-01-07,355600
2019-01-09,355600
2019-01-12,337100
2019-01-14,337100
2019-01-17,337100
2019-01-22,339300
2019-01-24,318800
2019-01-29,408100
2019-02-03,408100
2019-02-06,438200
2019-02-08,438200
2019-02-11,437500
2019-02-13,412900
2019-02-16,408300
2019-02-18,430700
2019-02-21,427400
2019-02-23,433100
2019-02-26,444400
2019-02-28,443800
2019-03-03,443800
2019-03-08,447500
2019-03-10,464100
2019-03-18,439900
2019-03-20,464700
2019-03-23,444500
2019-03-25,444500
2019-03-28,450900
2019-03-30,439800
2019-04-02,439800
2019-04-07,437800
2019-04-09,446700
2019-04-12,446700
2019-04-14,412000
2019-04-17,449200
2019-04-19,439400
2019-04-27,448800
2019-04-29,440000
2019-05-02,459700
2019-05-07,470400
2019-05-09,467900
2019-05-14,468900
2019-05-19,471800
2019-05-24,442800
2019-05-29,499600
2019-06-01,500200
2019-06-03,485000
2019-06-06,489800
2019-06-11,484600
2019-06-13,474500
2019-06-16,484300
2019-06-18,498000
2019-06-21,484700
2019-06-23,487100
2019-06-26,483100
2019-06-28,483100
2019-07-01,476500
2019-07-03,468500
2019-07-06,469500
2019-07-08,459500
2019-07-11,461500
2019-07-13,446500
2019-07-16,462000
2019-07-18,455200
2019-07-21,452400
2019-07-23,421800
2019-07-26,411500
2019-07-28,395900
2019-07-31,395800
2019-08-02,395900
2019-08-05,377900
2019-08-07,373600
2019-08-10,369500
2019-08-12,365700
2019-08-15,360000
2019-08-17,353600
2019-08-20,352000
2019-08-22,345400
2019-08-25,346600
2019-08-27,340800
2019-08-30,319900
2019-09-04,302400
2019-09-06,307500
2019-09-09,273100
2019-09-11,267700
2019-09-14,247100
2019-09-16,255800
2019-09-19,255800
2019-09-24,244300
2019-09-26,238200
2019-09-29,237300
2019-10-01,244900
2019-10-04,235600
2019-10-06,233300
2019-10-09,231800
2019-10-11,231800
2019-10-14,228900
2019-10-16,228200
2019-10-19,210700
2019-10-26,199800
2019-10-29,199800
2019-11-20,269200
2019-11-28,269200
2019-11-30,269900
2019-12-08,287000
2019-12-10,257300
2019-12-13,257300
2019-12-15,257300
2019-12-23,277400
2019-12-25,278300
2019-12-28,288400
2019-12-30,295100
2020-01-09,334500
2020-01-12,436200
2020-01-14,436200
2020-01-17,436200
2020-01-22,436200
2020-01-27,465200
2020-02-01,454900
2020-02-06,455300
2020-02-08,455300
2020-02-11,408000
2020-02-13,412100
2020-02-16,404300
2020-02-18,404300
2020-02-21,407500
2020-02-26,404200
2020-02-28,384200
2020-03-04,374500
2020-03-07,374500
2020-03-14,378600
2020-03-19,438300
2020-03-22,451000
2020-03-24,441000
2020-03-29,455200
2020-04-01,452000
2020-04-03,452000
2020-04-06,462500
2020-04-08,471400
2020-04-11,469500
2020-04-23,474600
2020-04-26,485800
2020-04-28,485700
2020-05-03,485700
2020-05-06,484000
2020-05-11,484000
2020-05-21,467700
2020-05-23,489600
2020-05-26,479500
2020-05-28,482700
2020-05-31,482700
2020-06-05,482700
2020-06-10,485300
2020-06-12,473900
2020-06-15,488700
2020-06-17,451300
2020-06-20,483300
2020-06-22,453300
2020-06-25,464800
2020-06-27,456400
2020-06-30,466700
2020-07-02,460300
2020-07-05,469500
2020-07-07,460900
2020-07-10,471800
2020-07-12,464900
2020-07-15,479400
2020-07-17,462600
2020-07-20,458700
2020-07-22,446400
2020-07-25,448900
2020-07-27,438800
2020-07-30,430200
2020-08-01,430200
2020-08-04,417300
2020-08-06,417200
2020-08-09,390000
2020-08-11,375400
2020-08-14,357200
2020-08-16,351200
2020-08-19,343800
2020-08-21,342800
2020-08-24,338500
2020-08-26,330100
2020-09-03,302900
2020-09-05,282700
2020-09-08,276600
2020-09-10,277100
2020-09-13,251000
2020-09-15,234800
2020-09-18,235400
2020-09-20,230800
2020-09-25,221700
2020-09-28,221700
2020-09-30,225000
2020-10-03,252900
2020-10-08,252300
2020-10-10,252300
2020-10-15,269400
2020-10-18,186300
2020-10-20,186300
2020-10-28,241200
2020-10-30,241200
2020-11-02,250200
2020-11-07,230600
2020-11-09,230600
2020-11-17,232200
2020-11-19,244600
2020-11-22,280100
2020-11-24,280100
2020-12-02,280100
2020-12-07,284600
2020-12-27,359000
2021-01-13,436500
2021-01-16,436500
2021-01-18,437100
2021-01-23,446000
2021-01-26,450600
2021-01-31,456400
2021-02-02,443400
2021-02-10,445100
2021-02-15,449200
2021-02-17,449200
2021-02-20,449200
2021-02-25,457800
2021-02-27,456700
2021-03-02,456700
2021-03-04,462600
2021-03-14,469800
2021-03-17,464200
2021-03-19,464200
2021-03-22,474000
2021-03-24,463200
2021-03-29,463900
2021-04-01,463900
2021-04-03,466900
2021-04-23,446800
2021-04-28,446500
2021-05-03,454600
2021-05-06,468200
2021-05-08,454700
2021-05-13,457500
2021-05-18,469200
2021-05-21,474200
2021-05-23,474200
2021-05-26,470600
2021-05-28,470600
2021-05-31,482900
2021-06-05,480500
2021-06-07,477800
2021-06-10,483400
2021-06-12,471300
2021-06-15,473700
2021-06-17,464100
2021-06-22,452800
2021-06-25,460200
2021-06-27,448800
2021-06-30,448900
2021-07-02,448900
2021-07-05,453000
2021-07-07,467000
2021-07-10,449900
2021-07-12,441200
2021-07-15,442400
2021-07-17,430500
2021-07-20,413700
2021-07-22,396100
2021-07-27,400000
2021-07-30,388200
2021-08-01,374500
2021-08-04,380700
2021-08-06,350900
2021-08-11,338600
2021-08-14,331800
2021-08-16,335100
2021-08-19,329600
2021-08-21,318600
2021-08-24,318900
2021-08-26,313000
2021-08-29,298200
2021-08-31,285200
2021-09-03,272700
2021-09-05,272700
2021-09-08,275600
2021-09-18,223300
2021-09-23,227600
2021-09-30,221900
2021-10-03,221900
2021-10-08,204500
2021-10-10,200500
2021-10-13,179400
2021-10-15,177800
2021-10-18,177800
2021-10-20,171500
2021-10-23,164800
2021-11-04,136000
2021-11-19,167200
2021-11-22,167200
2021-11-24,183400
2021-11-27,183400
2021-12-07,208000
2021-12-09,209100
2021-12-12,222400
2021-12-14,222600
2021-12-17,223100
2021-12-19,230200
2021-12-24,230100
2021-12-29,236100
2022-01-13,301200
2022-01-16,309400
2022-01-18,309400
2022-01-21,317400
2022-01-23,312400
2022-01-26,330500
2022-01-28,344000
2022-01-31,344000
2022-02-02,328300
2022-02-05,343000
2022-02-07,343000
2022-02-10,336600
2022-02-12,333800
2022-02-15,345300
2022-02-17,344000
2022-02-20,339200
2022-02-22,341400
2022-02-25,345400
2022-02-27,340700
2022-03-02,345300
2022-03-07,343500
2022-03-09,346200
2022-03-14,353100
2022-03-22,390100
2022-03-24,398500
2022-03-29,396700
2022-04-03,412800
2022-04-11,449400
2022-04-13,449400
2022-04-16,455900
2022-04-18,449300
2022-04-23,455000
2022-04-26,453600
2022-04-28,457200
2022-05-01,466100
2022-05-08,457300
2022-05-11,484000
2022-05-13,488600
2022-05-16,478600
2022-05-18,480300
2022-05-21,479400
2022-05-23,473600
2022-05-26,481700
2022-05-28,480200
2022-05-31,492700
2022-06-02,482700
2022-06-07,470000
2022-06-10,465600
2022-06-12,470100
2022-06-15,469600
2022-06-17,457600
2022-06-20,459900
2022-06-25,458000
2022-06-27,462700
2022-07-02,451000
2022-07-05,453800
2022-07-07,455000
2022-07-10,444800
2022-07-12,434300
2022-07-15,431100
2022-07-17,419300
2022-07-20,414600
2022-07-22,399200
2022-07-25,390300
2022-07-27,390700
2022-07-30,381200
2022-08-01,362900
2022-08-04,357800
2022-08-06,342300
2022-08-09,335700
2022-08-11,337100
2022-08-14,335900
2022-08-16,325900
2022-08-19,320900
2022-08-21,313200
2022-08-24,303200
2022-08-26,295900
2022-08-29,291100
2022-09-05,282500
2022-09-10,246000
2022-09-13,252300
2022-09-18,238300
2022-09-20,238100
2022-09-23,227000
2022-10-05,191200
2022-10-08,202700
2022-10-10,198600
2022-10-13,193900
2022-10-15,190200
2022-10-18,189700
2022-10-20,186500
2022-10-23,178400
2022-10-25,177600
2022-10-28,174800
2022-10-30,167500
2022-11-02,161700
2022-11-04,155500
2022-11-14,146200
2022-11-27,198000
2022-12-02,199700
2022-12-04,199700
2022-12-07,198000
2022-12-29,374800
2023-01-21,379500
2023-01-26,448500
2023-01-31,448500
2023-02-02,446800
2023-02-05,446800
2023-02-10,440700
2023-02-12,441900
2023-02-15,434600
2023-02-17,436400
2023-02-20,436400
2023-02-22,432700
2023-03-12,434500
2023-03-14,441800
2023-03-17,441800
2023-03-22,441800
2023-03-24,446800
2023-03-27,453300
2023-04-01,453300
2023-04-03,453500
2023-04-06,455000
2023-04-08,443300
2023-04-16,443300
2023-04-26,455000
2023-04-28,455000
2023-05-03,455000
2023-05-06,460100
2023-05-11,470000
2023-05-23,461100
2023-05-26,477000
2023-05-28,461500
2023-06-02,457700
2023-06-05,471200
2023-06-07,453600
2023-06-10,486900
2023-06-12,481300
2023-06-15,483300
2023-06-17,461400
2023-06-20,461400
2023-06-22,461100
2023-06-25,475600
2023-06-27,461400
2023-07-02,441200
2023-07-05,469800
2023-07-07,469800
2023-07-10,467800
2023-07-12,470600
2023-07-15,471000
2023-07-17,462000
2023-07-20,452400
2023-07-22,452400
2023-07-25,446400
2023-07-27,438200
2023-07-30,433000
2023-08-01,416300
2023-08-06,402300
2023-08-09,394600
2023-08-11,379300
2023-08-14,370100
2023-08-16,359900
2023-08-19,355700
2023-08-21,350900
2023-08-24,346400
2023-08-26,339200
2023-08-29,344100
2023-08-31,331600
2023-09-03,320900
2023-09-05,308400
2023-09-08,301200
2023-09-10,296700
2023-09-15,293500
2023-09-23,301000
2023-09-25,301000
2023-09-28,301000
2023-09-30,301800
2023-10-03,254100
2023-10-05,254900
2023-10-08,242400
2023-10-10,248400
2023-10-13,241900
2023-10-15,235500
2023-10-28,222800
2023-11-07,225600
2023-11-24,268600
2023-11-27,268600
2023-11-29,269000
2023-12-02,269000
