date,value
2017-01-19,79100
2017-01-26,85000
2017-02-15,90600
2017-02-18,90600
2017-02-25,81500
2017-03-10,96900
2017-03-17,99800
2017-03-27,107300
2017-03-30,100900
2017-04-06,111600
2017-04-09,107200
2017-04-19,119600
2017-05-09,138200
2017-05-16,138000
2017-05-26,137700
2017-06-18,141100
2017-07-05,130300
2017-07-18,131000
2017-08-02,105500
2017-08-04,106500
2017-08-14,97900
2017-08-17,97400
2017-08-22,86900
2017-09-21,80800
2017-10-08,83000
2017-10-11,79800
2017-10-13,81200
2017-10-16,80500
2017-10-26,78100
2017-10-31,75600
2017-11-07,74500
2017-11-17,72700
2017-11-22,73800
2018-01-09,89000
2018-01-24,96900
2018-02-10,97600
2018-03-15,130400
2018-04-19,127300
2018-04-21,139400
2018-05-06,130400
2018-05-11,139900
2018-05-19,136500
2018-05-21,140100
2018-05-26,142900
2018-06-20,137500
2018-06-23,134300
2018-06-25,144500
2018-07-03,139000
2018-07-08,136800
2018-07-10,141000
2018-07-15,138700
2018-07-18,141600
2018-07-25,135900
2018-07-30,139900
2018-08-02,140400
2018-08-04,134000
2018-08-12,136600
2018-08-19,140700
2018-08-22,139100
2018-08-27,135200
2018-09-01,139700
2018-09-03,133300
2018-09-08,135600
2018-09-11,140300
2018-09-16,128400
2018-09-26,131500
2018-09-28,132800
2018-10-03,133700
2018-10-06,128600
2018-10-23,116700
2018-11-17,122100
2018-11-22,118200
2018-11-27,122800
2019-01-06,131300
2019-02-13,138800
2019-02-15,132200
2019-02-20,139000
2019-02-23,132400
2019-02-25,143300
2019-03-20,144500
2019-03-22,136800
2019-03-25,133300
2019-03-27,141900
2019-03-30,141700
2019-05-01,132100
2019-05-14,136000
2019-05-31,135900
2019-06-08,134000
2019-06-18,144900
2019-07-05,142800
2019-07-10,142500
2019-07-13,141400
2019-07-15,145200
2019-07-20,140900
2019-07-23,134500
2019-07-25,135300
2019-08-02,128300
2019-08-04,136200
2019-08-17,136300
2019-08-22,119700
2019-08-24,132200
2019-09-03,127700
2019-09-06,120200
2019-09-13,113800
2019-09-16,122100
2019-09-21,115600
2019-10-08,115100
2019-10-11,111900
2019-10-13,117000
2019-12-05,120300
2019-12-10,130200
2019-12-15,136500
2019-12-17,128400
2019-12-30,135000
2020-01-06,138000
2020-01-11,130200
2020-01-16,128600
2020-01-19,117400
2020-02-03,140300
2020-02-05,136200
2020-02-15,129700
2020-02-20,134200
2020-03-21,143000
2020-03-24,143100
2020-04-03,142900
2020-04-05,134100
2020-04-08,143700
2020-04-10,140000
2020-04-15,140500
2020-04-25,140700
2020-05-05,141300
2020-05-18,142800
2020-05-20,145800
2020-05-25,132300
2020-05-28,135200
2020-05-30,141600
2020-06-14,143500
2020-06-24,141200
2020-07-09,145300
2020-07-19,144500
2020-07-24,140500
2020-07-27,143300
2020-07-29,146300
2020-08-06,132800
2020-08-08,143700
2020-09-02,133000
2020-09-05,135200
2020-09-10,142200
2020-09-12,131900
2020-09-17,135900
2020-09-30,134800
2020-10-30,134800
2020-11-14,132100
2020-11-19,138000
2020-11-21,130200
2020-11-26,129500
2020-11-29,117200
2020-12-26,136100
2021-01-03,142400
2021-01-10,141900
2021-01-18,144500
2021-02-14,144200
2021-02-17,145500
2021-02-19,135200
2021-02-24,143400
2021-02-27,143900
2021-03-01,138600
2021-03-04,139800
2021-03-09,141700
2021-03-21,133800
2021-03-24,133100
2021-03-29,142700
2021-03-31,144500
2021-04-03,146200
2021-04-05,147000
2021-04-15,146600
2021-04-20,144800
2021-04-23,144200
2021-05-03,144000
2021-05-08,144200
2021-05-28,146900
2021-05-30,141800
2021-06-09,144900
2021-07-17,143600
2021-07-19,141300
2021-07-22,140500
2021-08-11,144800
2021-08-26,144600
2021-08-28,140500
2021-08-31,145100
2021-09-05,145900
2021-09-12,143700
2021-09-22,139800
2021-09-25,142600
2021-09-30,142300
2021-10-10,139200
2021-11-06,130100
2021-12-14,143600
2021-12-16,131800
2021-12-19,140600
2022-01-23,143700
2022-02-09,135000
2022-03-09,145200
2022-03-24,144400
2022-03-26,142800
2022-04-05,147100
2022-04-15,135700
2022-04-30,145500
2022-05-08,144300
2022-05-28,145400
2022-05-30,146800
2022-06-17,127700
2022-06-19,145900
2022-07-02,144500
2022-07-04,143200
2022-07-12,144600
2022-07-14,144400
2022-07-17,142900
2022-07-19,141600
2022-07-24,131800
2022-08-03,113200
2022-08-06,108900
2022-08-11,97900
2022-08-13,98900
2022-08-28,90200
2022-09-05,89400
2022-09-10,89100
2022-09-12,85200
2022-09-15,87500
2022-09-20,82100
2022-09-22,84700
2022-10-05,81800
2022-10-07,79900
2022-10-15,78100
2022-11-06,72100
2022-11-11,62100
2022-11-16,79000
2022-12-21,81000
2023-01-30,97100
2023-02-02,99300
2023-02-04,101600
2023-02-09,96800
2023-02-12,98200
2023-02-14,100000
2023-02-17,97500
2023-02-19,103700
2023-03-01,104900
2023-04-05,113700
2023-04-08,107100
2023-05-23,129700
2023-05-28,145700
2023-06-02,143300
2023-06-04,139700
2023-06-24,144600
2023-07-07,142400
2023-07-09,140400
2023-07-14,145200
2023-07-22,144800
2023-07-27,139200
2023-08-08,135500
2023-08-11,137000
2023-08-21,120900
2023-08-23,119300
2023-09-05,68000
2023-09-07,108700
2023-09-10,106300
