date,value
2017-01-19,74400
2017-02-08,80100
2017-02-11,93700
2017-02-18,88100
2017-03-13,150700
2017-04-09,145000
2017-04-12,139700
2017-04-19,130200
2017-04-22,137400
2017-04-29,122000
2017-05-22,146500
2017-06-18,125600
2017-06-21,136000
2017-08-05,107200
2017-08-20,100100
2017-10-14,93300
2017-10-19,100400
2017-11-13,97600
2017-12-08,91100
2017-12-15,105100
2018-01-17,141300
2018-01-27,139400
2018-02-08,124900
2018-02-21,134300
2018-03-20,142100
2018-04-17,133700
2018-04-19,132700
2018-05-04,142700
2018-05-07,136400
2018-05-19,146900
2018-06-21,139400
2018-06-23,133300
2018-07-01,150700
2018-07-08,123800
2018-07-11,137100
2018-07-16,132000
2018-07-23,91400
2018-07-26,157800
2018-08-02,100000
2018-08-05,93300
2018-08-07,85300
2018-08-22,72000
2018-09-09,55400
2018-09-11,63700
2018-09-14,56500
2018-09-26,63300
2018-09-29,64900
2018-10-04,56300
2018-10-09,62900
2018-10-19,59300
2018-10-21,66100
2018-11-10,54300
2018-11-15,74100
2018-11-18,64900
2019-01-09,135400
2019-01-17,128700
2019-01-22,148100
2019-02-03,142900
2019-02-13,45600
2019-02-16,129700
2019-02-23,107700
2019-02-26,101800
2019-03-23,105700
2019-03-28,135900
2019-03-30,111600
2019-04-12,128400
2019-05-12,142000
2019-05-24,150600
2019-06-01,161500
2019-06-18,145500
2019-06-26,135200
2019-07-03,109300
2019-07-06,144000
2019-07-08,96500
2019-07-13,61200
2019-08-22,87700
2019-08-25,106900
2019-08-27,116300
2019-09-06,63400
2019-09-16,85600
2019-09-19,67000
2019-10-11,78300
2019-10-21,99200
2019-10-26,100300
2019-12-20,149800
2019-12-25,135100
2019-12-30,142000
2020-01-19,130600
2020-02-06,91200
2020-03-19,128000
2020-03-24,110900
2020-03-27,154100
2020-04-01,125200
2020-04-11,158300
2020-04-26,175100
2020-05-18,111300
2020-05-26,155700
2020-05-28,132500
2020-05-31,146100
2020-06-02,108200
2020-06-22,122600
2020-07-12,118400
2020-07-17,10600
2020-07-20,140800
2020-07-22,148700
2020-07-30,112400
2020-08-04,134600
2020-08-06,86700
2020-08-09,113900
2020-09-03,109600
2020-09-08,96800
2020-09-10,109200
2020-09-13,76000
2020-11-04,133200
2020-11-09,140000
2020-11-22,85500
2020-11-29,108600
2020-12-12,139200
2020-12-17,142300
2021-01-08,139600
2021-02-07,120500
2021-02-17,122000
2021-02-27,143400
2021-03-02,139600
2021-03-22,126100
2021-03-29,138100
2021-04-03,135900
2021-04-13,146900
2021-04-16,98700
2021-04-21,110700
2021-04-23,124100
2021-05-08,119200
2021-05-31,139800
2021-06-12,152300
2021-06-15,143800
2021-07-17,125300
2021-07-20,128200
2021-08-11,144600
2021-08-14,129400
2021-08-26,128100
2021-09-05,110800
2021-09-23,99800
2021-10-08,107000
2021-10-10,108600
2021-10-23,101200
2021-10-28,106400
2021-11-09,113800
2021-11-17,109400
2021-11-22,111000
2021-12-17,110500
2022-01-01,122300
2022-01-06,128000
2022-01-13,118600
2022-01-21,133000
2022-03-07,130800
2022-03-22,150000
2022-03-24,135700
2022-03-27,140400
2022-04-16,131000
2022-05-03,137800
2022-05-08,122900
2022-05-21,117100
2022-05-28,134200
2022-05-31,138100
2022-06-15,155500
2022-06-17,146500
2022-06-27,127300
2022-07-02,149400
2022-07-05,134200
2022-07-10,111500
2022-07-12,116900
2022-07-15,108400
2022-07-30,75300
2022-08-09,51800
2022-08-11,47800
2022-09-18,44900
2022-09-20,45100
2022-09-30,46600
2022-10-08,45200
2022-11-12,59700
2022-11-19,61200
2022-11-22,77800
2022-11-29,65900
2022-12-09,83200
2023-01-03,85500
2023-02-07,97300
2023-02-10,138200
2023-02-12,113000
2023-02-15,117100
2023-02-27,115700
2023-03-04,131600
2023-03-24,130600
2023-04-18,71200
2023-04-21,126900
2023-05-26,130000
2023-05-28,129200
2023-05-31,140900
2023-06-02,137400
2023-06-05,151700
2023-06-07,154600
2023-07-07,143600
2023-07-10,113800
2023-07-17,96600
