date,value
2017-03-04,1374100
2017-04-23,1260900
2017-05-03,1260900
2017-06-12,1240300
2017-06-15,1237600
2017-06-19,1237600
2017-06-22,1237600
2017-07-07,1146800
2017-07-09,1146800
2017-07-10,1146800
2017-07-12,1199700
2017-07-14,1199700
2017-07-17,1150200
2017-07-19,1157200
2017-07-22,1157200
2017-07-24,1088700
2017-07-27,1093800
2017-07-29,1012600
2017-08-03,1012600
2017-08-04,1012600
2017-08-06,1020800
2017-08-21,915200
2017-08-23,915200
2017-08-24,915200
2017-08-26,915200
2017-08-29,915200
2017-09-05,828700
2017-09-07,828700
2017-09-08,828700
2017-09-10,828700
2017-09-12,828700
2017-09-20,855900
2017-09-23,855900
2017-09-27,855900
2017-09-28,855900
2017-10-05,769300
2017-10-07,769300
2017-10-08,769300
2017-10-10,804400
2017-10-12,804400
2017-10-13,804400
2017-10-15,804400
2017-10-17,784200
2018-03-19,1361900
2018-03-21,1361900
2018-03-26,1361900
2018-04-18,1376800
2018-04-20,1376800
2018-04-21,1376800
2018-04-23,1376800
2018-04-25,1376800
2018-04-26,1376800
2018-06-27,1383300
2018-06-29,1383300
2018-07-02,1382700
2018-07-04,1362300
2018-07-05,1362300
2018-07-07,1359400
2018-07-09,1347700
2018-07-10,1347700
2018-07-12,1329300
2018-07-14,1353500
2018-07-15,1353500
2018-07-17,1290800
2018-07-19,1298300
2018-07-20,1298300
2018-07-22,1296600
2018-07-24,1266600
2018-07-25,1266600
2018-07-27,1276000
2018-08-06,1189800
2018-08-08,1200200
2018-08-11,1164900
2018-08-13,1189300
2018-08-16,1154800
2018-08-18,1090900
2018-08-19,1090900
2018-08-21,1069500
2018-08-23,1016900
2018-08-26,1008600
2018-08-28,1023800
2018-08-31,988900
2018-09-10,953500
2018-09-12,920800
2018-09-13,920800
2018-09-17,920800
2018-09-20,922600
2018-09-22,827000
2018-09-23,827000
2018-09-25,827000
2018-09-27,827000
2018-09-28,827000
2018-09-30,828300
2019-02-27,961500
2019-03-01,1012800
2019-03-04,1012800
2019-03-09,1012800
2019-03-11,901700
2019-03-14,901700
2019-03-24,957800
2019-03-26,957800
2019-03-27,957800
2019-03-29,1025100
2019-03-31,1025100
2019-04-01,1025100
2019-04-05,1033000
2019-04-08,1033000
2019-04-13,1213400
2019-04-20,1187400
2019-04-28,1187400
2019-05-13,1330400
2019-05-15,1330400
2019-05-16,1330400
2019-05-20,1330400
2019-05-23,1341400
2019-05-25,1341400
2019-06-02,1378300
2019-06-04,1378300
2019-06-07,1378300
2019-06-12,1376800
2019-06-17,1260800
2019-06-19,1260800
2019-06-22,1286600
2019-06-24,1286600
2019-06-25,1286600
2019-06-27,1222400
2019-06-29,1222400
2019-06-30,1222400
2019-07-02,1258100
2019-07-04,1225200
2019-07-05,1225200
2019-07-07,1225200
2019-07-10,1282400
2019-07-12,1232400
2019-07-14,1302200
2019-07-15,1302200
2019-07-17,1302200
2019-07-19,1198200
2019-07-20,1198200
2019-07-22,1222500
2019-07-24,1222500
2019-07-25,1222500
2019-07-29,1114300
2019-08-01,1114300
2019-08-03,1114300
2019-08-04,1114300
2019-08-06,1114300
2019-08-31,739800
2019-09-02,712200
2019-09-03,712200
2019-09-05,721800
2019-09-07,721800
2019-09-12,760800
2019-09-13,760800
2019-09-15,734400
2019-09-17,779700
2019-09-18,779700
2019-09-20,779700
2020-03-08,1172800
2020-03-11,874800
2020-03-13,1071300
2020-03-15,1071300
2020-03-18,964200
2020-03-20,964200
2020-03-21,964200
2020-03-25,1072900
2020-03-28,1072900
2020-03-30,951900
2020-04-02,956900
2020-05-17,1356700
2020-05-19,1356700
2020-05-20,1356700
2020-05-22,1283000
2020-05-24,1361900
2020-05-25,1361900
2020-05-27,1260200
2020-05-29,1260200
2020-05-30,1260200
2020-06-01,1260600
2020-06-03,1268500
2020-06-06,1268500
2020-06-08,127000
2020-06-26,1254700
2020-06-28,1254700
2020-07-01,1254700
2020-07-03,1225000
2020-07-04,1225000
2020-07-06,1225000
2020-07-08,1225000
2020-07-09,1225000
2020-07-11,1348000
2020-07-13,1320800
2020-07-14,1320800
2020-07-16,1320800
2020-07-18,1320800
2020-07-19,1320800
2020-07-21,1345000
2020-07-23,1345200
2020-07-24,1345200
2020-07-26,1324600
2020-07-29,1394500
2020-07-31,1259000
2020-08-02,1259000
2020-08-05,1279900
2020-08-07,1228200
2020-08-08,1228200
2020-08-10,1249900
2020-08-15,1212100
2020-08-22,1223900
2020-08-23,1223900
2020-08-25,1103400
2020-08-27,1137800
2020-08-30,1137800
2020-09-01,1017500
2020-09-02,1017500
2020-09-04,1019600
2020-09-06,1019600
2020-09-11,861900
2020-09-12,861900
2020-09-14,956100
2020-09-16,956100
2020-09-17,956100
2020-09-21,934100
2020-09-26,934100
2020-09-29,934100
2021-03-23,1345800
2021-03-25,1345200
2021-03-28,1379800
2021-03-30,1379800
2021-03-31,1379800
2021-04-02,1343000
2021-04-04,1387400
2021-04-05,1387400
2021-04-07,1309900
2021-04-12,1329100
2021-04-14,1276000
2021-04-15,1276000
2021-04-17,1306900
2021-04-19,1296500
2021-04-22,1296500
2021-04-24,1296500
2021-05-27,1306700
2021-05-30,1306700
2021-06-03,1306700
2021-06-11,1285700
2021-06-13,1285700
2021-06-14,1285700
2021-06-16,1304400
2021-06-21,1291400
2021-06-26,1259700
2021-07-01,1305000
2021-07-08,1279100
2021-07-09,1279100
2021-07-11,1298300
2021-07-13,1227600
2021-07-16,1227600
2021-07-18,1227600
