date,value
2017-02-25,2078200
2017-03-07,2064200
2017-03-17,2707300
2017-03-27,2708900
2017-04-03,2695800
2017-04-06,2694300
2017-04-23,2488300
2017-05-03,2558100
2017-05-16,2879100
2017-05-23,2879100
2017-05-26,2881400
2017-06-02,2726100
2017-06-05,2725500
2017-06-22,2684000
2017-06-25,2693200
2017-07-02,2731000
2017-07-05,2708700
2017-07-07,2710600
2017-07-12,2710600
2017-07-17,2713100
2017-08-14,2761300
2017-08-19,2805900
2017-08-21,2719300
2017-08-24,2746600
2017-08-26,2764800
2017-08-29,2744900
2017-09-03,2717500
2017-09-13,2662600
2017-09-20,2662700
2017-09-23,2726700
2017-09-28,2726700
2017-10-05,2667300
2017-10-10,2667300
2017-10-13,2743300
2017-10-15,2645400
2017-10-18,2666600
2017-10-25,2625900
2017-10-28,2576600
2017-10-30,2573500
2017-11-04,2573500
2017-11-07,2572200
2017-11-17,2147900
2017-11-19,2172400
2017-11-22,2090300
2017-11-27,2104600
2017-11-29,2043200
2017-12-07,2055300
2018-02-25,2509400
2018-02-27,2501700
2018-03-14,2546200
2018-03-17,2570600
2018-03-22,2655200
2018-04-06,2729600
2018-04-16,2742700
2018-04-18,2844700
2018-04-21,2811200
2018-04-23,2820600
2018-04-26,2810300
2018-05-06,2801500
2018-05-08,2777200
2018-05-11,2837500
2018-05-13,2837500
2018-05-18,2763100
2018-05-21,2763100
2018-05-26,2825000
2018-06-02,2825000
2018-06-20,2694200
2018-06-22,2740500
2018-06-25,2670900
2018-06-27,2686300
2018-07-02,2675100
2018-07-07,2661400
2018-07-10,2682100
2018-07-12,2699500
2018-07-15,2763300
2018-07-17,2763300
2018-07-25,2773100
2018-08-06,2728300
2018-08-11,2721000
2018-08-16,2763100
2018-08-19,2760300
2018-08-21,2687000
2018-08-26,2661500
2018-09-03,2714500
2018-09-05,2714500
2018-09-08,2690800
2018-09-10,2600800
2018-09-13,2600800
2018-09-18,2674100
2018-09-20,2599900
2018-09-23,2220100
2018-09-25,2233400
2018-09-28,2122200
2018-09-30,2073200
2018-10-05,1787300
2018-10-08,1758800
2018-10-13,1544200
2018-10-18,1447500
2018-10-20,1425800
2018-10-23,1323400
2018-10-25,1241600
2018-10-30,1241600
2018-11-04,1217900
2018-11-14,1263800
2018-11-19,1302000
2018-11-22,1256300
2018-11-29,1293400
2019-02-15,2165000
2019-02-17,2223900
2019-02-20,2215300
2019-02-22,2190400
2019-02-25,2171700
2019-02-27,2199200
2019-03-12,2336900
2019-03-22,2466800
2019-03-24,2454000
2019-03-27,2470000
2019-03-29,2482500
2019-04-01,2470600
2019-04-13,2543700
2019-04-18,2541900
