date,value
2017-02-25,49000
2017-03-17,64800
2017-03-27,81100
2017-04-03,81100
2017-04-06,83600
2017-05-16,98000
2017-05-26,104000
2017-06-02,103900
2017-06-05,105000
2017-06-12,89200
2017-06-25,107500
2017-07-02,110100
2017-07-05,110400
2017-07-07,104800
2017-08-14,75000
2017-08-17,69600
2017-08-19,70100
2017-08-21,70100
2017-08-22,70100
2017-08-24,58500
2017-08-26,55900
2017-08-29,47300
2017-09-03,55400
2017-09-05,64300
2017-09-08,64300
2017-09-13,64300
2017-09-15,45400
2017-09-20,45400
2017-09-21,45400
2017-09-23,45400
2017-10-08,46600
2017-10-10,46600
2017-10-11,46600
2017-10-13,52700
2017-10-15,52700
2017-10-16,52700
2017-10-18,52700
2017-10-20,50900
2017-10-23,50900
2017-10-28,47700
2017-10-30,47700
2017-10-31,47700
2017-11-02,47700
2017-11-07,47900
2017-11-14,44600
2017-11-15,44600
2017-11-17,45900
2017-11-19,44800
2017-11-22,46900
2017-11-24,46900
2017-11-25,46900
2017-11-27,44600
2017-11-30,47300
2017-12-07,45100
2018-02-10,89900
2018-02-12,89900
2018-02-15,89900
2018-02-25,96900
2018-02-27,96900
2018-03-02,96900
2018-03-07,96900
2018-03-22,105700
2018-04-01,105700
2018-04-21,104000
2018-04-23,104000
2018-04-24,104000
2018-04-26,107900
2018-05-06,103000
2018-05-11,109500
2018-05-19,107400
2018-05-21,107500
2018-05-23,99800
2018-06-20,110800
2018-06-22,110800
2018-06-23,110800
2018-06-25,116900
2018-06-28,116900
2018-07-02,117300
2018-07-03,117300
2018-07-07,109200
2018-07-08,109200
2018-07-10,114400
2018-07-12,113000
2018-07-15,115000
2018-07-18,115000
2018-07-22,100900
2018-07-23,100900
2018-07-25,104800
2018-07-27,104800
2018-07-30,109100
2018-08-01,109100
2018-08-02,109100
2018-08-04,104800
2018-08-06,105300
2018-08-11,95200
2018-08-12,95200
2018-08-19,95400
2018-08-21,95400
2018-08-22,95400
2018-08-26,95400
2018-08-27,95400
2018-09-03,69500
2018-09-05,69500
2018-09-08,77900
2018-09-10,77900
2018-09-11,77900
2018-09-16,71400
2018-09-18,71400
2018-09-23,45200
2018-09-25,45200
2018-09-26,45200
2018-09-28,52400
2018-09-30,52400
2018-10-03,44200
2018-10-05,53200
2018-10-06,53200
2018-10-23,39900
2018-10-25,39900
2018-11-17,48100
2018-11-22,56800
2018-11-24,56800
2018-11-27,47700
2018-11-29,55000
2018-12-05,47100
2019-01-11,63400
2019-01-16,70000
2019-01-19,70000
2019-01-23,70000
2019-01-26,70000
2019-01-28,66800
2019-02-15,99200
2019-02-17,99200
2019-02-18,99200
2019-02-20,101800
2019-02-22,101800
2019-02-23,101800
2019-02-25,100500
2019-02-27,100500
2019-03-07,106500
2019-03-12,104600
2019-03-22,100300
2019-03-24,100300
2019-03-25,100300
2019-03-27,102100
2019-03-29,102100
2019-03-30,102100
2019-04-01,102100
2019-04-08,99200
2019-04-09,99200
2019-05-01,102900
2019-05-06,104800
2019-05-11,102200
2019-05-13,102200
2019-05-14,102200
2019-05-16,102900
2019-05-23,107600
2019-05-31,108800
2019-06-02,98400
2019-06-08,98400
2019-06-12,98400
2019-06-13,98400
2019-07-05,108200
2019-07-08,108200
2019-07-10,108800
2019-07-12,108800
2019-07-13,108800
2019-07-15,105700
2019-07-17,105700
2019-07-22,107300
2019-07-23,107300
2019-07-25,91700
2019-07-28,101700
2019-08-02,79100
2019-08-04,80000
2019-08-09,72500
2019-08-14,71200
2019-08-16,71200
2019-08-17,71200
2019-08-21,75700
2019-08-22,75700
2019-08-24,67500
2019-08-26,70600
2019-08-29,65200
2019-08-31,67300
2019-09-03,67300
2019-09-06,67300
2019-09-08,56000
2019-09-11,61200
2019-09-13,48500
2019-09-15,48500
2019-09-16,48500
2019-09-20,48500
2019-09-21,48500
2019-10-08,31400
2019-10-11,31400
2019-10-13,35700
2019-10-15,35700
2019-10-25,31100
2019-11-27,74600
2019-12-05,74600
2019-12-10,74600
2019-12-27,100200
2019-12-29,100200
2019-12-30,100200
2020-01-06,97300
2020-01-09,97300
2020-01-11,99400
2020-01-14,99400
2020-01-16,94700
2020-01-19,94700
2020-01-28,92100
2020-02-05,95800
2020-02-07,95800
2020-02-08,95800
2020-02-15,95800
2020-02-18,95800
2020-02-20,98400
2020-02-22,97800
2020-03-21,92800
2020-03-24,92800
2020-03-26,92800
2020-03-28,92800
2020-03-29,92800
2020-03-31,92800
2020-04-03,92800
2020-04-05,100900
2020-04-08,96300
2020-04-10,108500
2020-04-12,108500
2020-04-15,98500
2020-04-25,108800
2020-04-28,99200
2020-05-05,99600
2020-05-07,99600
2020-05-08,99600
2020-05-17,99600
2020-05-18,99600
2020-05-20,111600
2020-05-22,109200
2020-05-25,111400
2020-05-27,111400
2020-05-28,111400
2020-05-30,108700
2020-06-12,107000
2020-06-14,107000
2020-07-19,91700
2020-07-21,91700
2020-07-22,91700
2020-07-24,92700
2020-07-27,92700
2020-07-29,83700
2020-07-31,83700
2020-08-03,84600
2020-08-05,83600
2020-08-06,83600
2020-08-08,78700
2020-08-10,76600
2020-08-15,72500
2020-08-20,62400
2020-08-21,62400
2020-08-23,62400
2020-09-02,50500
2020-09-04,50500
2020-09-05,50500
2020-09-07,55100
2020-09-10,55100
2020-09-12,44600
2020-09-14,44600
2020-09-17,44600
2020-09-19,49200
2020-10-17,42500
2020-10-24,42500
2020-10-30,42500
2020-11-01,42500
2020-11-16,53000
2020-11-18,53000
2020-11-19,53000
2020-11-21,60500
2020-11-23,60500
2020-11-26,50300
2020-11-29,50300
2020-12-26,89600
2021-02-14,101300
2021-02-17,101300
2021-02-19,102300
2021-02-24,101200
2021-02-27,106500
2021-03-01,98400
2021-03-04,105900
2021-03-09,97900
2021-03-21,105000
2021-03-23,105000
2021-03-24,105000
2021-03-26,105000
2021-03-28,105000
2021-03-29,105000
2021-03-31,108400
2021-04-02,100000
2021-04-03,100000
2021-04-05,109200
2021-04-07,109200
2021-04-15,110100
2021-04-17,109400
2021-04-20,109400
2021-04-22,109400
2021-04-23,109400
2021-05-30,105700
2021-06-01,105600
2021-06-09,105600
2021-09-12,58100
2021-09-17,61500
2021-09-22,58700
2021-09-24,62600
2021-09-25,62600
2021-09-27,60800
2021-09-30,64200
2021-10-07,66100
2021-10-12,68900
2021-10-14,68900
2021-10-17,65900
2021-10-19,71200
2021-10-20,71200
2021-10-24,64200
2021-10-27,64200
2021-12-16,104200
2021-12-18,104200
2021-12-19,104200
2021-12-21,96400
2021-12-23,97200
2022-01-15,97600
2022-01-22,97600
2022-01-23,97600
2022-01-25,97900
2022-01-27,90800
2022-02-01,90800
2022-02-09,98000
2022-03-21,107800
2022-03-23,107800
2022-03-24,107800
2022-03-26,109700
2022-04-05,110800
2022-04-10,110300
2022-04-15,110300
2022-04-30,106500
2022-05-07,106500
2022-05-08,106500
2022-05-10,107700
2022-05-15,105100
2022-05-17,105100
2022-05-30,99300
2022-06-01,99300
2022-06-06,99300
2022-06-09,99300
2022-08-08,48300
2022-08-10,48300
2022-08-11,48300
2022-08-13,50300
2022-08-15,50300
2022-08-18,50300
2022-08-20,41500
2022-08-23,42300
2022-08-28,36400
2022-08-30,36400
2022-09-12,21800
2022-09-15,21800
2022-09-19,21800
2022-09-20,21800
2022-09-22,21800
2022-10-02,20200
2022-10-12,22800
2022-10-15,22800
2022-10-22,22600
2022-11-11,23200
2022-11-13,23200
2022-11-16,22500
2022-11-24,22100
2022-12-11,26700
2022-12-21,27200
2022-12-28,25500
2023-02-04,83100
2023-02-06,83100
2023-02-09,86400
2023-02-11,86400
2023-02-12,86400
2023-02-14,84900
2023-02-16,87500
2023-02-17,87500
2023-02-19,79000
2023-02-21,86500
2023-02-24,81700
2023-02-26,82500
2023-03-01,82500
2023-03-03,81600
2023-03-04,81600
2023-03-16,90900
2023-04-05,96200
2023-04-07,96200
2023-04-08,96200
2023-04-15,96200
2023-06-04,94300
2023-06-07,94300
2023-06-24,116500
2023-07-09,104400
