date,value
2017-01-26,659834.9876377071
2017-01-29,659834.9876377071
2017-02-15,781711.4505197868
2017-02-18,806275.1585283567
2017-02-25,790996.9390502744
2017-03-10,830246.8061376218
2017-03-17,830246.8061376218
2017-03-30,789305.7733495224
2017-04-06,891257.9524989437
2017-04-09,874546.131253824
2017-04-19,891257.9524989437
2017-04-29,851859.9856487553
2017-05-06,856206.2493121107
2017-05-09,895674.4445232111
2017-05-16,890375.5847021168
2017-05-19,920549.6512130935
2017-05-26,918764.835028488
2017-06-05,885087.8996622154
2017-06-18,899213.2164641876
2017-06-25,899213.2164641876
2017-06-28,899213.2164641876
2017-07-05,902756.9407778779
2017-08-02,763257.6185931974
2017-08-04,763257.6185931974
2017-08-07,763257.6185931974
2017-08-12,746617.7045771071
2017-08-14,737521.3942637806
2017-08-17,705591.4454776412
2017-08-22,632282.6645789694
2017-08-24,607459.3120434945
2017-08-27,581473.699549974
2017-08-29,595180.5425969478
2017-09-01,573153.2634467165
2017-09-03,627601.4267139117
2017-09-08,592888.199296131
2017-09-13,535873.6366441022
2017-09-16,535873.6366441022
2017-09-21,494472.6588621123
2017-09-23,496622.0878091598
2017-09-26,435649.33948236326
2017-09-28,435649.33948236326
2017-10-03,435649.33948236326
2017-10-08,432231.92505225434
2017-10-11,434281.22693674295
2017-10-13,404572.0481629545
2017-10-16,404572.0481629545
2017-10-18,404572.0481629545
2017-10-23,375618.2488362375
2017-10-26,355681.4122253634
2017-10-28,395276.7780680666
2017-10-31,356955.9819493804
2017-11-05,363994.9956903572
2017-11-07,388684.40130275034
2017-11-15,397924.7369259755
2017-11-17,371082.68357802235
2017-11-20,369790.40495498566
2017-11-22,373672.03945886315
2017-11-25,373672.03945886315
2017-11-27,363994.9956903572
2017-11-30,376267.78279158555
2017-12-05,409917.9955285817
2017-12-07,409917.9955285817
2017-12-12,450799.08275243273
2017-12-15,450799.08275243273
2017-12-20,449414.2444571852
2017-12-25,492326.54273367993
2017-12-27,492326.54273367993
2018-01-11,798623.0746423642
2018-01-29,733399.8122197693
2018-01-31,733399.8122197693
2018-02-15,1027079.0864902968
2018-02-25,1078573.6361817394
2018-03-02,1089927.2854573242
2018-03-07,1084245.1834556314
2018-03-15,637759.7034054977
2018-03-17,637759.7034054977
2018-03-22,1124240.6575710513
2018-03-30,1127117.124029628
2018-04-04,1039169.6961441585
2018-04-06,1039169.6961441585
2018-04-09,1039169.6961441585
2018-04-19,1036375.0970178411
2018-04-21,1109897.531008988
2018-04-24,1070086.1405232896
2018-04-26,1070086.1405232896
2018-05-06,1020589.5950854715
2018-05-11,1094670.4215707006
2018-05-21,1095619.9262120784
2018-05-24,1087084.9161157531
2018-06-03,1037306.3331147316
2018-06-20,1073855.4210052753
2018-06-23,1083299.1921768815
2018-06-25,1071970.1924529746
2018-07-08,1077629.4055828825
2018-07-10,1077629.4055828825
2018-07-13,1074798.4763276945
2018-07-15,1074798.4763276945
2018-07-18,1034513.5160462142
2018-07-23,1021515.7707956537
2018-07-25,1020589.5950854715
2018-07-30,1042899.9833852435
2018-08-02,1005811.4158969485
2018-08-04,953789.8379989082
2018-08-12,885087.8996622154
2018-08-19,822514.4493092031
2018-08-22,754921.3807624126
2018-08-27,718630.1829090805
2018-09-01,713730.7233764897
2018-09-03,637759.7034054977
2018-09-08,619826.858374884
2018-09-11,595945.354883136
2018-09-16,555894.0955325541
2018-09-18,555894.0955325541
2018-09-23,520483.2739895996
2018-09-26,471048.5142227863
2018-09-28,481645.80120900174
2018-10-03,440449.7526100755
2018-10-06,424747.3239977238
2018-10-13,437018.9794338872
2018-10-16,420684.4172695403
2018-10-21,356318.49471005774
2018-10-23,365280.0538378077
2018-11-15,405238.9280821252
2018-11-17,461233.4836015502
2018-11-22,461233.4836015502
2018-11-27,408579.1731082274
2018-12-07,443890.04181684135
2018-12-10,443890.04181684135
2018-12-20,525595.6912187756
2018-12-27,525595.6912187756
2019-01-16,522672.13690403756
2019-01-19,522672.13690403756
2019-01-24,522672.13690403756
2019-01-26,522672.13690403756
2019-02-13,703967.5710205558
2019-02-15,739172.3225895171
2019-02-18,739172.3225895171
2019-02-20,730108.456356451
2019-02-23,760753.3344475519
2019-02-25,744132.9668413933
2019-02-28,757418.8378668327
2019-03-12,754921.3807624126
2019-03-20,813098.7367232008
2019-03-22,729286.4390835448
2019-03-25,764928.7644337253
2019-03-27,738346.69456812
2019-03-30,732576.4804524281
2019-04-01,759085.4359632324
2019-04-09,774982.8583345807
2019-05-01,754921.3807624126
2019-05-06,785927.3000259638
2019-05-09,785927.3000259638
2019-05-11,785927.3000259638
2019-05-14,772464.965460119
2019-05-16,772464.965460119
2019-05-29,864049.2950397156
2019-05-31,810537.5020856657
2019-06-08,838868.4033464269
2019-06-13,814807.82007063
2019-06-23,857946.9530778833
2019-06-25,857946.9530778833
2019-06-28,933077.7577431557
2019-07-05,871917.70368499
2019-07-08,871917.70368499
2019-07-10,852728.6099251884
2019-07-13,852728.6099251884
2019-07-15,842325.8903992398
2019-07-20,842325.8903992398
2019-07-23,903643.645002994
2019-07-25,832829.963597495
2019-07-28,863176.5918022132
2019-08-02,767437.9157531926
2019-08-04,761587.7710767373
2019-08-09,761587.7710767373
2019-08-14,762422.5324929814
2019-08-17,699103.9258457803
2019-08-22,652710.2874621633
2019-08-24,662215.9862013493
2019-08-29,662215.9862013493
2019-09-03,663010.3289782323
2019-09-06,663010.3289782323
2019-09-08,631501.6006009798
2019-09-11,500211.81991194264
2019-09-13,509587.9988181915
2019-09-16,469641.876949762
2019-09-18,469641.876949762
2019-09-21,469641.876949762
2019-09-26,469641.876949762
2019-10-08,399914.8228025536
2019-10-11,402573.7499257088
2019-10-13,380173.34628422564
2019-10-26,386058.4909857777
2019-12-05,998451.0711219537
2019-12-07,998451.0711219537
2019-12-10,1003049.0371437413
2019-12-15,1003049.0371437413
2019-12-17,1003049.0371437413
2019-12-20,999370.0640970566
2019-12-25,984702.2544360013
2019-12-27,970111.6249467605
2019-12-30,959219.5034258212
2020-01-06,1081408.0894762354
2020-01-09,1089927.2854573242
2020-01-11,1065381.1623625641
2020-01-14,1065381.1623625641
2020-01-16,1071970.1924529746
2020-01-19,1060683.551246663
2020-01-29,1026151.1221901953
2020-01-31,1026151.1221901953
2020-02-03,1030793.9211601045
2020-02-05,1042899.9833852435
2020-02-10,1034513.5160462142
2020-02-15,1028007.3486152606
2020-02-18,1028007.3486152606
2020-02-20,1016887.8767538767
2020-02-23,1008576.4913763272
2020-03-11,1041966.9666198399
2020-03-21,1059744.9138988946
2020-03-24,1053182.720491333
2020-03-26,1055993.3166155845
2020-03-31,1034513.5160462142
2020-04-03,1047569.5133039157
2020-04-05,1036375.0970178411
2020-04-08,1041034.246439862
2020-04-10,1024296.0873767269
2020-04-15,1035444.1579692133
2020-04-25,1032653.123886891
2020-05-18,1055993.3166155845
2020-05-20,1082353.4941590067
2020-05-25,1082353.4941590067
2020-05-28,1082353.4941590067
2020-05-30,1047569.5133039157
2020-06-12,1058806.5716861011
2020-06-14,1067262.270108807
2020-06-24,1031723.3738056256
2020-07-04,1031723.3738056256
2020-07-07,1095619.9262120784
2020-07-09,1022442.2447998135
2020-07-19,992026.5324762419
2020-07-22,994778.1027690608
2020-07-24,899213.2164641876
2020-07-27,851859.9856487553
2020-07-29,851859.9856487553
2020-08-03,851859.9856487553
2020-08-06,808831.6070499454
2020-08-08,781711.4505197868
2020-08-18,714546.4732209876
2020-08-21,659834.9876377071
2020-08-23,598241.8834823893
2020-08-31,535873.6366441022
2020-09-02,545480.5641281611
2020-09-05,545480.5641281611
2020-09-07,461233.4836015502
2020-09-10,454267.7920817932
2020-09-12,459837.3352944263
2020-09-17,399914.8228025536
2020-09-30,336133.7736219048
2020-10-12,336133.7736219048
2020-10-30,420008.61518893694
2020-11-09,448722.3928623228
2020-11-11,448722.3928623228
2020-11-14,442512.78558554914
2020-11-21,479519.65033650823
2020-11-26,495188.7672926828
2020-11-29,483775.29022773966
2020-12-26,900984.4599275097
2021-01-03,1065381.1623625641
2021-01-08,1065381.1623625641
2021-01-10,1065381.1623625641
2021-01-18,1073855.4210052753
2021-02-14,1110851.703699006
2021-02-17,1116582.8511247574
2021-02-19,1105131.037112416
2021-02-24,1108943.649525727
2021-02-27,1115626.9327147852
2021-03-01,1116582.8511247574
2021-03-04,1121366.8022400115
2021-03-09,1107036.7604697924
2021-03-14,1115626.9327147852
2021-03-21,1103226.480035748
2021-03-24,1103226.480035748
2021-03-29,1092772.2894859465
2021-03-31,1111806.1675232756
2021-04-03,1098470.1936510175
2021-04-05,1105131.037112416
2021-04-08,1118495.5599739081
2021-04-15,1112760.922409349
2021-04-20,1108943.649525727
2021-04-23,1121366.8022400115
2021-05-03,1090875.3274888746
2021-05-08,1025223.4557929762
2021-05-30,997532.3784214578
2021-06-07,1002128.8438699371
2021-06-09,997532.3784214578
2021-06-14,1024296.0873767269
2021-06-22,1025223.4557929762
2021-06-29,971931.221450593
2021-07-02,1014114.7239410717
2021-07-09,1014114.7239410717
2021-07-17,984702.2544360013
2021-07-19,984702.2544360013
2021-07-22,985616.7348488951
2021-08-11,873669.6765818354
2021-08-26,749105.3822612498
2021-08-28,754089.5461535343
2021-08-31,728464.7507023319
2021-09-05,728464.7507023319
2021-09-12,688607.1790032511
2021-09-17,678968.0299401524
2021-09-22,678968.0299401524
2021-09-25,655082.1350731059
2021-09-27,647187.8692071021
2021-09-30,659834.9876377071
2021-10-07,680571.2023600677
2021-10-12,675765.715337698
2021-10-15,675765.715337698
2021-10-17,675765.715337698
2021-10-20,624487.470207897
2021-10-27,639327.6507907823
2021-11-19,630720.8795257811
2021-12-14,1003969.5302926322
2021-12-16,1032653.123886891
2021-12-19,1008576.4913763272
2021-12-21,1008576.4913763272
2022-01-13,948371.1267686251
2022-01-15,990193.6563310914
2022-01-23,988361.984178376
2022-01-25,1011344.2614373729
2022-02-09,1022442.2447998135
2022-03-09,1101323.089822878
2022-03-19,1101323.089822878
2022-03-24,1107036.7604697924
2022-03-26,1107036.7604697924
2022-04-05,1093721.2093041544
2022-04-10,1067262.270108807
2022-05-08,1024296.0873767269
2022-05-10,1078573.6361817394
2022-05-15,1023369.0170195999
2022-06-17,1015038.8093939759
2022-06-19,1015038.8093939759
2022-06-22,1003049.0371437413
2022-06-24,1003049.0371437413
2022-07-12,991109.9439449531
2022-07-14,1021515.7707956537
2022-07-17,960125.5113893807
2022-07-24,981047.3484318355
2022-07-27,928596.5317202517
2022-08-01,819086.1003498057
2022-08-03,819086.1003498057
2022-08-06,824230.5299169945
2022-08-08,824230.5299169945
2022-08-11,754921.3807624126
2022-08-13,757418.8378668327
2022-08-18,693444.8238436469
2022-08-28,544739.4191460586
2022-09-05,544739.4191460586
2022-09-10,393955.15447300987
2022-09-12,393955.15447300987
2022-09-15,393955.15447300987
2022-09-20,358870.87010085856
2022-09-22,341140.7147454043
2022-10-02,325581.64261787524
2022-10-05,317593.32580832625
2022-10-07,309069.6311069318
2022-10-12,309069.6311069318
2022-10-15,315149.5867115575
2022-10-17,309069.6311069318
2022-10-22,322500.8760115137
2022-10-30,298232.1650687029
2022-11-01,328053.73583559017
2022-11-06,313930.232710953
2022-11-11,334886.15045268874
2022-11-16,333640.17566953535
2022-12-04,587551.6274077492
2022-12-11,587551.6274077492
2022-12-14,622932.5555456319
2022-12-21,682175.7169683112
2022-12-24,633064.0713369478
2023-01-10,684585.0034815281
2023-01-18,828526.2848254474
2023-01-20,828526.2848254474
2023-02-02,997532.3784214578
2023-02-04,1006732.8081931814
2023-02-09,938465.3334656734
2023-02-12,995695.8941647975
2023-02-14,950176.1455971006
2023-02-17,996613.9860756794
2023-02-19,996613.9860756794
2023-02-24,1015038.8093939759
2023-03-09,1028007.3486152606
2023-03-16,1063501.2333430583
2023-04-05,1032653.123886891
2023-04-08,1035444.1579692133
2023-04-10,1035444.1579692133
2023-04-18,999370.0640970566
2023-04-20,996613.9860756794
2023-05-05,955598.5102326627
2023-05-10,955598.5102326627
2023-05-28,1003969.5302926322
2023-05-30,959219.5034258212
2023-06-02,959219.5034258212
2023-06-04,959219.5034258212
2023-06-09,1075741.8255812358
2023-06-24,1053182.720491333
2023-06-27,1053182.720491333
2023-07-14,1046635.014763804
2023-07-17,1060683.551246663
2023-07-22,1015038.8093939759
2023-07-27,989277.6697153207
2023-07-29,992026.5324762419
2023-08-08,933974.9219645427
2023-08-11,940263.6386630178
2023-08-16,940263.6386630178
2023-08-18,930388.102770838
2023-08-21,908081.8006126039
2023-08-23,867543.2382926072
2023-08-28,867543.2382926072
2023-08-31,838868.4033464269
2023-09-05,807979.1382409377
2023-09-07,807979.1382409377
2023-09-10,807979.1382409377
2023-09-20,734223.4723431978
2023-09-25,762422.5324929814
2023-09-27,744960.8859171517
2023-09-30,755753.5409868619
2023-10-02,749935.2609880125
2023-10-05,728464.7507023319
2023-10-07,719447.91617555
2023-10-10,703156.1321513947
2023-10-12,700723.8103146302
2023-10-15,707216.6481540091
2023-11-06,853597.5485224506
