date,value
2017-03-14,8600
2017-04-23,3500
2017-05-23,1700
2017-06-02,1700
2017-07-07,5300
2017-08-21,7700
2017-10-05,7100
2017-10-15,9400
2018-03-14,8300
2018-04-18,8100
2018-06-22,7600
2018-06-27,6500
2018-07-07,5700
2018-07-12,6600
2018-07-27,8500
2018-08-01,7900
2018-08-11,8000
2018-08-16,8900
2018-08-21,7700
2018-08-26,6800
2018-09-20,8300
2018-09-25,6900
2018-10-05,7300
2018-10-20,8100
2018-10-30,7200
2019-02-12,10700
2019-02-17,8800
2019-02-22,7500
2019-02-27,6700
2019-03-24,5900
2019-05-13,6300
2019-05-23,5600
2019-06-02,6100
2019-06-12,6700
2019-06-17,7300
2019-06-27,5900
2019-07-12,7400
2019-07-17,7500
2019-07-22,7100
2019-08-01,6700
2019-08-26,6500
2019-09-15,8300
2019-09-20,6600
2019-10-25,9300
2020-02-07,11700
2020-03-28,5000
2020-04-02,5100
2020-04-07,5000
2020-05-27,5900
2020-06-21,6100
2020-07-01,7200
2020-07-31,7100
2020-08-05,7500
2020-08-15,5700
2020-08-20,6500
2020-08-25,6700
2020-09-04,6700
2020-09-14,6200
2021-02-21,4400
2021-02-26,7300
2021-03-23,5300
2021-03-28,5100
2021-04-02,5700
2021-04-22,5300
2021-04-27,5800
2021-06-16,5700
2021-07-21,5600
2021-08-10,4500
2021-08-15,4800
2021-08-20,5000
2021-08-25,3900
2021-09-04,6000
2021-09-24,4200
2021-10-14,5300
2021-10-19,4600
2021-10-24,6900
2022-02-26,4800
2022-03-08,5000
2022-04-17,4600
2022-04-22,5400
2022-04-27,4800
2022-06-11,7100
2022-06-21,6100
2022-07-06,5400
2022-07-11,6800
2022-07-16,6500
2022-07-21,6100
2022-07-26,5500
2022-08-10,6400
2022-09-19,6100
2022-10-04,5900
2022-10-09,4900
2023-02-11,8200
2023-02-16,9000
2023-02-21,4900
2023-03-28,8200
