date,value
2017-02-15,14400
2017-02-22,35100
2017-02-25,23200
2017-03-14,406700
2017-03-17,360500
2017-03-27,334500
2017-04-03,301400
2017-04-06,309900
2017-04-16,294300
2017-04-23,265300
2017-05-23,505000
2017-05-26,502800
2017-06-02,538600
2017-06-12,640400
2017-06-15,642100
2017-06-22,642100
2017-07-05,727600
2017-07-07,723800
2017-07-10,731300
2017-07-12,723000
2017-07-17,714500
2017-07-22,712000
2017-07-25,689700
2017-07-27,689200
2017-07-30,620600
2017-08-04,622800
2017-08-06,622800
2017-08-21,394700
2017-08-24,421300
2017-08-26,372000
2017-08-29,373000
2017-09-05,341800
2017-09-08,336200
2017-09-10,343500
2017-09-13,192900
2017-09-20,190400
2017-09-23,156900
2017-09-28,177700
2017-10-03,267200
2017-10-05,155200
2017-10-08,122800
2017-10-10,105300
2017-10-13,116500
2017-10-15,109800
2017-10-18,114300
2017-10-20,111000
2017-10-23,112600
2017-10-25,91600
2017-10-28,81400
2017-10-30,78400
2017-11-07,72000
2017-11-12,80900
2017-11-14,102100
2017-11-17,92800
2017-11-19,192800
2017-11-22,197600
2017-11-24,203000
2017-11-27,231800
2017-11-29,261800
2017-12-07,350200
2017-12-09,245400
2017-12-12,245400
2017-12-14,245400
2017-12-17,245400
2017-12-19,143300
2017-12-24,247500
2017-12-27,247500
2018-01-03,237500
2018-01-11,237500
2018-01-28,648700
2018-01-31,632700
2018-02-02,632700
2018-02-07,543700
2018-02-10,18400
2018-02-12,6100
2018-02-15,6100
2018-02-22,13900
2018-02-25,14300
2018-02-27,14300
2018-03-02,2000
2018-03-07,2700
2018-03-09,700
2018-03-19,223400
2018-03-27,223400
2018-04-01,414600
2018-04-06,414600
2018-04-11,414600
2018-04-18,454000
2018-04-21,460100
2018-04-26,449200
2018-05-11,526000
2018-05-18,526000
2018-05-21,526900
2018-06-17,664500
2018-06-20,681800
2018-06-22,681800
2018-06-25,695800
2018-06-27,695800
2018-07-02,737900
2018-07-05,737800
2018-07-07,744300
2018-07-10,748000
2018-07-12,755000
2018-07-15,752800
2018-07-17,751700
2018-07-20,749300
2018-07-25,749700
2018-07-27,755600
2018-07-30,753700
2018-08-01,759700
2018-08-04,759700
2018-08-06,753600
