date,value
2017-02-16,315510.52821144625
2017-02-23,727147.4663087828
2017-02-26,399957.7302977577
2017-03-05,713976.1093498853
2017-03-08,508703.9047346068
2017-03-15,650687.3129516026
2017-03-18,657785.7086086132
2017-03-25,632345.408036438
2017-03-28,575593.46164698
2017-04-04,623935.7779815216
2017-04-07,594783.0166451414
2017-04-14,645026.0805283714
2017-04-17,759661.0552220241
2017-04-24,740394.3497267355
2017-05-04,683539.5592300387
2017-05-07,791111.0956149804
2017-05-14,585163.4800637305
2017-05-17,716896.524454546
2017-05-24,552560.0224310729
2017-05-27,764129.2898944886
2017-06-03,959027.5929958073
2017-06-06,1004191.6765667651
2017-06-13,939872.8697329193
2017-06-16,928755.6046991856
2017-06-23,866034.5495613923
2017-06-26,996078.7738730262
2017-07-01,1040133.3324594019
2017-07-03,936692.2610498657
2017-07-06,1023746.9111723645
2017-07-08,952629.176013643
2017-07-11,978303.4987693151
2017-07-13,900360.4092998878
2017-07-18,903501.7067103724
2017-07-21,987986.6161715646
2017-07-23,878468.0605481378
2017-07-26,925586.8995601092
2017-07-28,836729.6793206062
2017-07-31,911369.9964592196
2017-08-02,798658.1672501026
2017-08-05,816862.8477954067
2017-08-07,741870.8658244887
2017-08-12,715435.8478813007
2017-08-15,788098.5886892481
2017-08-17,712517.3095704113
2017-08-20,718358.1383610388
2017-08-22,809261.8738144577
2017-08-25,752232.3548676728
2017-08-27,696532.6742626771
2017-08-30,718358.1383610388
2017-09-01,711059.449254524
2017-09-04,780583.1704396281
2017-09-09,839799.4256481337
2017-09-11,705237.4169137408
2017-09-14,415863.18638904986
2017-09-16,415863.18638904986
2017-09-19,415863.18638904986
2017-09-21,680662.6756284827
2017-09-24,680662.6756284827
2017-10-06,499548.89954030706
2017-10-09,499548.89954030706
2017-10-11,615561.6739426089
2017-10-14,537814.7202951595
2017-10-16,571507.2588192776
2017-10-19,549869.7314556281
2017-10-21,568788.2193400314
2017-10-24,541823.7077297996
2017-10-26,512643.4645179275
2017-10-31,440710.6556056869
2017-11-03,457102.89663605817
2017-11-05,544501.5665734771
2017-11-08,511329.21523609146
2018-03-10,543162.1177304249
2018-03-13,798658.1672501026
2018-03-18,798658.1672501026
2018-03-23,816862.8477954067
2018-04-02,587906.8793527005
2018-04-07,567430.2310231173
2018-04-12,567430.2310231173
2018-04-17,593405.776768831
2018-04-19,593405.776768831
2018-04-22,759661.0552220241
2018-04-24,531153.940578817
2018-04-27,633750.4545842019
2018-04-29,664908.2968399187
2018-05-07,755201.0773891588
2018-05-09,676354.5184958776
2018-06-01,1025381.8649077419
2018-06-03,1079793.0176299198
2018-06-08,1040133.3324594019
2018-06-13,838264.1102038474
2018-06-21,1053301.2879231623
2018-06-26,1017215.3152700005
2018-06-28,1017215.3152700005
2018-07-01,909794.6211517797
2018-07-03,884705.6985890301
2018-07-06,881585.1431674089
2018-07-08,963835.2436740679
2018-07-11,957426.7251450582
2018-07-13,978303.4987693151
2018-07-18,986370.6795465241
2018-07-21,850571.3512543226
2018-07-23,765620.5332044626
2018-07-26,777583.356283965
2018-07-28,832131.7000496156
2018-07-31,841335.6250539618
2018-08-02,963835.2436740679
2018-08-05,963835.2436740679
2018-08-07,954227.5161315369
2018-08-10,976692.5666364493
2018-08-12,976692.5666364493
2018-08-15,933515.0480230423
2018-08-17,933515.0480230423
2018-08-20,999321.4490496893
2018-08-22,783586.6175448254
2018-08-30,987986.6161715646
2018-09-01,987986.6161715646
2018-09-06,887829.722269523
2018-09-09,892522.2508783458
2018-09-11,735970.3613710534
2018-09-14,797146.9492576694
2018-09-16,741870.8658244887
2018-09-19,741870.8658244887
2018-09-21,731554.7273491205
2018-09-24,690748.4507282214
2018-09-26,713976.1093498853
2018-09-29,616954.8833292054
2018-10-01,616954.8833292054
2018-10-06,676354.5184958776
2018-10-09,597540.508975183
2018-10-14,581055.9625768657
2018-10-19,690748.4507282214
2018-10-21,528496.9542989028
2018-10-24,547183.576999092
2018-10-26,503466.0644307305
2018-11-18,679225.6667331558
2018-11-28,689304.7688236275
2019-02-06,738918.7598284406
2019-02-08,738918.7598284406
2019-02-11,738918.7598284406
2019-02-13,413403.5074941814
2019-02-16,63495.38652865862
2019-02-18,424508.12378799135
2019-02-21,424508.12378799135
2019-02-23,64862.62309310737
2019-02-26,426988.3680619176
2019-02-28,336027.82979513984
2019-03-03,387856.43027912267
2019-03-08,387856.43027912267
2019-03-10,387856.43027912267
2019-03-18,507392.845542974
2019-03-20,696532.6742626771
2019-03-23,439457.538611257
2019-03-25,517911.0649869405
2019-03-28,483976.9630712055
2019-03-30,485268.68661347794
2019-04-02,485268.68661347794
2019-04-07,457102.89663605817
2019-04-09,485268.68661347794
2019-04-12,390267.3180605898
2019-04-14,403610.8702376223
2019-04-17,640790.3883159884
2019-04-19,406052.0973592273
2019-04-27,623935.7779815216
2019-04-29,623935.7779815216
2019-05-02,304289.2793706271
2019-05-07,294300.20052004175
2019-05-09,632345.408036438
2019-05-14,632345.408036438
2019-05-19,632345.408036438
2019-05-24,900360.4092998878
2019-06-01,1040133.3324594019
2019-06-03,819909.4932606955
2019-06-06,967044.5448746142
2019-06-11,916101.2656523846
2019-06-13,906646.4454701154
2019-06-16,358121.11354797083
2019-06-18,410948.4262417949
2019-06-21,1022112.7788541666
2019-06-23,951031.6795197864
2019-06-26,1025381.8649077419
2019-06-28,938282.1412011005
2019-07-01,922421.6051155771
2019-07-03,880026.1674728493
2019-07-06,866034.5495613923
2019-07-08,880026.1674728493
2019-07-11,938282.1412011005
2019-07-13,849029.8606043278
2019-07-16,866034.5495613923
2019-07-18,884705.6985890301
2019-07-21,922421.6051155771
2019-07-23,768605.7634849122
2019-07-26,731554.7273491205
2019-07-28,731554.7273491205
2019-07-31,821434.1540707469
2019-08-02,783586.6175448254
2019-08-05,861386.3871443659
2019-08-07,878468.0605481378
2019-08-10,912946.2293442197
2019-08-12,864484.287370957
2019-08-15,901930.627559129
2019-08-17,818385.7242972895
2019-08-20,826013.4814500518
2019-08-22,829070.8143841241
2019-08-25,780583.1704396281
2019-08-27,852113.7217015045
2019-08-30,894088.1563175939
2019-09-04,575593.46164698
2019-09-06,892522.2508783458
2019-09-09,890957.2096823065
2019-09-11,597540.508975183
2019-09-14,596161.2610009313
2019-09-16,650687.3129516026
2019-09-19,647854.7504008246
2019-09-24,578322.6821536078
2019-09-26,508703.9047346068
2019-09-29,621140.4538805254
2019-10-01,567430.2310231173
2019-10-04,582424.1230413812
2019-10-06,536480.4751893582
2019-10-09,487855.3820522652
2019-10-11,521872.87079867464
2019-10-14,572868.3081787196
2019-10-16,572868.3081787196
2019-10-19,528496.9542989028
2019-10-26,498245.3196586141
2019-10-29,536480.4751893582
2019-11-05,508703.9047346068
2020-02-06,446993.0543545181
2020-02-08,493041.7365702388
2020-02-11,486561.4932962236
2020-02-13,486561.4932962236
2020-02-16,436954.67683523474
2020-02-18,462184.43221675
2020-02-21,462184.43221675
2020-02-26,493041.7365702388
2020-02-28,439457.538611257
2020-03-04,354603.34390861227
2020-03-07,320034.69572758273
2020-03-14,342956.7546271905
2020-03-19,399957.7302977577
2020-03-22,764129.2898944886
2020-03-24,440710.6556056869
2020-03-29,440710.6556056869
2020-04-01,426988.3680619176
2020-04-03,426988.3680619176
2020-04-06,560655.6399288734
2020-04-08,545842.053311399
2020-04-11,499548.89954030706
2020-04-23,614169.4563369296
2020-04-26,247010.58629602232
2020-05-06,841335.6250539618
2020-05-11,841335.6250539618
2020-05-21,835196.1335990742
2020-05-23,696532.6742626771
2020-05-26,872244.3319756723
2020-05-28,813819.774641774
2020-05-31,813819.774641774
2020-06-05,813819.774641774
2020-06-10,850571.3512543226
2020-06-12,1078131.2247107388
2020-06-15,1155400.393431739
2020-06-27,842872.7078229836
2020-06-30,1135081.2757745737
2020-07-02,938282.1412011005
2020-07-05,1059904.7880473563
2020-07-07,925586.8995601092
2020-07-10,925586.8995601092
2020-07-12,925586.8995601092
2020-07-15,1083119.0190745909
2020-07-17,1076470.237606344
2020-07-20,1187803.3441775604
2020-07-22,1118235.6116815736
2020-07-25,1133393.144482456
2020-07-27,1118235.6116815736
2020-07-30,1009069.3498590031
2020-08-01,894088.1563175939
2020-08-04,895654.925438935
2020-08-06,809261.8738144577
2020-08-09,792618.7050071696
2020-08-11,783586.6175448254
2020-08-14,824486.1487772967
2020-08-16,804712.0385815057
2020-08-19,859838.7502721818
2020-08-21,804712.0385815057
2020-08-24,862934.8997048034
2020-08-26,829070.8143841241
2020-09-03,782084.4401968677
2020-09-05,700880.7921266075
2020-09-08,692193.082958941
2020-09-10,692193.082958941
2020-09-13,716896.524454546
2020-09-15,652105.0520155414
2020-09-18,670623.7212983916
2020-09-20,747786.1785634594
2020-09-25,975082.4703662196
2020-09-28,975082.4703662196
2020-09-30,952629.176013643
2020-10-08,1004191.6765667651
2020-10-10,1004191.6765667651
2020-10-15,1004191.6765667651
2020-10-18,298726.832536359
2020-10-20,298726.832536359
2020-10-28,245966.45023908574
2020-10-30,313256.060447923
2020-11-02,277887.0604384174
2020-11-07,261773.5740859407
2020-11-09,277887.0604384174
2020-11-17,311006.6880068192
2020-11-19,448252.8886398836
2020-11-22,402391.99552509235
2020-11-24,452039.07958763564
2021-02-02,789604.3899628238
2021-02-10,718358.1383610388
2021-02-15,581055.9625768657
