date,value
2017-01-26,19000
2017-01-29,24500
2017-02-15,20400
2017-02-18,23000
2017-02-25,23900
2017-03-10,25700
2017-03-30,22200
2017-04-06,29500
2017-04-09,29000
2017-04-19,23200
2017-04-29,28200
2017-05-09,27200
2017-05-26,28000
2017-06-18,25300
2017-07-05,29300
2017-07-18,26400
2017-08-02,23600
2017-08-12,22300
2017-08-14,26600
2017-08-22,20000
2017-08-24,24500
2017-08-29,22100
2017-09-08,25500
2017-09-21,25600
2017-09-23,22900
2017-10-08,23200
2017-10-11,21400
2017-10-13,21400
2017-10-16,20400
2017-10-23,22300
2017-10-26,20100
2017-10-31,23700
2017-11-17,21600
2017-11-20,19800
2017-11-22,20500
2017-11-27,21300
2017-11-30,20700
2017-12-05,20100
2017-12-12,21800
2017-12-25,18400
2018-01-09,23600
2018-01-24,31600
2018-02-25,35400
2018-03-02,34200
2018-03-22,36300
2018-03-30,32500
2018-04-19,33800
2018-04-21,36800
2018-04-24,33000
2018-05-11,36600
2018-05-21,36700
2018-06-20,37900
2018-06-23,34900
2018-06-25,37100
2018-07-08,29500
2018-07-10,37200
2018-07-13,32600
2018-07-15,34000
2018-07-23,32500
2018-07-25,32700
2018-08-02,33000
2018-08-04,31400
2018-08-12,31300
2018-08-19,29700
2018-08-22,28900
2018-08-27,28800
2018-09-03,27600
2018-09-08,31700
2018-09-11,31000
2018-09-16,27100
2018-09-23,27900
2018-09-26,27800
2018-10-03,28800
2018-10-06,30200
2018-10-23,25300
2018-11-15,30100
2018-11-17,27700
2018-11-27,27500
2018-12-07,28700
2018-12-27,28100
2019-01-16,27100
2019-02-03,38600
2019-02-13,22600
2019-02-15,33500
2019-02-20,31200
2019-02-23,31900
2019-02-25,31300
2019-03-22,29600
2019-03-25,33700
2019-03-27,31300
2019-03-30,29700
2019-05-01,26600
2019-05-06,31800
2019-05-14,33600
2019-06-08,37200
2019-06-13,16200
2019-06-28,33300
2019-07-05,31100
2019-07-10,28900
2019-07-15,32800
2019-07-23,22900
2019-07-25,23600
2019-08-04,24900
2019-08-09,23300
2019-08-14,24600
2019-08-17,20900
2019-08-22,20500
2019-08-24,22400
2019-08-29,26100
2019-09-08,21600
2019-09-11,22300
2019-09-13,23500
2019-09-16,21900
2019-10-08,22900
2019-10-11,20900
2019-10-13,21700
2019-10-26,22100
2019-12-05,32700
2019-12-10,29400
2019-12-15,21500
2019-12-25,27000
2019-12-27,33100
2019-12-30,27700
2020-01-09,38000
2020-01-11,37700
2020-01-14,34400
2020-01-16,36400
2020-01-19,35000
2020-01-29,31300
2020-02-05,36700
2020-02-15,26600
2020-02-20,30300
2020-03-11,35900
2020-03-21,33700
2020-03-24,28800
2020-03-26,29000
2020-04-03,33500
2020-04-05,27800
2020-04-10,29900
2020-05-03,33300
2020-05-05,35900
2020-05-18,31400
2020-05-20,34400
2020-05-25,39400
2020-05-28,34200
2020-05-30,35000
2020-06-24,31700
2020-07-07,27900
2020-07-09,32900
2020-07-19,31900
2020-07-22,30000
2020-07-24,21700
2020-07-27,25500
2020-08-06,19100
2020-08-08,25900
2020-08-21,25200
2020-08-23,21500
2020-08-31,21300
2020-09-02,20600
2020-09-05,22200
2020-09-10,24100
2020-09-12,19000
2020-09-17,19800
2020-09-30,22200
2020-11-09,14100
2020-11-11,14900
2020-11-14,13200
2020-11-21,20000
2020-11-26,16400
2020-11-29,13000
2020-12-26,20000
2021-01-03,30600
2021-02-02,39800
2021-02-14,37800
2021-02-17,38400
2021-02-19,31300
2021-02-24,36500
2021-02-27,35800
2021-03-01,33700
2021-03-04,31900
2021-03-24,29500
2021-03-29,35400
2021-03-31,35900
2021-04-05,31100
2021-04-15,36700
2021-04-23,35400
2021-05-03,34800
2021-05-20,31100
2021-05-30,40200
2021-06-09,33100
2021-06-14,34700
2021-07-02,31100
2021-07-22,33300
2021-08-11,33000
2021-08-26,28500
2021-08-28,25900
2021-08-31,30100
2021-09-05,27700
2021-09-12,31100
2021-10-07,29900
2021-10-12,30600
2021-10-15,26900
2021-10-17,26300
2021-10-27,26700
2021-11-19,27600
2021-12-14,37400
2021-12-16,37000
2021-12-19,36600
2022-01-13,29300
2022-01-15,32900
2022-01-23,39100
2022-01-25,34000
2022-02-09,33100
2022-03-01,38200
2022-03-21,38200
2022-03-24,38000
2022-03-26,34400
2022-04-05,34100
2022-05-08,29300
2022-05-10,36800
2022-05-15,24400
2022-06-17,33400
2022-06-22,35900
2022-07-12,32800
2022-07-14,33200
2022-07-17,30300
2022-08-01,27800
2022-08-03,26900
2022-08-28,28100
2022-09-05,22200
2022-09-10,22800
2022-09-20,24700
2022-09-22,24500
2022-10-02,20200
2022-10-05,20900
2022-10-07,22900
2022-11-11,22100
2022-11-16,22400
2022-12-04,21600
2022-12-21,21400
2022-12-24,22100
2023-01-10,21700
2023-01-18,24900
2023-02-02,27100
2023-02-04,27000
2023-02-09,24500
2023-02-12,24800
2023-02-14,25100
2023-02-17,24200
2023-02-24,24500
2023-03-09,24800
2023-03-16,28400
2023-04-05,26700
2023-04-08,26000
2023-04-10,26900
2023-04-18,25300
2023-04-20,27400
2023-05-05,29200
2023-05-28,29100
2023-06-24,28900
2023-07-14,29800
2023-07-17,29600
2023-07-22,29900
2023-07-27,26700
2023-07-29,30100
2023-08-08,28800
2023-08-11,24800
2023-08-18,28500
2023-08-21,26300
2023-08-23,26900
2023-08-31,25400
2023-09-05,29800
2023-09-07,25800
2023-09-10,25400
2023-09-20,22000
2023-09-25,19500
2023-09-30,22400
2023-10-02,22000
2023-10-05,22200
2023-10-07,22200
2023-10-10,21800
2023-10-12,23200
2023-11-06,23500
2023-11-19,19900
2023-11-26,18700
2023-12-06,20800
