date,value
2017-02-15,58881.2557316409
2017-02-25,36252.99499329395
2017-03-17,41343.32989355491
2017-03-27,42656.44914012577
2017-04-03,64993.59165576996
2017-04-23,62673.84995066342
2017-05-16,106415.4005030013
2017-05-26,41343.32989355491
2017-06-25,33806.7648066873
2017-07-05,47377.59811295115
2017-07-07,35021.53265490289
2017-07-17,61145.71629228255
2017-08-14,69731.27380833428
2017-08-21,64216.68527135678
2017-08-26,74598.2310415472
2017-08-29,67346.15090772952
2017-09-23,58881.2557316409
2017-10-05,80437.21914101862
2017-10-13,75421.82463874732
2017-10-15,77079.59261405007
2017-10-18,73778.17564561962
2017-11-04,46691.32594757032
2017-11-17,50867.319656828164
2017-11-22,53007.410381863774
2018-02-25,70533.5083144435
2018-02-27,22607.81135278219
2018-03-14,50867.319656828164
2018-04-18,61145.71629228255
2018-04-21,60387.18735967697
2018-05-11,51576.85186253629
2018-05-26,50867.319656828164
2018-06-20,63443.4348076594
2018-06-22,59632.36377493112
2018-06-25,59632.36377493112
2018-06-27,72148.71374627632
2018-07-07,55914.186634695834
2018-07-12,64216.68527135678
2018-07-27,76248.94796238866
2018-07-30,81285.3470490911
2018-08-06,90842.2332429234
2018-08-19,89073.82620229527
2018-08-26,77913.75027053243
2018-09-08,82992.01240190628
2018-09-10,81285.3470490911
2018-09-18,80437.21914101862
2018-09-25,98050.86003306088
2018-09-30,90842.2332429234
2018-10-05,79592.57167432678
2018-10-13,65774.14437118919
2018-10-18,65774.14437118919
2018-10-20,68932.6300271295
2018-10-23,44656.076917684986
2018-10-30,42656.44914012577
2018-11-09,67346.15090772952
2018-11-14,50867.319656828164
2018-11-22,58881.2557316409
2018-11-24,81285.3470490911
2019-02-05,61907.94048432067
2019-02-15,41997.88390833889
2019-02-17,48761.85111833943
2019-02-20,55914.186634695834
2019-02-22,46691.32594757032
2019-02-25,46691.32594757032
2019-02-27,58133.87353048912
2019-03-22,72961.66700342113
2019-03-24,62673.84995066342
2019-03-27,65774.14437118919
2019-04-18,63443.4348076594
2019-05-01,82992.01240190628
2019-05-23,83850.53412343524
2019-05-31,58133.87353048912
2019-06-02,73778.17564561962
2019-06-17,82136.94743452211
2019-06-27,67346.15090772952
2019-06-30,86446.76252793838
2019-07-02,64216.68527135678
2019-07-05,82992.01240190628
2019-07-10,86446.76252793838
2019-07-17,90842.2332429234
2019-07-22,95322.43657338984
2019-07-25,106415.4005030013
2019-08-04,96228.56653353828
2019-08-14,79592.57167432678
