date,value
2017-02-18,1147500
2017-02-21,1204800
2017-04-09,1408200
2017-04-12,1442600
2017-04-19,1435500
2017-06-18,1389600
2017-06-21,1410800
2017-06-28,1410800
2017-08-02,1142600
2017-08-05,1142600
2017-08-07,1262500
2017-08-27,1157900
2017-10-11,1033900
2017-10-14,1016100
2017-10-16,1023000
2017-10-19,1023000
2017-10-21,1018800
2017-10-26,966400
2017-10-31,965300
2017-11-05,1028200
2017-11-15,979200
2017-11-23,982900
2017-11-25,985400
2017-11-28,983700
2017-12-15,1001100
2017-12-18,1001100
2018-01-17,1202100
2018-01-19,1280900
2018-01-27,1280900
2018-03-20,1928600
2018-04-19,1959700
2018-04-22,1923000
2018-04-24,1925300
2018-05-04,1936100
2018-05-07,1936100
2018-05-09,1936100
2018-05-19,1898200
2018-05-22,1897900
2018-06-23,1891900
2018-06-26,1907300
2018-06-28,1906300
2018-07-01,1911200
2018-07-08,1875300
2018-07-11,1883900
2018-07-18,1825700
2018-07-21,1748400
2018-07-23,1754200
2018-07-26,1736700
2018-07-28,1732400
2018-08-02,1704400
2018-08-05,1665700
2018-08-22,1476400
2018-09-01,1514900
2018-09-04,1388400
2018-09-09,1363500
2018-09-11,1378900
2018-09-14,1343800
2018-09-26,1237500
2018-09-29,1240700
2018-10-01,1268600
2018-10-04,1271600
2018-10-21,1294500
2018-10-24,1247500
2018-11-15,1275400
2018-11-18,1235000
2018-12-20,1585300
2019-01-09,1676800
2019-01-14,1676800
2019-01-17,1758200
2019-01-22,1758200
2019-01-24,1750600
2019-02-03,1734600
2019-02-13,1763400
2019-02-16,1763400
2019-02-18,1763400
2019-02-23,1858800
2019-02-26,1849700
2019-03-23,1775200
2019-03-30,1852800
2019-04-12,1887200
2019-04-14,1890200
2019-04-17,1870200
2019-04-19,1877300
2019-04-27,1878300
2019-05-14,1968200
2019-05-24,1912100
2019-05-27,1912100
2019-06-01,1952200
2019-07-03,1853100
2019-07-06,1844600
2019-07-08,1828800
2019-07-11,1831900
2019-07-13,1822300
2019-07-16,1815900
2019-07-23,1782400
2019-07-28,1776800
2019-07-31,1754000
2019-08-02,1759900
2019-08-07,1752100
2019-08-22,1586200
2019-08-25,1585000
2019-08-27,1585000
2019-09-01,1585700
2019-09-06,1558600
2019-09-11,1422000
2019-09-16,1405000
2019-09-19,1321400
2019-09-21,1321400
2019-09-24,1324900
2019-10-09,1278600
2019-10-11,1272000
2019-10-21,1265700
2019-12-03,1360600
2019-12-13,1354300
2019-12-20,1651100
2019-12-23,1634400
2019-12-25,1634400
2019-12-30,1708100
2020-01-19,1836600
2020-01-22,1834700
2020-02-06,1887900
2020-02-11,1817100
2020-02-13,1817100
2020-02-18,1817100
2020-03-19,1860400
2020-03-24,1896600
2020-03-27,1831800
2020-03-29,1854000
2020-04-01,1855800
2020-04-08,1851300
2020-04-11,1846000
2020-04-13,1861500
2020-04-18,1922200
2020-04-23,1853700
2020-04-26,1853700
2020-04-28,1924800
2020-05-18,1907800
2020-05-21,1927600
2020-05-26,1881400
2020-05-28,1907800
2020-05-31,1891500
2020-06-02,1903200
2020-07-07,1799000
2020-07-12,1819300
2020-07-17,1747900
2020-07-20,1759100
2020-07-22,1742400
2020-07-27,1752700
2020-07-30,1738600
2020-08-04,1734000
2020-08-06,1717900
2020-08-09,1680400
2020-08-11,1677900
2020-08-14,1643300
2020-08-21,1634800
2020-09-10,1466000
2020-09-13,1373800
2020-09-15,1416000
2020-11-19,1180100
2020-11-22,1165900
2020-11-29,1155200
2020-12-04,1150700
2020-12-12,1245500
2020-12-17,1211100
2020-12-29,1430200
2021-02-17,1881700
2021-02-27,1964000
2021-03-02,1949300
2021-03-07,1949300
2021-03-09,1957600
2021-03-22,1908400
2021-03-24,1942900
2021-03-29,1952100
2021-04-01,1945400
2021-04-03,1937800
2021-04-08,1902100
2021-04-13,1882800
2021-04-18,1925300
2021-04-21,1898200
2021-04-23,1924400
2021-04-26,1956100
2021-04-28,1929600
2021-05-01,1929600
2021-05-03,1920400
2021-05-08,1854100
2021-05-28,1865100
2021-05-31,1866000
2021-06-05,1867800
2021-07-17,1723900
2021-07-20,1720500
2021-07-22,1718800
2021-08-11,1579700
2021-08-14,1643800
2021-08-26,1462300
2021-09-03,1462300
2021-09-05,1462300
2021-09-30,1311700
2021-10-03,1305500
2021-11-24,1228800
2022-02-27,1447500
2022-03-07,1490300
2022-03-09,1475500
2022-03-12,1505500
2022-03-14,1503600
2022-03-24,1487800
2022-03-27,1464500
2022-04-01,1464500
2022-04-03,1466400
2022-05-01,1637200
2022-05-03,1644400
2022-05-06,1634000
2022-05-08,1645400
2022-05-11,1595300
2022-05-28,1565800
2022-05-31,1546400
2022-06-02,1560400
2022-06-12,1570800
2022-07-12,1464800
2022-07-15,1456000
2022-07-17,1466000
2022-07-20,1473700
2022-08-06,1378800
2022-08-09,1359300
2022-08-11,1336800
2022-09-20,1166500
2022-09-25,1166500
2022-09-30,1156000
2022-10-08,1044400
2023-05-28,1872100
