date,value
2017-02-19,373700
2017-02-22,373700
2017-02-26,373700
2017-03-01,373700
2017-03-11,393900
2017-03-14,393900
2017-04-10,458300
2017-04-17,458300
2017-04-20,475000
2017-04-23,474500
2017-06-19,444800
2017-06-22,444800
2017-06-26,444800
2017-06-29,445800
2017-07-04,414300
2017-07-06,414300
2017-07-07,414300
2017-07-12,409300
2017-07-14,411200
2017-07-17,377200
2017-07-19,377200
2017-07-21,377200
2017-07-22,377200
2017-07-24,377200
2017-08-08,344200
2017-08-11,340700
2017-08-13,340700
2017-08-15,340700
2017-08-18,340800
2017-08-20,282400
2017-08-21,282400
2017-08-23,282500
2017-08-25,282500
2017-08-26,282500
2017-09-02,246700
2017-09-04,246400
2017-09-05,246400
2017-09-07,251800
2017-09-10,251800
2017-09-12,251800
2017-09-17,208700
2017-09-20,198400
2017-09-22,198400
2017-09-27,209100
2017-10-04,205700
2017-10-05,205700
2017-10-07,206600
2017-10-09,189900
2017-10-10,189900
2017-10-12,194900
2017-10-14,194900
2017-10-15,194900
2017-10-17,189900
2017-10-19,197500
2017-10-20,197500
2017-10-22,184300
2017-10-24,197100
2017-10-25,197100
2017-10-27,183400
2017-10-29,191400
2017-10-30,191400
2017-11-01,187600
2017-11-03,197700
2017-11-06,197700
2018-02-14,294200
2018-02-16,288700
2018-02-19,288700
2018-02-21,288700
2018-02-24,288700
2018-04-05,456700
2018-04-10,474600
2018-04-15,474600
2018-04-20,469600
2018-04-22,458300
2018-04-25,503400
2018-04-27,503400
2018-04-28,503400
2018-04-30,469600
2018-05-03,495600
2018-05-05,495600
2018-05-25,500200
2018-06-01,496000
2018-06-02,496000
2018-06-09,499100
2018-06-14,501300
2018-06-16,501300
2018-06-17,501300
2018-06-19,493200
2018-06-21,490300
2018-06-22,490300
2018-06-24,490300
2018-06-26,478700
2018-06-27,478700
2018-06-29,478700
2018-07-09,460200
2018-07-11,460200
2018-07-12,460200
2018-07-14,467500
2018-07-17,467500
2018-07-19,458700
2018-07-21,445800
2018-07-22,445800
2018-07-24,451700
2018-07-26,454200
2018-07-27,454200
2018-07-29,454300
2018-07-31,447400
2018-08-01,447400
2018-08-03,448200
2018-08-28,352900
2018-08-30,352900
2018-08-31,352900
2018-09-02,352900
2018-09-04,352900
2018-09-05,352900
2018-09-07,352900
2018-09-22,293300
2018-09-24,292800
2018-09-25,292800
2018-09-27,317000
2018-09-29,317000
2018-10-02,277000
2018-10-04,298000
2018-10-05,298000
2018-10-09,273100
2018-10-12,273100
2018-10-22,368300
2018-10-24,368300
2018-10-25,368300
2018-10-30,368300
2019-02-14,402800
2019-02-16,403100
2019-02-17,403100
2019-02-19,403100
2019-02-21,399000
2019-02-22,399000
2019-02-27,399000
2019-03-01,428200
2019-03-03,391900
2019-03-08,391900
2019-03-11,438900
2019-03-13,438900
2019-03-16,423300
2019-03-18,439300
2019-03-19,439300
2019-03-21,424500
2019-03-23,424500
2019-03-24,424500
2019-03-26,429300
2019-03-28,427000
2019-03-29,427000
2019-03-31,422100
2019-04-02,420800
2019-04-05,420700
2019-04-07,423900
2019-04-08,423900
2019-04-13,428300
2019-04-15,396300
2019-04-17,406200
2019-04-18,406200
2019-04-20,406200
2019-04-22,381600
2019-04-27,381600
2019-04-30,451200
2019-05-02,449000
2019-05-05,449000
2019-05-07,449000
2019-05-10,450400
2019-05-12,450400
2019-05-13,450400
2019-05-15,452400
2019-05-30,461200
2019-06-01,460600
2019-06-02,460600
2019-06-04,502700
2019-06-06,502700
2019-06-07,502700
2019-06-11,502700
2019-06-12,502700
2019-06-19,420200
2019-06-22,420200
2019-06-24,420200
2019-06-26,420200
2019-06-27,420200
2019-06-29,450000
2019-07-01,450000
2019-07-02,450000
2019-07-04,450000
2019-07-06,372200
2019-07-07,372200
2019-07-11,372200
2019-07-12,372200
2019-07-14,385800
2019-07-24,371400
2019-07-26,371400
2019-07-29,373500
2019-07-31,374600
2019-08-03,354200
2019-08-05,348900
2019-08-06,348900
2019-08-08,348900
2019-08-10,367600
2019-08-11,367600
2019-08-15,317300
2019-08-16,317300
2019-08-18,337900
2019-08-23,312300
2019-08-25,312300
2019-08-26,312300
2019-08-30,312300
2019-08-31,312300
2019-09-02,303900
2019-09-04,275300
2019-09-05,275300
2019-09-07,275300
2019-09-12,230700
2019-09-14,230700
2019-09-15,230700
2019-09-17,239100
2019-09-19,240000
2019-09-25,240000
2019-09-27,223700
2019-09-29,229300
2019-09-30,229300
2019-10-02,220500
2019-10-05,224900
2019-10-07,202700
2019-10-10,202700
2019-10-19,197300
2019-10-27,218500
2019-10-29,218500
2019-10-30,218500
2019-11-06,223400
2019-11-08,223400
2019-11-09,223400
2019-11-13,196200
2019-11-16,226600
2020-02-14,395000
2020-02-19,395000
2020-02-22,347000
2020-02-24,423000
2020-02-26,423000
2020-03-03,418000
2020-03-07,418000
2020-03-08,418000
2020-03-10,418000
2020-04-04,412800
2020-04-06,412800
2020-04-07,412800
2020-04-09,441600
2020-04-11,441600
2020-04-14,438700
2020-04-24,454700
2020-04-26,433000
2020-04-29,441300
2020-05-04,462700
2020-05-06,462700
2020-05-09,462700
2020-05-14,475200
2020-05-19,464800
2020-05-24,487400
2020-05-26,487400
2020-05-31,487400
2020-06-01,487400
2020-06-03,497400
2020-06-05,497400
2020-06-06,497400
2020-06-08,497400
2020-06-10,386500
2020-06-15,386500
2020-06-23,504000
2020-06-25,504000
2020-06-26,504000
2020-06-28,513800
2020-06-30,513800
2020-07-01,513800
2020-07-03,478400
2020-07-05,478400
2020-07-06,478400
2020-07-08,483500
2020-07-10,466100
2020-07-11,466100
2020-07-15,478400
2020-07-16,478400
2020-07-18,478400
2020-07-20,457800
2020-07-21,457800
2020-07-23,475600
2020-08-02,435300
2020-08-04,435300
2020-08-05,435300
2020-08-07,400700
2020-08-09,400700
2020-08-10,400700
2020-08-12,400700
2020-08-14,400700
2020-08-15,400700
2020-08-17,397300
2020-08-19,369400
2020-08-20,369400
2020-08-22,368000
2020-08-24,312100
2020-08-25,312100
2020-08-27,337100
2020-09-01,337100
2020-09-03,338700
2020-09-04,338700
2020-09-06,293700
2020-09-08,313700
2020-09-09,313700
2020-09-13,258400
2020-09-14,258400
2020-09-16,264400
2020-09-18,264400
2020-09-21,264400
2020-09-26,273300
2020-09-28,273300
2020-09-29,273300
2020-10-01,273300
2020-10-03,270300
2020-10-08,270300
2020-10-11,270300
2020-11-05,267200
2020-11-07,267200
2020-11-10,267200
2020-11-12,267200
2020-11-17,267200
2020-11-18,267200
2020-11-20,285600
2021-02-23,408500
2021-02-25,408500
2021-02-26,408500
2021-02-28,423000
2021-03-02,423000
2021-03-05,423000
2021-03-07,406500
2021-03-08,406500
2021-03-10,421600
2021-03-12,418800
2021-03-13,418800
2021-03-15,440700
2021-03-17,440700
2021-03-20,440700
2021-03-22,424600
2021-03-23,424600
2021-03-25,454100
2021-03-27,453600
2021-03-28,453600
2021-03-30,467300
2021-04-01,467300
2021-04-02,467300
2021-04-06,440200
2021-04-09,440200
2021-05-04,477800
2021-05-06,477800
2021-05-07,477800
2021-05-09,494400
2021-05-11,494400
2021-05-12,494400
2021-05-14,494400
2021-05-19,492400
2021-05-21,473500
2021-05-26,473500
2021-05-27,473500
2021-06-13,471000
2021-06-15,465900
2021-06-16,465900
2021-06-18,465900
2021-07-13,432300
2021-07-15,404200
2021-07-16,404200
2021-07-18,415700
2021-07-20,415700
2021-07-21,415700
2021-07-23,403600
2021-07-25,413900
2021-07-28,390400
2021-07-30,396800
2021-08-02,379200
2021-08-05,380400
2021-08-09,355700
2021-08-10,355700
2021-08-12,355700
2021-08-17,304000
2021-08-19,304000
2021-08-20,304000
2021-08-22,316600
2021-08-27,295500
2021-08-29,306200
2021-08-30,306200
2021-09-01,285100
2021-09-06,263500
2021-09-11,246500
2021-09-13,245700
2021-09-18,234400
2021-09-19,234400
2021-09-21,234400
2021-10-06,214600
2021-10-11,221900
2021-10-13,222800
2021-10-14,222800
2021-10-16,208900
2021-10-18,216300
2021-10-23,198400
2021-10-24,198400
2021-10-26,198400
2022-02-08,364600
2022-02-10,347700
2022-02-11,347700
2022-02-13,347700
2022-02-15,347700
2022-02-18,375900
2022-02-20,352200
2022-02-21,352200
2022-02-23,380300
2022-02-26,380300
2022-02-28,368700
2022-03-02,386400
2022-03-03,386400
2022-03-07,373600
2022-03-08,373600
2022-03-25,410500
2022-03-27,410500
2022-03-28,410500
2022-04-01,410500
2022-04-04,414300
2022-04-09,420400
2022-04-14,414500
2022-04-16,423200
2022-04-17,423200
2022-04-19,416500
2022-04-29,429100
2022-05-01,424800
2022-05-02,424800
