date,value
2017-01-26,59896.89507507778
2017-02-15,65484.82192022387
2017-02-25,83667.88417320736
2017-03-17,77639.41793789934
2017-03-27,10609.1954509227
2017-05-16,88699.90687427447
2017-05-26,99024.39807915666
2017-06-25,103721.40102013444
2017-07-05,109083.08296201848
2017-08-04,99024.39807915666
2017-08-14,104905.84293567992
2017-08-19,97280.00644278352
2017-08-24,97860.43292811222
2017-08-29,85893.41262140655
2017-10-08,76019.02362596606
2017-10-13,85335.38310646355
2017-10-18,61405.95814410366
2017-10-28,59896.89507507778
2017-11-22,52043.29001596221
2017-11-27,53006.69937612423
2018-02-10,57902.50177071996
2018-02-25,60398.659474669854
2018-03-02,69641.65995573459
2018-03-17,19127.68314605302
2018-03-22,76019.02362596606
2018-04-21,99024.39807915666
2018-04-26,69117.85670695765
2018-05-11,99024.39807915666
2018-05-21,85893.41262140655
2018-06-20,101952.35235818375
2018-06-25,109683.8263839466
2018-07-10,93819.38883701191
2018-07-15,89264.45559877602
2018-07-25,92674.26876183023
2018-07-30,100778.08982381696
2018-08-04,79815.86655300505
2018-08-19,92103.29885108978
2018-09-03,77639.41793789934
2018-09-08,88136.43776666188
2018-09-23,79270.05779062108
2018-09-28,79815.86655300505
2018-10-03,74408.9612116411
2018-11-17,57407.09092255291
2018-11-22,52524.32973904832
2019-01-11,55928.57827701143
2019-01-16,67034.60273317827
2019-02-15,77098.14388369145
2019-02-20,68073.83065749925
2019-02-25,76019.02362596606
2019-03-22,73341.36977677612
2019-03-27,68073.83065749925
2019-05-01,86452.53565468112
2019-05-31,73341.36977677612
2019-06-30,94393.53382942018
2019-07-05,108483.3338507367
2019-07-10,103130.70059642864
2019-07-15,110888.28749013896
2019-07-25,104313.11589781503
2019-08-04,94968.73203919013
2019-08-09,96700.62062634541
2019-08-14,90396.78102832298
2019-08-24,96122.27795550368
2019-08-29,72278.43624868552
2019-09-03,92674.26876183023
2019-09-13,90396.78102832298
2019-10-08,66000.20239750184
2019-10-13,79270.05779062108
2019-11-27,48713.665660518476
2020-01-06,56912.96376817673
2020-01-11,54461.73971879226
2020-01-16,51563.58508488049
2020-02-05,63946.00488124611
2020-02-15,45451.200694582345
2020-02-20,72809.31908839378
2020-04-05,60398.659474669854
2020-04-10,97860.43292811222
2020-04-15,88699.90687427447
2020-04-25,118812.84914886717
2020-05-20,102541.01693487454
2020-05-25,87574.05101723189
2020-05-30,97280.00644278352
2020-06-14,87574.05101723189
2020-06-24,89830.08121792637
2020-07-19,109083.08296201848
2020-07-24,76019.02362596606
2020-07-29,93246.29962204602
2020-08-08,116357.0168638686
2020-09-02,99024.39807915666
2020-09-12,83114.25733626293
2020-09-17,100192.49658560274
2021-02-14,68595.24573874059
2021-02-24,78725.37802879291
2021-03-01,73341.36977677612
2021-03-21,79270.05779062108
2021-03-31,75481.18384344653
2021-04-05,100192.49658560274
2021-04-15,100778.08982381696
2021-04-20,100192.49658560274
2021-06-09,110285.56194586722
2021-06-14,116357.0168638686
2021-08-23,95544.98092328032
2021-09-17,73874.58493515
2021-09-22,87574.05101723189
2021-10-17,68073.83065749925
2021-10-27,63435.52020103641
2021-12-16,70166.65190847707
2021-12-21,66000.20239750184
2022-01-15,75481.18384344653
2022-01-25,71220.18776618654
2022-02-09,80362.80123738758
2022-03-01,101364.70920375302
2022-03-26,91533.39250216112
2022-04-05,103721.40102013444
2022-04-10,99607.9318714873
2022-04-30,94968.73203919013
2022-06-29,95544.98092328032
2022-07-19,107884.58123389649
2022-08-08,99607.9318714873
2022-08-13,95544.98092328032
2022-09-12,89264.45559877602
2022-09-22,87574.05101723189
2022-10-07,88136.43776666188
2022-10-22,71220.18776618654
2022-11-06,56420.12473107665
2022-11-11,53975.40912352533
2022-11-16,63435.52020103641
2022-12-06,16011.466318272993
2023-01-10,61911.48416126584
2023-02-09,58897.157061959195
2023-02-14,82010.33038071958
2023-02-19,80362.80123738758
2023-03-01,77098.14388369145
2023-03-16,92674.26876183023
2023-04-05,83114.25733626293
