date,value
2017-01-26,38423.47139030809
2017-02-22,43529.143112447266
2017-02-25,31867.252168714873
2017-03-17,60509.08647490204
2017-04-23,47542.09956136931
2017-05-16,59752.61240435972
2017-05-26,59752.61240435972
2017-06-02,27442.639106925097
2017-06-25,65136.030343260565
2017-07-05,64354.414850963505
2017-07-07,36581.74964926637
2017-07-17,43529.143112447266
2017-08-04,61269.76578948039
2017-08-14,77357.45772599666
2017-08-21,40941.11013214399
2017-08-24,51710.732828677115
2017-08-26,24317.440099748932
2017-09-05,21841.513349335586
2017-09-20,31298.22353690954
2017-09-23,47542.09956136931
2017-10-05,33018.886646097
2017-10-08,36581.74964926637
2017-10-10,31867.252168714873
2017-10-13,38423.47139030809
2017-10-15,33601.473941023025
2017-10-18,24317.440099748932
2017-10-25,24317.440099748932
2017-10-28,25859.161095169464
2017-11-17,28521.3477556193
2017-11-19,33601.473941023025
2017-11-22,31298.22353690954
2017-12-09,35976.74544732507
2018-01-31,42226.35889986275
2018-02-25,31867.252168714873
2018-02-27,22817.774015899064
2018-03-14,26382.361790590876
2018-03-19,33018.886646097
2018-04-18,39046.2536374728
2018-04-21,57508.48313006732
2018-04-26,54575.561606215684
2018-05-11,52420.53330195777
2018-06-20,48914.422696514324
2018-07-02,40941.11013214399
2018-07-07,33601.473941023025
2018-07-15,51005.21469266253
2018-07-25,52420.53330195777
2018-07-27,37805.121080524965
2018-08-01,29618.405753588082
2018-08-04,48226.10261981259
2018-08-11,35376.207025629716
2018-08-19,46187.073111384205
2018-08-21,32440.809648698298
2018-09-03,34780.1430840412
2018-09-08,46862.42065690237
2018-09-20,42226.35889986275
2018-09-23,38423.47139030809
2018-09-28,39673.4595909533
2018-09-30,33601.473941023025
2018-10-03,35376.207025629716
2018-10-05,33018.886646097
2018-10-23,26382.361790590876
2018-10-25,20884.17700965807
2018-11-12,20412.636073883987
2019-01-16,47542.09956136931
2019-02-12,34780.1430840412
2019-02-15,34188.562422077914
2019-02-17,19483.87154421087
2019-02-20,27442.639106925097
2019-02-22,35976.74544732507
2019-02-25,40305.08110793586
2019-02-27,23312.97103722616
2019-03-12,46187.073111384205
2019-03-22,44187.09174330747
2019-03-24,35376.207025629716
2019-03-27,40941.11013214399
2019-03-29,22817.774015899064
2019-04-13,43529.143112447266
2019-05-01,46187.073111384205
2019-05-06,65921.81540679104
2019-05-13,45516.06420028048
2019-05-23,36581.74964926637
2019-06-02,40305.08110793586
2019-06-17,28521.3477556193
2019-06-27,34188.562422077914
