date,value
2017-02-26,860500
2017-03-05,865100
2017-03-08,844700
2017-03-15,863300
2017-03-18,863300
2017-03-28,890600
2017-04-04,948500
2017-04-07,923300
2017-04-14,944300
2017-04-17,955500
2017-04-24,982700
2017-05-04,998400
2017-05-07,968100
2017-05-14,968100
2017-05-17,957800
2017-05-24,1015400
2017-05-27,974500
2017-06-03,980500
2017-06-06,984400
2017-06-13,1012500
2017-06-16,1012300
2017-06-23,1008800
2017-06-26,973100
2017-07-01,1002100
2017-07-03,991600
2017-07-06,977500
2017-07-08,987900
2017-07-11,990100
2017-07-13,979600
2017-07-18,994700
2017-07-21,977600
2017-07-26,973900
2017-07-28,988200
2017-08-02,978900
2017-08-05,985000
2017-08-07,980500
2017-08-12,975100
2017-08-15,963000
2017-08-17,966600
2017-08-20,965700
2017-08-22,953700
2017-08-25,949500
2017-08-27,956000
2017-08-30,967500
2017-09-01,960000
2017-09-04,951400
2017-09-06,963700
2017-09-21,920000
2017-09-24,922900
2017-10-04,893300
2017-10-11,867400
2017-10-14,855000
2017-10-16,841000
2017-10-19,837100
2017-10-21,839400
2017-10-24,831800
2017-10-26,842100
2017-10-29,843200
2017-10-31,847600
2018-03-23,963500
2018-03-25,957200
2018-03-28,957200
2018-03-30,957200
2018-04-02,962900
2018-04-07,940600
2018-04-09,940600
2018-04-14,949400
2018-04-17,953400
2018-04-19,953400
2018-04-22,935300
2018-04-24,952200
2018-04-27,941600
2018-04-29,959000
2018-05-07,988400
2018-05-24,1011500
2018-06-01,1011500
2018-06-03,997000
2018-06-08,990200
2018-06-16,1010000
2018-06-18,1005800
2018-06-21,1007700
2018-06-23,1007700
2018-06-26,1003300
2018-06-28,1007700
2018-07-01,975500
2018-07-03,959800
2018-07-06,966500
2018-07-08,1001400
2018-07-11,978900
2018-07-13,984600
2018-07-18,1001400
2018-07-21,983600
2018-07-23,973400
2018-07-26,964300
2018-07-28,988600
2018-07-31,977600
2018-08-02,993000
2018-08-05,989800
2018-08-07,1011900
2018-08-10,1007200
2018-08-12,1000600
2018-08-15,980300
2018-08-17,983700
2018-08-20,985100
2018-08-22,985200
2018-09-11,916400
2018-09-14,903600
2018-09-16,903600
2018-09-19,903600
2018-09-21,907600
2018-09-24,919300
2018-09-26,904600
2018-09-29,887300
2018-10-01,887300
2018-10-04,879800
2018-10-09,898900
2018-10-14,878900
2018-10-19,899900
2018-10-21,884400
2018-10-24,866700
2018-10-26,881200
2019-02-26,889800
2019-02-28,892500
2019-03-03,888300
2019-03-08,896900
2019-03-18,912100
2019-03-20,918000
2019-03-23,915500
2019-03-25,903600
2019-03-28,897300
2019-03-30,898200
2019-04-02,898200
2019-04-09,906900
2019-04-14,925100
2019-04-17,945000
2019-04-19,966200
2019-04-27,976300
2019-04-29,972900
2019-05-02,965800
2019-05-07,995700
2019-05-09,958900
2019-05-12,958900
2019-05-14,958900
2019-05-24,979100
2019-05-29,921000
2019-06-01,921000
2019-06-03,993800
2019-06-06,993800
2019-06-11,995200
2019-06-13,990600
2019-06-18,968800
2019-06-21,999300
2019-06-23,979100
2019-06-26,996300
2019-06-28,998800
2019-07-01,998200
2019-07-03,988500
2019-07-06,992500
2019-07-08,989900
2019-07-11,996300
2019-07-13,986900
2019-07-16,981300
2019-07-18,970100
2019-07-21,969700
2019-07-23,965500
2019-07-26,966000
2019-07-31,962900
2019-08-02,945400
2019-08-05,957700
2019-08-07,939900
2019-08-10,929800
2019-08-12,910700
2019-08-15,894000
2019-08-17,879400
2019-08-20,871800
2019-08-25,859100
2019-08-27,839700
2019-08-30,838700
2019-09-01,839000
2019-09-04,846100
2019-09-06,833600
2019-09-09,842500
2019-09-11,823000
2019-09-14,826500
2019-09-16,827000
2019-09-19,830300
2019-09-24,841600
2019-09-26,841500
2019-09-29,873900
2019-10-01,850800
2019-10-04,872200
2019-10-06,838900
2019-10-09,835100
2019-10-11,814200
2019-10-14,804300
